"date","Australia","Brazil","China","France","India","Indonesia","Iran","Italy","Korea, South","Mexico","New Zealand","Russia","Spain","Sweden","Turkey","US","United Kingdom"
"2020-01-22","","","","","","","","","","","","","","","","",""
"2020-01-23","","","","","","","","","","","","","","","","",""
"2020-01-24","","","","","","","","","","","","","","","","",""
"2020-01-25","","","","","","","","","","","","","","","","",""
"2020-01-26","","","","","","","","","","","","","","","","-##.## %",""
"2020-01-27","","","","","","","","","","","","","","","","-##.## %",""
"2020-01-28","   .00 %","","","   .00 %","","","","","","","","","","","","-##.## %",""
"2020-01-29","   .00 %","","","   .00 %","","","","","","","","","","","","-##.## %",""
"2020-01-30","   .00 %","","","   .00 %","","","","","","","","","","","","-##.## %",""
"2020-01-31","   .00 %","","","   .00 %","","","","","","","","","","","","-##.## %",""
"2020-02-01","   .00 %","","","   .00 %","","","","","","","","","","","","-##.## %",""
"2020-02-02","   .00 %","","","   .00 %","","","","","","","","","","","","-##.## %",""
"2020-02-03","   .00 %","","","   .00 %","   .00 %","","","","","","","","","","","-80.00 %",""
"2020-02-04","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","","   .00 %","","-80.00 %","   .00 %"
"2020-02-05","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","-60.00 %","   .00 %"
"2020-02-06","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","-60.00 %","   .00 %"
"2020-02-07","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","-60.00 %","   .00 %"
"2020-02-08","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","-80.00 %","   .00 %"
"2020-02-09","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","-80.00 %","   .00 %"
"2020-02-10","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-11","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-12","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-13","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","-80.00 %","   .00 %"
"2020-02-14","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","-80.00 %","   .00 %"
"2020-02-15","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","-60.00 %","   .00 %"
"2020-02-16","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","-60.00 %","   .00 %"
"2020-02-17","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","-60.00 %","   .00 %"
"2020-02-18","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","-80.00 %","   .00 %"
"2020-02-19","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","-80.00 %","   .00 %"
"2020-02-20","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-21","   .00 %","","","   .00 %","   .00 %","","","   .00 %","","","","   .00 %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-22","   .00 %","","","   .00 %","   .00 %","",""," 20.00 %","","","","   .00 %","   .00 %","   .00 %","","-##.## %","   .00 %"
"2020-02-23","   .00 %","","","   .00 %","   .00 %",""," 37.00 %"," 30.00 %","","","","   .00 %","   .00 %","   .00 %","","-80.00 %","   .00 %"
"2020-02-24","   .00 %","","","   .00 %","   .00 %",""," 47.00 %"," 56.67 %","","","","   .00 %","   .00 %","   .00 %","","-80.00 %","   .00 %"
"2020-02-25","   .00 %","","","   .00 %","   .00 %",""," 53.67 %"," 65.24 %","","","","   .00 %","   .00 %","   .00 %","","-60.00 %","   .00 %"
"2020-02-26","   .00 %","",""," 20.00 %","   .00 %",""," 37.42 %"," 69.24 %","","","","   .00 %","   .00 %","   .00 %","","-60.00 %","   .00 %"
"2020-02-27","   .00 %","",""," 20.00 %","   .00 %",""," 39.79 %"," 57.57 %","","","","   .00 %","   .00 %","   .00 %","","-60.00 %","   .00 %"
"2020-02-28","   .00 %","",""," 20.00 %","   .00 %",""," 33.94 %"," 52.28 %","","","","   .00 %","   .00 %","   .00 %","","-80.00 %","   .00 %"
"2020-02-29","   .00 %","   .00 %",""," 20.00 %","   .00 %",""," 29.23 %"," 33.23 %","","","","   .00 %","   .00 %","   .00 %","","-60.00 %","   .00 %"
"2020-03-01","   .00 %","   .00 %",""," 20.00 %","   .00 %",""," 27.68 %"," 28.11 %","","","","   .00 %","   .00 %","   .00 %","","-60.00 %","   .00 %"
"2020-03-02","   .00 %","   .00 %",""," 10.00 %","   .00 %",""," 28.38 %"," 34.69 %","","   .00 %","","   .00 %","   .00 %","   .00 %","","-60.00 %","   .00 %"
"2020-03-03","   .00 %","   .00 %",""," 16.67 %","   .00 %",""," 24.34 %"," 36.75 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","-60.00 %","   .00 %"
"2020-03-04"," 20.00 %","   .00 %",""," 16.67 %","   .00 %",""," 22.08 %"," 39.13 %","","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","","-44.28 %","   .00 %"
"2020-03-05"," 20.00 %","   .00 %",""," 26.67 %","   .00 %",""," 20.05 %"," 39.17 %","","   .00 %","   .00 %","   .00 %"," 30.00 %","   .00 %","","-44.28 %","   .00 %"
"2020-03-06"," 20.00 %","   .00 %",""," 36.67 %","   .00 %","   .00 %"," 18.11 %"," 42.35 %","","   .00 %","   .00 %","   .00 %"," 43.33 %","   .00 %","","-64.28 %"," 20.00 %"
"2020-03-07"," 20.00 %","   .00 %",""," 31.11 %","   .00 %","   .00 %"," 17.05 %"," 35.41 %","","   .00 %","   .00 %","   .00 %"," 63.33 %","   .00 %","","-64.28 %"," 20.00 %"
"2020-03-08"," 40.00 %","   .00 %",""," 38.99 %","   .00 %","   .00 %"," 20.48 %"," 36.44 %","","   .00 %","   .00 %","   .00 %"," 77.33 %","   .00 %","","-64.27 %"," 30.00 %"
"2020-03-09"," 20.00 %","   .00 %",""," 38.99 %","   .00 %","   .00 %"," 21.02 %"," 34.66 %","","   .00 %","   .00 %","   .00 %"," 70.27 %","   .00 %","","-79.98 %"," 36.67 %"
"2020-03-10"," 15.00 %","   .00 %",""," 43.73 %","   .00 %","   .00 %",""," 34.25 %","","   .00 %","   .00 %",""," 65.27 %","   .00 %","","-99.98 %"," 46.67 %"
"2020-03-11"," 15.00 %","   .00 %",""," 13.73 %","   .00 %","   .00 %"," 27.63 %"," 33.84 %","","   .00 %","   .00 %","   .00 %"," 62.80 %","   .00 %","","-79.98 %","  6.67 %"
"2020-03-12"," 15.00 %","   .00 %","","  9.28 %","   .00 %","   .00 %"," 28.69 %"," 30.19 %","","   .00 %","   .00 %","   .00 %"," 43.17 %","   .00 %","","-79.32 %","  6.67 %"
"2020-03-13"," -5.00 %","   .00 %",""," -5.26 %"," 20.00 %"," 60.00 %"," 29.27 %"," 29.39 %","","   .00 %","   .00 %","   .00 %"," 57.53 %","   .00 %","","-79.32 %"," -3.33 %"
"2020-03-14"," -5.00 %","   .00 %",""," -5.26 %"," 20.00 %"," 65.00 %"," 26.28 %"," 26.85 %","","   .00 %","   .00 %","   .00 %"," 53.91 %"," 20.00 %","","-59.33 %","-10.00 %"
"2020-03-15","   .00 %","   .00 %","   .26 %","-20.00 %"," 20.00 %"," 65.00 %"," 25.55 %"," 24.70 %","  4.65 %","   .00 %","   .00 %","   .00 %"," 58.56 %"," 30.00 %","   .00 %","-59.32 %","-20.00 %"
"2020-03-16","   .00 %","   .00 %","   .35 %","   .00 %"," 20.00 %"," 65.00 %"," 19.24 %"," 22.35 %","  4.65 %","   .00 %","   .00 %","   .00 %"," 51.37 %"," 50.00 %","   .00 %","-79.31 %","   .00 %"
"2020-03-17"," 13.33 %","   .00 %","   .36 %","   .00 %"," 30.00 %"," 65.00 %"," 18.16 %"," 25.54 %","  4.25 %","   .00 %","   .00 %","   .00 %"," 62.17 %"," 53.33 %","   .00 %","-79.41 %","   .00 %"
"2020-03-18"," 17.33 %"," 40.00 %","   .38 %","   .00 %"," 10.00 %"," 61.00 %"," 17.18 %"," 18.72 %","  4.99 %","   .00 %","   .00 %","   .00 %"," 37.18 %"," 61.90 %","   .00 %","-79.40 %","   .00 %"
"2020-03-19"," 17.33 %"," 60.00 %","   .35 %","   .00 %"," 16.67 %"," 62.32 %"," 16.03 %"," 18.83 %","  4.84 %","   .00 %","   .00 %","   .00 %"," 34.50 %"," 43.90 %"," 40.00 %","-99.36 %","   .00 %"
"2020-03-20"," 20.67 %"," 76.67 %","   .31 %","   .00 %"," 21.67 %"," 67.92 %"," 14.65 %"," 17.40 %","  4.67 %","   .00 %","   .00 %","   .00 %"," 29.99 %"," 43.00 %"," 46.67 %","-99.33 %","   .00 %"
"2020-03-21"," 20.67 %"," 83.94 %","   .26 %","   .00 %"," 17.67 %"," 71.67 %"," 12.80 %"," 17.48 %","  6.37 %"," 20.00 %","   .00 %","   .00 %"," 32.69 %"," 28.00 %"," 71.67 %","-27.11 %","   .00 %"
"2020-03-22","  7.33 %"," 97.27 %","   .22 %","   .00 %"," 22.67 %"," 76.93 %"," 11.30 %"," 16.98 %","  5.16 %"," 20.00 %","   .00 %","   .00 %"," 27.06 %"," 25.66 %"," ##.## %"," -7.67 %","   .00 %"
"2020-03-23","  3.33 %"," 64.47 %","   .20 %"," ##.## %"," 31.24 %"," 21.35 %","  9.83 %"," 15.38 %","  5.77 %"," 30.00 %","   .00 %","   .00 %"," 30.01 %"," 20.90 %"," ##.## %"," -7.62 %","   .00 %"
"2020-03-24","  6.19 %"," 51.53 %","   .20 %"," ##.## %"," 24.57 %"," 17.48 %","  8.55 %"," 14.96 %","  5.72 %"," 36.67 %","   .00 %","   .00 %"," 27.66 %"," 27.70 %"," 86.78 %"," -7.53 %","   .00 %"
"2020-03-25","  2.86 %"," 40.52 %","   .20 %"," ##.## %"," 23.57 %"," 12.97 %","  7.71 %"," 13.28 %","  6.06 %"," 41.67 %","   .00 %"," 40.00 %"," 28.51 %"," 33.05 %"," 86.94 %"," -7.42 %","   .00 %"
"2020-03-26"," 15.36 %"," 39.35 %","   .20 %"," ##.## %"," 40.90 %"," 16.12 %","  7.50 %"," 11.24 %","  5.15 %"," 25.67 %","   .00 %"," 40.00 %"," 26.08 %"," 32.89 %"," 67.36 %","-53.98 %"," 20.00 %"
"2020-03-27"," 15.36 %"," 29.91 %","   .19 %"," ##.## %"," 25.90 %"," 13.16 %","  7.13 %"," 10.78 %","  5.98 %"," 32.33 %","   .00 %"," 46.67 %"," 24.08 %"," 39.17 %"," 25.23 %","-73.75 %"," 20.00 %"
"2020-03-28"," 16.90 %"," 26.84 %","   .15 %"," -9.95 %"," 21.33 %"," 16.19 %","  6.80 %"," 10.53 %","  5.36 %"," 32.33 %","   .00 %"," 46.67 %"," 21.04 %"," 35.36 %"," 24.04 %"," ##.## %"," 20.00 %"
"2020-03-29"," 16.90 %"," 24.28 %","   .14 %"," 23.33 %"," 23.83 %"," 16.10 %","  6.43 %","  9.59 %","  4.85 %"," 32.33 %","   .00 %"," 66.67 %"," 19.49 %"," 27.51 %"," 24.51 %"," ##.## %"," 30.00 %"
"2020-03-30"," 18.15 %"," 22.02 %","   .14 %"," 27.33 %"," 23.54 %"," 16.41 %","  5.83 %","  9.10 %","  4.64 %"," 32.33 %","   .00 %"," 29.17 %"," 16.19 %"," 19.61 %"," 23.34 %"," ##.## %"," 30.00 %"
"2020-03-31","  6.82 %"," 21.20 %","   .11 %"," 37.33 %"," 12.08 %"," 11.81 %","  5.34 %","  8.64 %","  4.35 %"," 36.33 %","   .00 %"," 46.94 %"," 14.19 %"," 19.43 %"," 23.40 %"," ##.## %"," 16.67 %"
"2020-04-01","  9.04 %"," 21.18 %","   .12 %"," 41.78 %"," 25.22 %"," 12.59 %","  5.01 %","  7.58 %","  3.50 %"," 30.38 %","   .00 %"," 48.51 %"," 12.83 %"," 18.71 %"," 24.75 %"," ##.## %"," 21.67 %"
"2020-04-02"," 11.51 %"," 24.05 %","   .14 %"," 31.78 %"," 26.05 %"," 10.80 %","  4.66 %","  6.78 %","  3.26 %"," 25.90 %","   .00 %"," 53.51 %"," 11.60 %"," 24.48 %"," 26.98 %"," ##.## %"," 21.67 %"
"2020-04-03"," 11.98 %"," 21.71 %","   .13 %"," 22.08 %"," 23.55 %","  9.74 %","  4.53 %","  6.38 %","  2.74 %"," 26.26 %","   .00 %"," 36.18 %"," 10.49 %"," 26.78 %"," 26.59 %"," ##.## %"," 15.67 %"
"2020-04-04"," 12.16 %"," 23.12 %","   .13 %"," 19.62 %"," 23.73 %","  9.44 %","  4.60 %","  5.80 %","  2.30 %"," 25.26 %","   .00 %"," 38.97 %","  9.15 %"," 21.07 %"," 24.52 %"," ##.## %"," 19.00 %"
