"date","Australia","Brazil","China","France","India","Indonesia","Iran","Italy","Korea, South","Mexico","New Zealand","Russia","Spain","Sweden","Turkey","US","United Kingdom"
"2020-01-22","","","","","","","","","","","","","","","","",""
"2020-01-23","","","","","","","","","","","","","","","","",""
"2020-01-24","","","","","","","","","","","","","","","","",""
"2020-01-25","","","","","","","","","","","","","","","","",""
"2020-01-26","","","","","","","","","","","","","","","","",""
"2020-01-27","","","","","","","","","","","","","","","","",""
"2020-01-28","","","","","","","","","","","","","","","","",""
"2020-01-29","","","","","","","","","","","","","","","","",""
"2020-01-30","","","","","","","","","","","","","","","","",""
"2020-01-31","0","","","","","","","","","","","","","","","",""
"2020-02-01","0","","","","","","","","","","","","","","","",""
"2020-02-02","0","","","0","0","","","0","","","","0","0","0","","0","0"
"2020-02-03","0","","","0","0","","","0","","","","0","0","0","","0","0"
"2020-02-04","0","","","0","0","","","0","","","","0","0","0","","0","0"
"2020-02-05","0","","","0","0","","","0","","","","0","0","0","","0","0"
"2020-02-06","0","","","0","0","","","0","","","","0","0","0","","0","0"
"2020-02-07","0","","","0","0","","","0","","","","0","0","0","","0","0"
"2020-02-08","0","","","0","0","","","0","","","","0","0","0","","0","0"
"2020-02-09","0","","","0","0","","","0","","","","0","0","0","","3","0"
"2020-02-10","0","","","0","0","","","0","","","","0","0","0","","0","0"
"2020-02-11","0","","","0","0","","","0","","","","0","0","0","","0","0"
"2020-02-12","0","","","2","0","","","0","","","","2","0","0","","0","1"
"2020-02-13","6","","","0","0","","","0","","","","0","0","0","","0","0"
"2020-02-14","0","","","0","0","","","0","","","","0","0","0","","0","0"
"2020-02-15","0","","","2","0","","","0","","","","0","2","0","","0","0"
"2020-02-16","0","","","0","3","","","0","","","","0","0","0","","0","7"
"2020-02-17","2","","","0","0","","","0","","","","0","0","0","","0","0"
"2020-02-18","0","","","0","0","","","0","","","","0","0","0","","0","0"
"2020-02-19","0","","","0","0","","","0","","","","0","0","0","","0","0"
"2020-02-20","0","","","0","0","","0","0","","","","0","0","0","","0","0"
"2020-02-21","1","","","0","0","","0","0","","","","0","0","0","","2","0"
"2020-02-22","0","","","0","0","","0","1","","","","0","0","0","","0","0"
"2020-02-23","0","","","0","0","","0","1","","","","0","0","0","","0","0"
"2020-02-24","0","","","0","0","","0","-1","","","","0","0","0","","0","0"
"2020-02-25","0","","","7","0","","0","0","","","","0","0","0","","1","0"
"2020-02-26","0","","","0","0","","49","2","","","","0","0","0","","0","0"
"2020-02-27","0","0","","0","0","","0","42","","","","0","0","0","","0","0"
"2020-02-28","0","0","","0","0","","24","1","","","","0","0","0","","1","0"
"2020-02-29","0","0","","1","0","","50","0","","0","0","0","0","0","","0","0"
"2020-03-01","0","0","","0","0","","52","37","","0","0","0","0","0","","0","0"
"2020-03-02","0","0","","0","0","","116","66","","0","0","0","0","0","","0","0"
"2020-03-03","0","0","","0","0","0","0","11","","1","0","0","0","0","","1","0"
"2020-03-04","0","0","","0","0","0","261","116","","0","0","0","0","0","","0","0"
"2020-03-05","10","0","","0","0","0","187","138","","0","0","0","0","0","","0","0"
"2020-03-06","0","0","","0","0","0","174","109","","0","0","0","0","0","","0","0"
"2020-03-07","0","0","","0","0","0","756","66","","0","0","0","28","0","","0","10"
"2020-03-08","0","0","","0","0","0","465","33","","0","0","1","0","0","","0","0"
"2020-03-09","0","0","","0","0","0","260","102","","0","0","0","2","1","","0","0"
"2020-03-10","0","0","","0","1","2","","0","","3","0","","0","0","","0","0"
"2020-03-11","0","0","","","0","0","565","321","","0","0","0","151","0","","0",""
"2020-03-12","0","0","1257","","0","0","0","0","45","0","0","0","0","0","0","4",""
"2020-03-13","2","0","1295","","0","0","0","394","177","0","0","0","10","0","0","0",""
"2020-03-14","0","0","1464","","0","6","0","527","0","0","0","5","324","0","0","0",""
"2020-03-15","0","0","1357","","9","0","1631","369","0","0","0","0","0","0","0","0",""
"2020-03-16","0","1","893","","0","0","0","414","627","0","0","0","13","0","0","5",""
"2020-03-17","0","1","888","","1","0","799","192","270","0","0","0","498","0","0","0",""
"2020-03-18","0","0","957","","0","3","0","1084","133","0","0","0","53","0","0","89",""
"2020-03-19","3","0","780","","1","0","321","415","0","0","0","1","26","15","0","2",""
"2020-03-20","0","0","731","","5","4","1035","0","0","0","0","0","481","0","0","39",""
"2020-03-21","0","0","591","","3","0","890","1632","0","0","0","3","537","0","0","24",""
"2020-03-22","66","0","505","2188","1","14","0","952","1369","0","0","4","0","0","0","-171","75"
"2020-03-23","27","0","457","","10","1","741","408","257","0","0","1","1230","0","0","0","42"
"2020-03-24","0","0","455","1081","6","0","537","894","341","0","12","5","439","0","0","348","0"
"2020-03-25","0","0","493","619","3","1","712","1036","223","0","10","7","1573","0","26","13","0"
"2020-03-26","53","4","408","1048","2","4","832","999","414","0","5","9","1648","0","0","320","0"
"2020-03-27","22","0","539","752","28","11","676","589","384","0","10","7","2342","0","16","188","0"
"2020-03-28","50","0","380","0","11","13","546","1434","283","0","13","4","2928","0","28","203","0"
"2020-03-29","0","0","482","1502","11","5","712","646","222","0","6","15","2424","0","35","1593","0"
"2020-03-30","13","114","341","725","7","11","1520","1590","195","31","7","2","2071","0","57","2979","0"
"2020-03-31","101","7","283","1517","21","6","745","1109","180","0","11","55","2479","0","81","1380","0"
"2020-04-01","64","0","199","1490","25","22","817","1118","159","0","9","69","3388","87","90","1450","0"
"2020-04-02","98","0","166","1494","43","9","1238","1431","261","0","9","45","4096","0","82","527","0"
"2020-04-03","129","0","195","1580","1","22","1224","1480","193","598","11","46","3770","102","69","706","0"
"2020-04-04","52","0","186","1430","37","16","1801","1238","304","0","24","52","3706","0","302","4945","0"
"2020-04-05","56","0","261","745","0","14","0","819","138","0","29","22","3861","0","256","2796","0"
"2020-04-06","323","0","103","1067","146","28","4500","1022","135","0","20","51","2357","0","284","2133","0"
"2020-04-07","0","0","100","2087","46","12","2803","1555","96","0","65","88","2771","0","256","2182","0"
"2020-04-08","0","0","157","1917","85","18","2773","2099","82","0","41","86","4813","0","264","1796","0"
"2020-04-09","392","46","112","1952","114","30","2497","1979","197","0","35","118","4144","0","296","1851","0"
"2020-04-10","321","0","112","1726","154","30","3156","1985","144","0","56","97","3503","176","281","3380","209"
"2020-04-11","13","0","86","1459","195","4","6482","2079","126","0","49","250","3441","0","542","2480","0"
"2020-04-12","0","0","79","795","111","73","1947","1677","125","1139","49","246","3282","0","481","1718","0"
"2020-04-13","0","0","83","532","101","21","2089","1224","79","71","75","179","2336","0","511","10494","-344"
"2020-04-14","380","2873","161","1087","178","46","2146","1695","87","121","82","224","2777","0","842","4281","0"
"2020-04-15","0","10980","111","2150","73","20","1804","962","82","161","100","292","3349","0","875","4333","0"
"2020-04-16","169","0","90","1857","336","102","2296","2072","141","0","42","318","3944","169","1415","2607","0"
"2020-04-17","1453","0","-849","1608","273","59","1835","2563","72","0","46","286","0","0","1542","3842","0"
"2020-04-18","316","0","62","1563","422","24","1923","2200","108","0","51","467","0","0","1822","6295","0"
"2020-04-19","0","8104","76","595","391","55","1036","2128","105","502","45","234","2560","0","1523","5497","0"
"2020-04-20","0","0","55","831","419","61","2250","1822","72","0","62","155","3230","0","1454","1992","0"
"2020-04-21","0","861","54","1772","702","95","1692","2723","99","0","32","427","1927","0","1488","2875","0"
"2020-04-22","0","2327","62","1476","395","71","2148","2943","64","0","30","547","3401","0","1559","2162","0"
"2020-04-23","0","1255","122","1431","642","47","1730","3033","224","0","59","471","3335","0","2014","2837","0"
"2020-04-24","0","1082","126","1405","486","42","1756","2922","134","4522","23","677","3105","455","3246","18876","0"
"2020-04-25","99","1505","66","1101","441","40","1594","2622","82","0","24","682","3353","0","3845","1293","0"
"2020-04-26","1318","992","102","309","584","65","1464","1808","47","1205","38","517","22019","0","3558","6616","0"
"2020-04-27","47","990","97","610","614","44","1276","1696","90","732","34","579","3105","0","4651","4436","0"
"2020-04-28","77","1402","48","1373","610","103","1506","2317","68","2337","15","1110","3071","0","5018","4512","0"
"2020-04-29","50","1588","52","1342","690","137","1352","2311","137","0","12","1830","9026","0","5231","4784","0"
"2020-04-30","27","1803","49","1248","631","131","1312","4693","13","0","11","1333","-20879","0","4846","33227","0"
"2020-05-01","33","2104","50","736","939","69","1215","2304","51","954","11","1601","0","0","4922","10068","0"
"2020-05-02","39","2898","13","-461","812","74","1032","1665","60","0","3","1793","5198","0","4451","11367","0"
"2020-05-03","35","2054","98","222","956","211","1072","1740","34","1070","10","1626","1654","0","4892","4770","0"
"2020-05-04","38","2824","108","465","1072","78","957","1225","66","0","26","1456","2441","3069","5015","7028","0"
"2020-05-05","88","2406","78","1365","1295","243","1096","2352","50","3363","14","1770","2143","0","5119","2611","0"
"2020-05-06","56","3149","59","1219","1189","120","1112","8014","86","971","16","1462","2516","0","4917","119","0"
"2020-05-07","47","3980","48","1054","1445","64","1157","3031","65","0","15","2476","2509","897","4782","5126","0"
"2020-05-08","44","3947","16","694","1111","113","1093","2747","84","2533","21","2805","2637","0","3412","3957","0"
"2020-05-09","19","2388","134","116","1414","113","1227","4008","42","1510","3","5308","2804","0","3084","13541","0"
"2020-05-10","26","3272","40","176","1668","91","1079","2155","22","0","15","2390","2214","0","3211","3635","0"
"2020-05-11","46","2427","31","499","1580","183","1279","1401","38","1276","12","5495","973","0","3089","16564","0"
"2020-05-12","57","5213","24","1054","1871","182","935","2452","25","2835","4","3711","1841","0","3109","-2446","0"
"2020-05-13","27","5827","24","753","1980","224","1071","3502","67","1055","9","4491","1843","0","2826","13143","0"
"2020-05-14","37","1055","15","932","1569","231","1111","2747","59","1485","10","5527","2551","0","2315","2984","0"
"2020-05-15","25","5491","20","843","2289","285","1297","4917","30","1976","7","4696","1409","0","2103","4333","0"
"2020-05-16","5","4702","12","-1","3966","108","1311","2605","37","1397","5","4940","1663","0","2004","17629","0"
"2020-05-17","28","4450","13","765","2571","218","1317","2366","16","1481","0","4207","0","0","1825","3889","0"
"2020-05-18","21","6337","4","509","2438","195","1197","2150","34","2059","0","2836","3930","0","1615","10913","0"
"2020-05-19","18","6335","0","830","3076","143","1512","2075","128","1937","14","5921","0","0","1318","6214","0"
"2020-05-20","39","9889","0","467","3113","108","1635","2881","69","1094","5","9262","0","0","1092","4920","0"
"2020-05-21","8","9277","0","503","3131","263","1756","2278","27","1733","3","7289","0","0","1003","4106","0"
"2020-05-22","7","9470","22","0","3271","219","1712","2160","32","2039","0","7144","0","0","1121","51717","0"
"2020-05-23","23","7157","3","0","2561","192","1796","2120","19","2233","1","8111","0","0","1491","11104","0"
"2020-05-24","23","7324","8","745","3307","153","1729","1639","13","2555","0","5363","0","0","1092","5497","0"
"2020-05-25","21","3922","9","581","3014","240","1912","1502","49","2473","5","5499","0","0","1321","12421","0"
"2020-05-26","8","4760","6","680","3571","235","1724","2677","20","2256","1","12331","0","0","1492","5745","0"
"2020-05-27","19","8054","9","281","3472","180","1739","2443","45","2126","12","11079","0","0","1286","6606","0"
"2020-05-28","-3","10957","4","595","3171","183","1812","3503","23","2207","7","8785","0","0","1576","8483","0"
"2020-05-29","29","11872","11","501","11707","252","1943","2240","35","2962","0","8264","0","0","1594","6455","0"
"2020-05-30","9","11416","4","452","4309","523","1896","2789","7","2244","0","8212","0","0","1021","10015","0"
"2020-05-31","4","5663","3","72","4916","293","2021","1874","17","2525","0","","0","0","989","28297","0"
"2020-06-01","8","4525","9","-3","3902","329","2156","848","24","3193","0","8045","0","0","974","13473","0"
"2020-06-02","10","12558","2","365","4531","298","2073","1737","21","2784","0","11088","0","-4971","974","5637","0"
"2020-06-03","12","14979","4","546","3786","471","2129","846","32","2931","0","8957","0","0","931","15390","0"
"2020-06-04","35","16346","11","479","4379","486","2279","957","7","2078","0","8638","0","0","926","5744","0"
"2020-06-05","5","11977","5","497","4783","551","2256","1886","25","3083","0","8040","0","0","1622","6704","0"
"2020-06-06","15","10209","4","275","5462","464","2297","1297","21","2989","0","8698","0","0","1922","9143","0"
"2020-06-07","3","6803","10","1","5153","591","2311","759","11","2945","1","5337","0","0","2647","5518","0"
"2020-06-08","14","94305","10","36","5247","406","2011","747","26","3858","0","3954","0","0","3411","12155","0"
"2020-06-09","20","18480","7","417","","510","2097","2062","22","3115","0","11691","0","0","3218","6338","0"
"2020-06-10","19","17179","5","296","6111","715","2133","1293","43","3182","0","10378","0","0","2241","8644","1269"
"2020-06-11","23","16049","8","312","11989","507","2073","1399","15","3268","0","8354","0","0","1021","6788","9"
"2020-06-12","21","15158","8","234","0","577","1986","1747","22","3678","0","8213","0","0","1242","7094","4"
"2020-06-13","35","14313","3","205","7135","563","2099","1780","27","3202","0","5266","0","0","985","9220","1"
"2020-06-14","13","9705","7","37","8049","755","1926","1505","12","3220","0","5408","0","0","1330","5210","0"
"2020-06-15","5","8568","7","-101","17634","592","1916","640","30","4994","0","4485","0","0","947","14518","1"
"2020-06-16","5","12296","4","224","6922","580","2085","1516","14","3102","0","9759","0","0","1015","7169","9"
"2020-06-17","16","31041","17","280","7390","540","2137","929","26","3110","0","10020","0","0","1261","8688","11"
"2020-06-18","1","13534","5","99","10386","555","2179","1089","35","3676","0","9609","0","0","1382","6924","9"
"2020-06-19","3","17051","0","174","9120","551","2201","1363","21","4258","0","10442","0","0","1494","7600","6"
"2020-06-20","15","37443","19","145","13925","534","2192","546","12","4416","0","10173","0","0","1312","10745","0"
