"date","Andaman and Nicobar Islands","Andhra Pradesh","Arunachal Pradesh","Assam","Bihar","Chandigarh","Chhattisgarh","Delhi","Goa","Gujarat","Haryana","Himachal Pradesh","Jammu and Kashmir","Jharkhand","Karnataka","Kerala","Madhya Pradesh","Maharashtra","Manipur","Meghalaya","Mizoram","Nagaland","Odisha","Puducherry","Punjab","Rajasthan","Sikkim","Tamil Nadu","Telangana","Tripura","Uttar Pradesh","Uttarakhand","West Bengal"
"2020-01-30","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","",""
"2020-02-02","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","",""
"2020-02-03","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","",""
"2020-03-02","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","2","","","",""
"2020-03-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","",""
"2020-03-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","",""
"2020-03-06","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","",""
"2020-03-08","","","","","","","","","","","","","","","","10","","","","","","","","","","","","","","","","",""
"2020-03-09","","","","","","","","","","","","","","","2","2","","4","","","","","","","","","","","","","10","",""
"2020-03-10","","","","","","","","","","","","","","","8","26","","4","","","","","","","","2","","","","","","",""
"2020-03-11","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","",""
"2020-03-12","","2","","","","","","","","","","","","","10","8","","4","","","","","","","","","","","","","2","",""
"2020-03-13","","","","","","","","","","","","","","","","4","","4","","","","","","","","","","","","","10","",""
"2020-03-14","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","2","","","",""
"2020-03-15","","","","","","","","","","","","","","","","6","","4","","","","","","","","","","","2","","","",""
"2020-03-16","","","","","","","","","","","","","","","2","4","","4","","","","","","","","","","","2","","","",""
"2020-03-17","","","","","","","","","","","","","","","20","","","4","","","","","","","","","","","","","","","2"
"2020-03-18","","","","","","","","","","","","","","","22","","","4","","","","","","","","","","","2","","","",""
"2020-03-19","","2","","","","","2","","","","","","","","2","2","","","","","","","","","","2","","2","2","","","2",""
"2020-03-20","","","","","","","","2","","2","","2","","","","8","","4","","","","","","","","2","","","2","","","","2"
