"date","Goa/North Goa","Goa/Other State","Goa/South Goa"
"2020-03-25","","",""
"2020-04-04","","",""
"2020-05-14","","",""
"2020-05-16","","",""
"2020-05-17","","",""
"2020-05-18","","",""
"2020-05-19","","",""
"2020-05-20","","",""
"2020-05-21","","",""
"2020-05-22","","","9"
"2020-05-23","","",""
"2020-05-24","","",""
"2020-05-25","","","3"
"2020-05-30","","",""
"2020-05-31","","",""
"2020-06-01","","",""
"2020-06-02","","",""
"2020-06-03","","",""
"2020-06-04","","",""
"2020-06-05","","",""
"2020-06-06","","",""
"2020-06-07","","",""
"2020-06-08","","","48"
"2020-06-09","","",""
"2020-06-10","","",""
"2020-06-11","","",""
"2020-06-12","","",""
"2020-06-13","","",""
"2020-06-14","","",""
"2020-06-15","","","1"
"2020-06-16","","","1"
"2020-06-17","","","1"
"2020-06-18","","6","2"
"2020-06-19","","",""
"2020-06-20","","",""
"2020-06-21","","",""
"2020-06-22","","","5"
"2020-06-23","","","23"
"2020-06-24","","2","52"
"2020-06-25","","","32"
"2020-06-26","","","15"
"2020-06-27","","1","2"
"2020-06-28","6","","13"
"2020-06-29","16","","21"
"2020-06-30","","","30"
"2020-07-01","","","33"
"2020-07-02","10","","14"
"2020-07-03","1","","5"
"2020-07-04","45","8","11"
"2020-07-05","8","","85"
"2020-07-06","9","","119"
"2020-07-07","1","","56"
"2020-07-08","4","6","19"
"2020-07-09","29","1","2"
"2020-07-10","6","2","15"
"2020-07-11","3","","15"
"2020-07-12","21","","21"
"2020-07-13","74","","18"
"2020-07-14","13","","9"
"2020-07-15","29","","15"
"2020-07-16","25","1","37"
"2020-07-17","17","","32"
"2020-07-18","59","",""
"2020-07-19","","","22"
"2020-07-20","","",""
"2020-07-21","","7",""
"2020-07-22","","11",""
"2020-07-23","","",""
"2020-07-24","1","11","8"
"2020-07-25","64","12",""
"2020-07-26","22","15","18"
"2020-07-27","","",""
"2020-07-28","12","10",""
"2020-07-29","21","4",""
"2020-07-30","","28",""
"2020-07-31","","22",""
"2020-08-01","","6",""
"2020-08-02","","11",""
"2020-08-03","","1",""
"2020-08-04","","9",""
"2020-08-05","","",""
"2020-08-06","","","23"
"2020-08-07","6","",""
"2020-08-08","","7","65"
"2020-08-09","","1",""
"2020-08-10","","4",""
"2020-08-11","","",""
"2020-08-12","","",""
"2020-08-13","","",""
"2020-08-14","","",""
"2020-08-15","","","23"
"2020-08-16","","","34"
"2020-08-17","","2",""
"2020-08-18","","",""
"2020-08-19","","","64"
"2020-08-20","","",""
"2020-08-21","30","","63"
"2020-08-22","79","","94"
"2020-08-23","183","","62"
"2020-08-24","137","","162"
"2020-08-25","14","",""
"2020-08-26","","",""
"2020-08-27","","",""
"2020-08-28","","",""
"2020-08-29","","",""
"2020-08-30","","",""
"2020-08-31","","",""
