"date","Himachal Pradesh/Bilaspur","Himachal Pradesh/Chamba","Himachal Pradesh/Hamirpur","Himachal Pradesh/Kangra","Himachal Pradesh/Kinnaur","Himachal Pradesh/Kullu","Himachal Pradesh/Lahaul and Spiti","Himachal Pradesh/Mandi","Himachal Pradesh/Shimla","Himachal Pradesh/Sirmaur","Himachal Pradesh/Solan","Himachal Pradesh/Una"
"2020-03-20","","","","   .00 %","","","","","","","",""
"2020-04-02","","","","","","","","","","","","   .00 %"
"2020-04-04","","",""," 50.00 %","","","","","","","   .00 %",""
"2020-04-05","","","","","","","","","",""," 16.67 %",""
"2020-04-06","","   .00 %","","","","","","","","","",""
"2020-04-07","","","","","","","","","","",""," ##.## %"
"2020-04-09","","","","","","","","","","   .00 %","",""
"2020-04-11","","","","","","","","","",""," 28.57 %"," 16.67 %"
"2020-04-14","","","","","","","","","","","","  7.14 %"
"2020-04-15",""," 50.00 %","","","","","","","","","",""
"2020-04-17","","",""," 33.33 %","","","","","","","",""
"2020-04-27","","","","   .00 %","","","","","","   .00 %","","   .00 %"
"2020-04-30","","   .00 %","","","","","","","","   .00 %","   .00 %","   .00 %"
"2020-05-01","","","   .00 %","","","","","","","","",""
"2020-05-02","","   .00 %","","","","","","","","","","   .00 %"
"2020-05-03","","","","","","","","","","","","   .00 %"
"2020-05-04","","","","","","","","   .00 %","","","",""
"2020-05-05","","","","","","",""," ##.## %","","","",""
"2020-05-06","","",""," 25.00 %","","","","","","","",""
"2020-05-07",""," 33.33 %","","","","","","","   .00 %","","",""
"2020-05-08",""," 12.50 %","   .00 %"," 20.00 %","","","","","","","","  6.67 %"
"2020-05-09","",""," ##.## %"," 16.67 %","","","","","","   .00 %","",""
"2020-05-10","   .00 %"," 33.33 %",""," 14.29 %","","","","","","","",""
"2020-05-11","","",""," 12.50 %","","","","","","","",""
"2020-05-12","",""," ##.## %"," 66.67 %","","","","","","","",""
"2020-05-13","","","","  6.67 %","","","","","","","",""
"2020-05-14"," ##.## %",""," 25.00 %","  6.25 %","","","","",""," ##.## %","",""
"2020-05-15","","","","  5.88 %","","","","","","","","  6.25 %"
"2020-05-16","","   .00 %"," 20.00 %","  5.56 %","","","","   .00 %","   .00 %","","",""
"2020-05-17","",""," 33.33 %","   .00 %","","","","","","","",""
"2020-05-18"," 75.00 %","  8.33 %"," 62.50 %","  5.26 %","","","","","","","","   .00 %"
"2020-05-19","   .00 %","","   .00 %","  5.00 %","","","","","","","","  5.88 %"
"2020-05-20","","   .00 %","   .00 %"," 61.90 %","","   .00 %",""," ##.## %","","","",""
"2020-05-21","","   .00 %"," ##.## %"," 17.65 %","","","","","",""," 55.56 %",""
"2020-05-22","",""," 31.82 %","  5.00 %","","","","","","","",""
