"date","Kerala/Alappuzha","Kerala/Ernakulam","Kerala/Idukki","Kerala/KAsaragod","Kerala/Kannur","Kerala/Kasaragod","Kerala/Kollam","Kerala/Kottayam","Kerala/Kozhikode","Kerala/Malappuram","Kerala/Other State","Kerala/Palakkad","Kerala/Pathanamthitta","Kerala/Thiruvananthapuram","Kerala/Thrissur","Kerala/Wayanad","Kerala/idukki"
"2020-01-30","","","","","","","","","","","","","","","   .00 %","",""
"2020-02-02","   .00 %","","","","","","","","","","","","","","","",""
"2020-02-03","","","","","","   .00 %","","","","","","","","","","",""
"2020-03-08","","","","","","","","","","","","","   .00 %","","","",""
"2020-03-09","","","","","   .00 %","","","","","","","","","","","",""
"2020-03-10","","   .00 %","","","   .00 %","","","   .00 %","","","","","   .00 %","","","",""
"2020-03-12","","","","","   .00 %","","","","","","","","","","   .00 %","",""
"2020-03-13","","","","","","","","","","","","","","   .00 %","","",""
"2020-03-15","","","","","","","","","","","","","","   .00 %","","",""
"2020-03-16","","","","","","   .00 %","","","","   .00 %","","","","","","",""
"2020-03-19","","","","","","   .00 %","","","","","","","","","","",""
"2020-03-20","","   .00 %","","",""," ##.## %","","","","","","","","","","",""
"2020-03-21","","   .00 %","","","   .00 %","-16.67 %","","","","","","","","","","",""
"2020-03-22","","-66.67 %","","","   .00 %","   .00 %","","","   .00 %"," ##.## %","","","","","","",""
"2020-03-23","","-50.00 %","","","-62.50 %"," 80.00 %","","","","","","","-50.00 %","","   .00 %","",""
"2020-03-24","   .00 %","   .00 %","","","","-66.67 %","","   .00 %","   .00 %","-75.00 %","","   .00 %","","   .00 %","","",""
"2020-03-25",""," ##.## %","   .00 %","","","","","","-50.00 %","",""," ##.## %"," ##.## %","","","",""
"2020-03-26","","","   .00 %",""," 66.67 %","-66.67 %","","",""," ##.## %","","","",""," ##.## %","   .00 %",""
"2020-03-27","","","","","-60.00 %"," ##.## %","   .00 %","","","","","","","","-50.00 %","",""
"2020-03-28","","","","","","-96.97 %","   .00 %","","","-50.00 %","","-50.00 %",""," ##.## %","","",""
"2020-03-29","","-66.67 %","","","   .00 %"," ##.## %","","","","   .00 %","","   .00 %","","","   .00 %","",""
"2020-03-30","","","   .00 %",""," ##.## %"," ##.## %","","","","","","","","","","   .00 %",""
"2020-03-31","","","","","-87.50 %","-88.24 %","   .00 %","","","","","","","   .00 %","   .00 %","",""
"2020-04-01",""," ##.## %","",""," ##.## %"," ##.## %","","",""," ##.## %","","   .00 %","","   .00 %"," ##.## %","",""
"2020-04-02","",""," ##.## %","","-50.00 %","-33.33 %"," ##.## %","","   .00 %","-50.00 %","","","-50.00 %","-50.00 %","-50.00 %","",""
"2020-04-03","","","","","   .00 %","-12.50 %","","","","","","","","","   .00 %","",""
"2020-04-04","   .00 %","-66.67 %","","","   .00 %","-14.29 %","-50.00 %","","","","","   .00 %","","","","",""
"2020-04-05","","","","","   .00 %","-83.33 %","",""," ##.## %","","","","   .00 %","","","",""
"2020-04-06","","","","",""," ##.## %","   .00 %","",""," ##.## %","","","   .00 %","","","",""
"2020-04-07","","","",""," ##.## %","-55.56 %","   .00 %","","","-50.00 %","","","","","","",""
"2020-04-08"," ##.## %","","",""," ##.## %","-75.00 %","","","","","","","   .00 %","","   .00 %","",""
"2020-04-09","","","","","   .00 %"," ##.## %","   .00 %","",""," ##.## %","","","","   .00 %","","",""
"2020-04-10","","","","","-50.00 %","-25.00 %","","","","   .00 %","","","","","","",""
"2020-04-11","","","",""," ##.## %","-33.33 %","","","-80.00 %","","","","","","","",""
"2020-04-12","","","","","-85.71 %","","","","","","","","   .00 %","","","",""
"2020-04-13","","","",""," ##.## %","","","","","","","   .00 %","","","","",""
"2020-04-14","","","",""," ##.## %","-50.00 %","",""," ##.## %","","","","","","","",""
"2020-04-15","","","","","-75.00 %","","","","","","","","","","","",""
"2020-04-16","","","",""," ##.## %","   .00 %","","","-33.33 %","","","","","","","",""
"2020-04-17","","","","","","","","","-50.00 %","","","","","","","",""
"2020-04-18","","","","","-25.00 %","","","","   .00 %","","","","","","","",""
"2020-04-19","","","","","-66.67 %","   .00 %","","","","","","","","","","",""
"2020-04-20","","","",""," ##.## %","","","","","","","","","","","",""
"2020-04-21","","","",""," 66.67 %"," ##.## %","   .00 %","","","-50.00 %",""," ##.## %","","","","",""
"2020-04-22","","","","","-30.00 %","","","   .00 %"," ##.## %","   .00 %","","","","","","",""
"2020-04-23","","","-20.00 %","","","","   .00 %"," ##.## %","   .00 %","","","","","   .00 %","","",""
"2020-04-24","","","","","","   .00 %","","","","","","","","","","",""
"2020-04-25","","","","","-85.71 %",""," ##.## %"," 50.00 %","","","","","","","","",""
"2020-04-26","",""," 50.00 %","","","",""," 66.67 %","","","","","","","","",""
"2020-04-27","","","-33.33 %","","   .00 %","",""," 20.00 %","","   .00 %","","-75.00 %","","","","",""
"2020-04-28","","","",""," ##.## %","-66.67 %","","","","","","","","","","",""
"2020-04-29","","","","",""," ##.## %"," ##.## %","","   .00 %","","","","","   .00 %","","",""
"2020-04-30","","","","","   .00 %","-50.00 %","","","   .00 %","   .00 %","","","   .00 %","","","",""
"2020-05-01","","   .00 %","","","   .00 %","","","","","","","","","","","",""
"2020-05-02","","","","","   .00 %","","","","","","","","","","","   .00 %",""
"2020-05-03","","","   .00 %","","","   .00 %","","-##.## %","","","","","","","","",""
"2020-05-04","","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %","","","   .00 %","","","","",""
"2020-05-05","","","","","","","","","","","","","","",""," ##.## %",""
"2020-05-06","","","   .00 %","","","","","   .00 %","","","","","   .00 %","","","",""
"2020-05-07","","","","","   .00 %","   .00 %","","","","","","","","","","",""
"2020-05-08","","   .00 %","","","   .00 %","","","","","","","","","","","",""
"2020-05-09","","-##.## %","   .00 %","","","","","","   .00 %","   .00 %","","","","","","",""
"2020-05-10","","   .00 %","","","   .00 %","   .00 %","","","","-50.00 %","","   .00 %","",""," ##.## %","   .00 %",""
"2020-05-11","","","","","","   .00 %","","","","   .00 %","","   .00 %","","","","-66.67 %",""
"2020-05-12","","","","","","","","   .00 %",""," ##.## %","","","   .00 %","","","",""
"2020-05-13","","","","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %",""," ##.## %","","",""," ##.## %",""
"2020-05-14","","","   .00 %",""," ##.## %"," ##.## %","   .00 %","","   .00 %"," 66.67 %",""," 50.00 %","   .00 %","",""," 50.00 %",""
"2020-05-15","   .00 %","","","","","-90.00 %","   .00 %",""," ##.## %","-20.00 %","","-66.67 %","","",""," 66.67 %",""
"2020-05-16","","","","","","","",""," 50.00 %","-50.00 %",""," ##.## %","",""," ##.## %","",""
"2020-05-17","","   .00 %","","","   .00 %","   .00 %","   .00 %","","-33.33 %"," ##.## %","","   .00 %","","","-75.00 %","",""
"2020-05-18","   .00 %","   .00 %","",""," 50.00 %"," ##.## %"," ##.## %"," ##.## %","   .00 %","-75.00 %","","-50.00 %"," ##.## %","   .00 %"," ##.## %","",""
"2020-05-19","-50.00 %","","",""," 66.67 %","","","",""," ##.## %","","   .00 %","-50.00 %","","-75.00 %","",""
"2020-05-20","   .00 %","   .00 %","","","-40.00 %","-50.00 %","","","-50.00 %"," 33.33 %",""," ##.## %"," ##.## %","-33.33 %"," ##.## %","   .00 %",""
"2020-05-21"," ##.## %","","   .00 %",""," 33.33 %","   .00 %","-66.67 %"," 50.00 %",""," 25.00 %","","-85.71 %","","   .00 %"," 50.00 %","   .00 %",""
"2020-05-22","","","",""," ##.## %"," ##.## %","-50.00 %","-33.33 %","   .00 %","-20.00 %",""," ##.## %","-50.00 %",""," 33.33 %","   .00 %",""
"2020-05-23"," ##.## %","","",""," 33.33 %","-42.86 %"," ##.## %","   .00 %","-20.00 %"," ##.## %",""," ##.## %","","","","   .00 %",""
"2020-05-24","-20.00 %","   .00 %","","","-25.00 %"," 25.00 %","   .00 %","","-75.00 %","-37.50 %","","-78.95 %"," ##.## %"," ##.## %","","",""
"2020-05-25","-25.00 %","","   .00 %","","-16.67 %"," ##.## %","-33.33 %","   .00 %"," ##.## %","",""," 25.00 %"," 50.00 %","-61.54 %","","   .00 %",""
"2020-05-26","   .00 %","   .00 %","","","-20.00 %","-78.57 %"," ##.## %"," ##.## %","","   .00 %",""," ##.## %","","","   .00 %","",""
"2020-05-27"," ##.## %","-60.00 %","","","-87.50 %"," ##.## %","   .00 %","","   .00 %","","","-72.41 %","   .00 %","","","   .00 %",""
"2020-05-28","-85.71 %","","   .00 %",""," ##.## %"," 80.00 %","-75.00 %","-50.00 %"," ##.## %","   .00 %",""," ##.## %"," ##.## %"," 60.00 %"," 75.00 %","",""
"2020-05-29"," ##.## %"," ##.## %","   .00 %","","-20.00 %","-77.78 %"," ##.## %","-66.67 %","-66.67 %","-37.50 %","   .00 %","-12.50 %","-16.67 %","-37.50 %","-14.29 %","-33.33 %",""
"2020-05-30","-33.33 %","   .00 %"," ##.## %",""," 87.50 %","-25.00 %"," ##.## %","   .00 %"," ##.## %","","","-35.71 %","","-60.00 %"," 66.67 %","",""
"2020-05-31"," ##.## %","-75.00 %","","","-53.33 %"," ##.## %"," 50.00 %","","-50.00 %","   .00 %",""," 33.33 %","-20.00 %"," ##.## %","-70.00 %"," 50.00 %",""
"2020-06-01","-66.67 %"," ##.## %","-75.00 %","",""," 40.00 %","-16.67 %","",""," ##.## %","","-83.33 %","   .00 %","-25.00 %"," ##.## %","",""
"2020-06-02"," ##.## %","   .00 %","","","   .00 %","-35.71 %"," 60.00 %","   .00 %","   .00 %","  7.14 %",""," ##.## %","-75.00 %"," ##.## %","-33.33 %","   .00 %",""
"2020-06-03","-30.00 %"," 66.67 %"," ##.## %","","-60.00 %","-66.67 %","-37.50 %"," 33.33 %"," 40.00 %","-26.67 %","","   .00 %"," ##.## %"," ##.## %","-33.33 %","",""
"2020-06-04"," 14.29 %","-60.00 %","",""," ##.## %"," ##.## %"," ##.## %","-37.50 %"," 42.86 %","-27.27 %",""," 40.00 %"," ##.## %","-64.29 %","   .00 %","-66.67 %",""
"2020-06-05","-37.50 %"," ##.## %","-66.67 %","","","-91.67 %","-81.82 %","-80.00 %","-60.00 %"," ##.## %",""," ##.## %","-21.43 %","   .00 %"," ##.## %"," 50.00 %",""
"2020-06-06","-20.00 %","-70.00 %","   .00 %",""," ##.## %"," ##.## %"," ##.## %"," ##.## %","   .00 %","-33.33 %","","-72.50 %","-18.18 %","-40.00 %"," ##.## %","",""
"2020-06-07"," 75.00 %","","-66.67 %","","-83.33 %","-70.00 %","-52.63 %"," 50.00 %"," 50.00 %"," ##.## %","","-45.45 %"," 44.44 %"," 33.33 %"," 62.50 %","",""
"2020-06-08","-28.57 %","   .00 %","",""," ##.## %"," ##.## %","-44.44 %","   .00 %"," ##.## %","-48.15 %","","-83.33 %","-76.92 %","-25.00 %","  3.85 %","-33.33 %",""
"2020-06-09"," ##.## %"," 33.33 %","",""," 25.00 %","-75.00 %","   .00 %"," ##.## %","-46.15 %","-57.14 %",""," ##.## %"," ##.## %"," ##.## %","-77.78 %"," ##.## %",""
"2020-06-10","-90.91 %","   .00 %","   .00 %","","-20.00 %","","-20.00 %","-62.50 %"," 42.86 %"," 16.67 %","","-57.14 %","-57.14 %","-40.00 %"," 50.00 %","-33.33 %",""
"2020-06-11","","-50.00 %","",""," 75.00 %","   .00 %"," ##.## %","-33.33 %","-90.00 %"," 42.86 %",""," ##.## %"," 66.67 %",""," ##.## %","",""
"2020-06-12","   .00 %"," ##.## %","-75.00 %","","-57.14 %","-60.00 %","-50.00 %"," 50.00 %"," ##.## %"," 40.00 %","","-61.54 %"," 40.00 %","   .00 %","-44.00 %","",""
"2020-06-13","-30.77 %"," 40.00 %"," ##.## %",""," ##.## %"," ##.## %","","-66.67 %"," ##.## %","  7.14 %",""," 60.00 %","-85.71 %","","-71.43 %","-75.00 %",""
"2020-06-14","","   .00 %","-50.00 %","","-71.43 %","-33.33 %","-75.00 %"," ##.## %","-33.33 %","-80.00 %","","-25.00 %"," ##.## %","   .00 %"," 75.00 %","   .00 %",""
"2020-06-15","   .00 %"," 85.71 %","   .00 %",""," ##.## %","-50.00 %"," ##.## %"," ##.## %","-25.00 %"," ##.## %",""," 16.67 %"," ##.## %","-75.00 %","-57.14 %","   .00 %",""
"2020-06-16"," 40.00 %","   .00 %","","","-30.00 %","-33.33 %","   .00 %","-60.00 %","-33.33 %"," ##.## %","","-14.29 %","-45.45 %"," ##.## %"," ##.## %","",""
"2020-06-17","-85.71 %","-61.54 %","","","-42.86 %"," ##.## %"," ##.## %","   .00 %"," 50.00 %","-26.67 %","","   .00 %","-83.33 %","-25.00 %"," 14.29 %","   .00 %",""
"2020-06-18"," ##.## %"," 20.00 %"," ##.## %","","   .00 %","-66.67 %"," -7.14 %"," ##.## %","-16.67 %","-63.64 %",""," ##.## %"," ##.## %"," 66.67 %","-25.00 %","",""
"2020-06-19"," 44.44 %"," 83.33 %","-66.67 %",""," ##.## %"," 33.33 %"," 30.77 %","-36.36 %"," 20.00 %"," ##.## %","","-28.57 %","-18.18 %"," 60.00 %","-83.33 %","   .00 %",""
"2020-06-20","-69.23 %","-72.73 %","-50.00 %","","-50.00 %"," 75.00 %"," 41.18 %"," 57.14 %"," ##.## %","-72.22 %",""," ##.## %"," 88.89 %","-37.50 %"," ##.## %"," 25.00 %",""
"2020-06-21"," ##.## %"," 66.67 %"," ##.## %",""," ##.## %","-14.29 %","-45.83 %"," -9.09 %","-16.67 %"," ##.## %","","-34.78 %","-52.94 %"," 80.00 %"," ##.## %","",""
"2020-06-22"," 20.00 %"," ##.## %","-63.64 %","","-70.00 %"," 50.00 %","   .00 %"," 30.00 %","-50.00 %"," 70.00 %","","  6.67 %","-50.00 %"," 22.22 %","-25.00 %","   .00 %",""
"2020-06-23"," 58.33 %"," -7.14 %","",""," ##.## %","","-69.23 %","-38.46 %"," 20.00 %","-35.29 %",""," 68.75 %"," ##.## %","-63.64 %"," 16.67 %","-60.00 %",""
"2020-06-24","-21.05 %","-38.46 %","   .00 %",""," ##.## %","-33.33 %"," ##.## %","-12.50 %","-50.00 %"," -9.09 %","","-40.74 %"," -7.41 %","   .00 %","  7.14 %","   .00 %",""
"2020-06-25"," 20.00 %"," 25.00 %","-50.00 %","","-47.06 %","-33.33 %","-27.78 %","-71.43 %"," ##.## %","-40.00 %",""," 50.00 %","-48.00 %","-50.00 %","-33.33 %","   .00 %",""
"2020-06-26"," 16.67 %","-10.00 %","-33.33 %",""," 44.44 %","-50.00 %"," 23.08 %"," ##.## %","   .00 %"," ##.## %",""," -4.17 %","-69.23 %"," ##.## %","-30.00 %"," ##.## %",""
"2020-06-27","-38.10 %"," 55.56 %","   .00 %","","-15.38 %"," ##.## %","-25.00 %","-16.67 %"," 14.29 %"," ##.## %","","  8.70 %"," 50.00 %","-42.86 %"," ##.## %","   .00 %",""
"2020-06-28","-23.08 %","-50.00 %"," ##.## %",""," ##.## %","-45.45 %","-16.67 %","-66.67 %","-12.50 %","-89.36 %","","-84.00 %","-50.00 %"," ##.## %","-22.73 %","   .00 %",""
"2020-06-29","-50.00 %","-28.57 %"," 25.00 %","","-46.15 %","-33.33 %"," 10.00 %",""," 28.57 %"," ##.## %",""," ##.## %"," ##.## %","-55.56 %"," 52.94 %","",""
"2020-06-30"," 80.00 %"," ##.## %","",""," 85.71 %"," ##.## %","  9.09 %","   .00 %","-55.56 %"," ##.## %",""," 41.67 %","-92.31 %"," 25.00 %","-84.62 %","",""
"2020-07-01","-11.11 %"," 20.00 %","   .00 %","","  3.85 %"," 25.00 %","-75.00 %"," 33.33 %"," 50.00 %","  6.25 %","","   .00 %"," ##.## %","-20.00 %"," ##.## %","   .00 %",""
"2020-07-02"," ##.## %","-25.00 %"," ##.## %","","-66.67 %","-50.00 %"," ##.## %"," ##.## %"," 16.67 %","-29.41 %","","  5.88 %"," ##.## %"," ##.## %","-43.75 %","-66.67 %",""
"2020-07-03"," 31.25 %"," 88.89 %","-75.00 %",""," ##.## %"," 40.00 %"," ##.## %"," 55.56 %"," ##.## %"," 45.83 %","","-22.22 %","-74.07 %"," 88.89 %"," ##.## %","   .00 %",""
"2020-07-04"," -4.76 %","-23.53 %","   .00 %",""," 94.44 %"," ##.## %","-30.43 %","-57.14 %","-42.86 %","  5.71 %",""," ##.## %"," ##.## %"," -5.88 %"," -4.76 %"," ##.## %",""
"2020-07-05","-35.00 %"," -7.69 %"," ##.## %","","-28.57 %"," ##.## %","-37.50 %"," 33.33 %"," ##.## %","-29.73 %","","   .00 %","-86.36 %"," 68.75 %","-40.00 %"," ##.## %",""
"2020-07-06"," 15.38 %"," ##.## %","   .00 %","","-56.00 %","-78.57 %"," 10.00 %","-25.00 %","-25.00 %"," 34.62 %","","-72.41 %"," ##.## %","-74.07 %"," 16.67 %"," 33.33 %",""
"2020-07-07"," 20.00 %","-16.00 %","-83.33 %",""," 72.73 %"," ##.## %","   .00 %","-50.00 %","   .00 %"," 80.00 %",""," ##.## %","-53.85 %"," ##.## %","-28.57 %","-62.50 %",""
"2020-07-08","   .00 %","-23.81 %"," ##.## %",""," 15.79 %","-69.23 %","-27.27 %"," ##.## %","   .00 %","-26.98 %","","-13.79 %","-41.67 %"," 18.52 %"," ##.## %"," ##.## %",""
"2020-07-09"," 22.22 %","-25.00 %","   .00 %","","-63.64 %"," ##.## %"," 25.00 %","-58.82 %","-46.67 %"," 19.57 %",""," ##.## %","   .00 %"," 48.44 %","  8.00 %","-50.00 %",""
"2020-07-10"," ##.## %"," 66.67 %","-40.00 %",""," ##.## %"," 54.55 %"," ##.## %","   .00 %"," 50.00 %","-25.45 %","","-44.00 %"," ##.## %"," 35.79 %","-37.04 %","",""
"2020-07-11"," 74.00 %"," ##.## %","-58.33 %","","-17.39 %","  5.88 %","-35.71 %"," ##.## %"," 41.67 %"," 24.39 %",""," 71.43 %"," 68.75 %","-46.51 %"," 70.59 %","   .00 %",""
"2020-07-12","-34.48 %","  6.38 %"," ##.## %","","-10.53 %"," ##.## %","-72.22 %","-20.00 %","-76.47 %","-17.65 %",""," 22.92 %","-27.78 %","-42.03 %","-34.48 %"," 72.73 %",""
"2020-07-13"," ##.## %","-70.00 %","",""," ##.## %","-83.93 %"," ##.## %","-16.67 %"," ##.## %"," 11.90 %","","-67.80 %"," 20.51 %"," 57.50 %","-52.63 %","-26.32 %","   .00 %"
"2020-07-14","-71.43 %"," ##.## %","","","-72.73 %"," ##.## %","-30.30 %"," ##.## %"," ##.## %"," 23.40 %",""," 36.84 %","-93.62 %"," ##.## %"," ##.## %","-14.29 %",""
"2020-07-15","-41.18 %","  2.86 %"," ##.## %",""," ##.## %"," 68.18 %","-52.17 %","   .00 %"," 10.34 %","-68.97 %","","-26.92 %"," ##.## %","-21.89 %","-88.10 %","-66.67 %",""
"2020-07-16","   .00 %","-20.83 %","-52.73 %","","-34.29 %","-75.68 %"," ##.## %","-48.00 %","-48.44 %"," ##.## %",""," 31.58 %","-39.06 %"," ##.## %"," ##.## %"," ##.## %",""
"2020-07-17"," ##.## %"," ##.## %","-57.69 %","","-60.87 %"," 77.78 %"," 11.90 %"," ##.## %"," -3.03 %","-40.48 %",""," 24.00 %"," ##.## %","-27.43 %","   .00 %"," ##.## %",""
"2020-07-18","-26.32 %","-61.74 %"," ##.## %",""," ##.## %"," -9.38 %"," 12.77 %","-58.97 %","-18.75 %","-24.00 %",""," 58.06 %","-67.82 %","-29.67 %","-34.38 %"," -7.14 %",""
"2020-07-19"," 23.81 %"," ##.## %"," 75.00 %","","-66.67 %"," 96.55 %"," 41.51 %"," 25.00 %"," 23.08 %"," 31.58 %",""," 65.31 %"," 25.00 %"," 28.32 %"," ##.## %","-96.15 %",""
"2020-07-20","  1.92 %","-26.53 %","-51.02 %",""," ##.## %","-50.88 %","  5.33 %"," ##.## %"," ##.## %"," ##.## %","","-39.51 %","-91.43 %","-18.02 %","-31.15 %"," ##.## %",""
"2020-07-21","-13.21 %"," 11.11 %","",""," 18.75 %"," 42.86 %","  7.59 %","-15.22 %","-57.61 %"," 22.00 %",""," -6.12 %"," ##.## %","-17.03 %","-54.76 %","-34.62 %",""
