"date","Madhya Pradesh/Agar Malwa","Madhya Pradesh/Alirajpur","Madhya Pradesh/Anuppur","Madhya Pradesh/Ashoknagar","Madhya Pradesh/Balaghat","Madhya Pradesh/Barwani","Madhya Pradesh/Betul","Madhya Pradesh/Bhind","Madhya Pradesh/Bhopal","Madhya Pradesh/Burhanpur","Madhya Pradesh/Chhatarpur","Madhya Pradesh/Chhindwara","Madhya Pradesh/Damoh","Madhya Pradesh/Datia","Madhya Pradesh/Dewas","Madhya Pradesh/Dhar","Madhya Pradesh/Dindori","Madhya Pradesh/Guna","Madhya Pradesh/Gwalior","Madhya Pradesh/Harda","Madhya Pradesh/Hoshangabad","Madhya Pradesh/Indore","Madhya Pradesh/Jabalpur","Madhya Pradesh/Jhabua","Madhya Pradesh/Katni","Madhya Pradesh/Khandwa","Madhya Pradesh/Khargone","Madhya Pradesh/Mandla","Madhya Pradesh/Mandsaur","Madhya Pradesh/Morena","Madhya Pradesh/Narsinghpur","Madhya Pradesh/Neemuch","Madhya Pradesh/Niwari","Madhya Pradesh/Other Region","Madhya Pradesh/Panna","Madhya Pradesh/Raisen","Madhya Pradesh/Rajgarh","Madhya Pradesh/Ratlam","Madhya Pradesh/Rewa","Madhya Pradesh/Sagar","Madhya Pradesh/Satna","Madhya Pradesh/Sehore","Madhya Pradesh/Seoni","Madhya Pradesh/Shahdol","Madhya Pradesh/Shajapur","Madhya Pradesh/Sheopur","Madhya Pradesh/Shivpuri","Madhya Pradesh/Sidhi","Madhya Pradesh/Singrauli","Madhya Pradesh/Tikamgarh","Madhya Pradesh/Ujjain","Madhya Pradesh/Umaria","Madhya Pradesh/Vidisha","Madhya Pradesh/bhind","Madhya Pradesh/bhopal","Madhya Pradesh/dewas","Madhya Pradesh/dhar","Madhya Pradesh/khargone","Madhya Pradesh/sheopur","Madhya Pradesh/ujjain","Madhya Pradesh/vidisha"
"2020-03-20","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-22","","","","","","","","","   .00 %","","","","","","","","","","","","","","-87.50 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","-50.00 %","","","","","","","","","","   .00 %","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","   .00 %","","","","","","","","","",""
"2020-03-26","","","","","","","","","","","","","","","","","","","","",""," 25.00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-27","","","","","","","","","   .00 %","","","","","","","","","","","","","-20.00 %"," ##.## %","","","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","",""
"2020-03-28","","","","","","","","","","","","","","","","","","","   .00 %","",""," 50.00 %","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","",""," ##.## %","","","","","","","","","",""
"2020-03-30","","","","","","","","","","","","","","","","","","","","",""," 16.67 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-50.00 %","","","","","","","","","",""
"2020-03-31","","","","","","","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","",""
"2020-04-01","","","","","","","","","","","","","","","","","","","","",""," 77.78 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-02","","","","","","","",""," ##.## %","","","   .00 %","","","","","","","","","","-93.75 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","","","","","","","",""
"2020-04-03","","","","","","","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-04","","","","","","","",""," 40.00 %","","","   .00 %","","","","","","","","","","-60.00 %","","","","","   .00 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-05","","","","","","   .00 %","","","-57.14 %","","","","","","","","","","","","","-50.00 %","","","","","-66.67 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-06","","","","","","","   .00 %",""," ##.## %","","","","","","","","","","","",""," ##.## %","","","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","   .00 %","","   .00 %","","","","","","","",""
"2020-04-07","","","","","","","","","-44.19 %","","","","","","","","",""," ##.## %","","","","","","","","","","","","","","","","","","","","","","","","","","","   .00 %","","","",""," ##.## %","","","","","","","","","",""
"2020-04-08","","","","",""," ##.## %","","","-62.50 %","","","","","","","","","","","",""," 37.50 %","","","",""," ##.## %","","","-91.67 %","","","","","","","","","","","","","","","","","","","","","-60.00 %","","","","","","","","","",""
"2020-04-09","","","","","","","","","-55.56 %","","","","","","   .00 %","   .00 %","","","","","   .00 %"," ##.## %","-50.00 %","","","   .00 %","","","","","","","","","","   .00 %","","","","","","","","","","","","","","","","","   .00 %","","","","","","","",""
"2020-04-10","","","","","","-77.78 %","",""," ##.## %","","","","","","","","","","","","","-70.83 %","","","","","-75.00 %","","","","","","","","","","","","","   .00 %","","","","","   .00 %","","","","","","",""," ##.## %","","","","","","","",""
"2020-04-11","","","","","","","","","-16.67 %","","","","","","","","","","","","-33.33 %"," ##.## %","","","","","","","   .00 %","","","","","","","","","   .00 %","","","","","","","","   .00 %","","","","","",""," ##.## %","","","","","","","",""
"2020-04-12","","","","","","","","","-80.00 %","","","","","","","","","","","","","-34.78 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
