"date","Manipur/Bishnupur","Manipur/CAPF Personnel","Manipur/Chandel","Manipur/Churachandpur","Manipur/Imphal East","Manipur/Imphal West","Manipur/Jiribam","Manipur/Kakching","Manipur/Kamjong","Manipur/Kangpokpi","Manipur/Meitram","Manipur/Noney","Manipur/Pherzawl","Manipur/Senapati","Manipur/Tamenglong","Manipur/Tengnoupal","Manipur/Thoubal","Manipur/Ukhrul","Manipur/kasom khulem"
"2020-03-24","","","","","","","","","","","","","","","","","","",""
"2020-04-02","","","","","","","","","","","","","","","","","","",""
"2020-05-14","","","","","0","","","","","","","","","","","","","",""
"2020-05-16","","","","","0","","","","","","","","","","","","","",""
"2020-05-19","","","","","","0","","","","","","","","","","","","",""
"2020-05-20","","","","14","","-1","","","","","","","","","","","","",""
"2020-05-22","","","","","","0","","","","","","","","","","","","",""
"2020-05-25","","","","-14","","","","","","","","","","","","","","",""
"2020-05-26","","","","","","2","","","","","","","","","","","","",""
"2020-05-29","","","","","","0","","","","","","","","","","","","",""
"2020-05-30","","","","","","-2","","","","","","","","","","","","",""
"2020-05-31","","","","0","2","0","","","","","","1","","","","","","",""
"2020-06-01","","","","","","0","","","","","","","","","","","","",""
"2020-06-02","","","","","1","1","","","","","","","","","","","","",""
"2020-06-03","-1","","","0","","","","","0","","","","","1","","","-2","-1",""
"2020-06-04","0","","0","1","","","","","","","","","","","-3","-1","","",""
"2020-06-05","","","","","","6","","","","","","","","","","","","",""
"2020-06-06","","","","6","","","","","","9","","","","","","","","",""
"2020-06-07","","","","","","","","","","-11","","","","","","","","",""
"2020-06-08","","","","4","","14","","18","7","-2","","","","-1","","-1","","-2",""
"2020-06-09","","","1","","","","","","-7","19","","8","","","","","","",""
"2020-06-10","","","","","","","","","","","","","-1","","","","","",""
"2020-06-11","-35","","","","-4","-1","","-16","","","","-3","","10","","","","1",""
"2020-06-12","","","","","0","-12","","5","","-19","","-5","","","-12","","","0",""
"2020-06-13","","","","","","","","","","","","","","","","","","",""
"2020-06-16","","","","","","2","","","","","","","","-6","","","","",""
"2020-06-17","9","","2","-63","","-2","","-5","0","3","","","","","","","0","16",""
"2020-06-18","","","","6","","","","","","","","","24","15","","","","",""
"2020-06-19","0","","2","-26","10","-4","","-1","8","4","","1","-25","-12","42","2","11","23",""
"2020-06-20","3","","","","-9","","","2","-3","14","","","","3","-12","-3","","-39",""
"2020-06-21","","","-5","","0","5","","1","14","-5","","","","-11","-23","","-11","",""
"2020-06-22","","","20","","-1","","","4","-17","-15","","","","3","-4","","-5","",""
"2020-06-23","","","-19","-7","","3","","-9","","0","","","","7","","","","",""
"2020-06-24","","","","10","1","-3","-1","4","2","0","","","","-6","-2","","0","7",""
"2020-06-25","","","","-9","-1","0","","-1","-3","-1","","","","-3","53","","1","1",""
"2020-06-26","","","","1","","","","","-1","","","","","-1","","","7","-7",""
"2020-06-27","","","","","","8","","-3","","","","","","","","","-8","-1",""
"2020-06-28","","","","7","1","-10","","12","20","","","","","5","-41","","","21",""
"2020-06-29","","","","","","","","","-19","32","","","","-4","","","","-20",""
"2020-06-30","","","","","-1","","","","","-32","","","","2","","","","",""
"2020-07-01","","","","","","0","0","","4","","","","","7","","","1","-2",""
"2020-07-02","","","","","","0","","","-4","0","","","","","","","-1","-1",""
"2020-07-03","","","","","","","27","","","","","","","","","","2","4",""
"2020-07-04","0","","","","1","","","","","","","","","-5","","","","",""
"2020-07-05","","","","-9","-1","5","","2","4","17","","","","","0","","","-4",""
"2020-07-06","","","","","2","","-19","","","","","","","6","","","","",""
"2020-07-07","","","","0","-2","","-4","-2","","-13","","","","14","","","","",""
"2020-07-08","","","","","","","","","","","","","","-21","","","","",""
"2020-07-09","0","","","7","0","","-1","","","","","","","","-1","","","",""
"2020-07-10","","","","","0","18","5","9","22","","","","","-1","9","","5","35",""
"2020-07-11","","","","","","-23","-2","","","","","","","","","","","-34",""
"2020-07-12","","","-1","","2","","","-10","","1","","","","1","","","","",""
"2020-07-13","","","","-5","2","","","","","","","","","4","","","","",""
"2020-07-14","","","","0","-1","5","-3","","","-1","","","","","1","","-5","7",""
"2020-07-15","","","","","","4","-3","0","-24","","","","","","-10","","8","",""
"2020-07-16","","","","2","","23","","0","-3","","","","","2","2","","-10","-1",""
"2020-07-17","2","","","-3","","","0","","","","","","","","","","4","16",""
