"date","Meghalaya/East Garo Hills","Meghalaya/East Jaintia Hills","Meghalaya/East Khasi Hills","Meghalaya/North Garo Hills","Meghalaya/Ribhoi","Meghalaya/South Garo Hills","Meghalaya/South West Garo Hills","Meghalaya/South West Khasi Hills","Meghalaya/West Garo Hills","Meghalaya/West Jaintia Hills","Meghalaya/West Khasi Hills"
"2020-04-13","","","","","","","","","","",""
"2020-04-15","","","","","","","","","","",""
"2020-04-16","","","","","","","","","","",""
"2020-04-18","","","","","","","","","","",""
"2020-04-21","","","","","","","","","","",""
"2020-05-01","","","","","","","","","","",""
"2020-05-09","","","","","","","","","","",""
"2020-05-13","","","","","","","","","","",""
"2020-05-18","","","","","","","","","","",""
"2020-05-20","","","","","","","","","","",""
"2020-05-25","","","","","","","","","","",""
"2020-05-26","","","","","","","","","","",""
"2020-05-28","","","","","","","","","","",""
"2020-05-29","","","","","","","","","","",""
"2020-06-01","","","","","","","","","","",""
"2020-06-02","","","","","","","","","","",""
"2020-06-03","","","","","","","","","","",""
"2020-06-07","","","","","","","","","","",""
"2020-06-08","","","","","","","","","","",""
"2020-06-09","","","","","","","","","","",""
"2020-06-10","","","","","","","","","","",""
"2020-06-12","","","","","","","","","","",""
"2020-06-13","","","","","","","","","","",""
"2020-06-14","","","","","","","","","","",""
"2020-06-16","","","","","","","","","","",""
"2020-06-17","","","","","","","","","","",""
"2020-06-18","","","","","","","","","","",""
"2020-06-22","","","","","","","","","","",""
"2020-06-23","","","","","","","","","","",""
"2020-06-26","","","","","","","","","","",""
"2020-06-28","","","","","","","","","","",""
"2020-06-29","","","","","","","","","","",""
"2020-06-30","","","","","","","","","","",""
"2020-07-01","","","","","","","","","","",""
"2020-07-02","","","","","","","","","","",""
"2020-07-03","","","","","","","","","","",""
"2020-07-04","","","","","","","","","","",""
"2020-07-05","","","","","","","","","","",""
"2020-07-06","","","","","","","","","","",""
"2020-07-07","","","","","","","","","","",""
"2020-07-08","","","","","","","","","","",""
"2020-07-09","","","","","","","","","","",""
"2020-07-10","","","","","","","","","","",""
"2020-07-16","","","","","","","","","","",""
"2020-07-17","","","0","","","","","","","",""
"2020-07-18","","","0","","","","","","","",""
"2020-07-19","","","2","","","","","","","",""
"2020-07-20","","","0","","","","","","","",""
"2020-07-21","","","0","","","","","","","",""
"2020-07-22","","","0","","","","","","","",""
"2020-07-23","","","0","","","","","","","",""
"2020-07-24","","","1","","","","","","","",""
"2020-07-25","","","0","","","","","","","",""
"2020-07-26","","","0","","","","","","","",""
"2020-07-27","","","-3","","","","","","","",""
"2020-07-28","","","0","","","","","","","",""
"2020-07-29","","","0","","0","","","","","",""
"2020-07-30","","","0","","","","","","","",""
"2020-07-31","","","0","","0","","","","","",""
"2020-08-01","","","0","","0","","","","","",""
"2020-08-02","","","0","","0","","","","","",""
"2020-08-03","","","0","","0","","","","","",""
"2020-08-04","","","0","","0","","","","","",""
"2020-08-05","","","0","","0","","","","","",""
"2020-08-06","","","0","","0","","","","","",""
"2020-08-07","","","0","","0","","","","","",""
"2020-08-08","","","1","","0","","","","","",""
"2020-08-09","","","0","","0","","","","","",""
"2020-08-10","","","0","","0","","","","","",""
"2020-08-11","","","0","","0","","","","","",""
"2020-08-12","","","0","","0","","","","","",""
"2020-08-13","","","0","","0","","","","","",""
"2020-08-14","","","0","","","","","","","",""
"2020-08-15","","","0","","0","","","","","",""
"2020-08-16","","","0","","0","","","","","",""
"2020-08-17","","","0","","","","","","","",""
"2020-08-18","","","0","","0","","","","","",""
"2020-08-19","","","0","","0","","","","","",""
"2020-08-20","","","0","","0","","","","","",""
"2020-08-21","","","0","","0","","","","","",""
"2020-08-22","","","1","","0","","","","","",""
"2020-08-23","","","0","","0","","","","","",""
"2020-08-24","","","0","","0","","","","","",""
"2020-08-25","","","0","","0","","","","0","",""
"2020-08-26","","","0","","0","","","","0","",""
"2020-08-27","","","1","","0","","","","0","",""
"2020-08-28","","","1","","0","","","","0","",""
"2020-08-29","","","0","","0","","","","0","",""
"2020-08-30","","","0","","0","","","","0","",""
"2020-08-31","","","0","","0","","","","0","",""
"2020-09-01","","","2","","0","","","","0","",""
"2020-09-02","","","1","","0","","","","0","",""
"2020-09-03","","","0","","0","","","","0","",""
"2020-09-04","","","1","","0","","","","0","",""
"2020-09-05","","","0","","0","","","","0","",""
"2020-09-06","","","1","","0","","","","0","",""
"2020-09-07","","","1","","0","","","","0","","0"
"2020-09-08","","","0","","0","","","","0","",""
"2020-09-09","","","2","","0","","","","0","","0"
"2020-09-10","","","1","","0","","","","0","","0"
"2020-09-11","","","4","","0","","","","0","","0"
"2020-09-12","","","1","","0","","","","0","","0"
"2020-09-13","","","1","","0","","","","0","",""
"2020-09-14","","","2","","0","","","","0","",""
"2020-09-15","","","1","","0","","","","0","",""
"2020-09-16","","","0","","0","","","","0","","0"
"2020-09-17","","","2","","0","","","","0","","0"
"2020-09-19","","","1","","0","","","","1","",""
"2020-09-20","","","0","","0","","","","0","","0"
"2020-09-21","","","0","","0","","","","0","",""
"2020-09-22","","","2","","0","","","","0","","0"
"2020-09-23","","","0","","0","","","","0","",""
"2020-09-24","","","0","","0","","","","0","","0"
"2020-09-25","","","0","","0","","","","0","",""
"2020-09-26","","","5","","-3","","","","0","","0"
"2020-09-27","","","0","","0","","0","","0","","0"
"2020-09-28","","","3","","0","","0","","0","","0"
"2020-09-29","","","1","","0","","0","","0","",""
"2020-09-30","","","2","","0","","0","","0","","0"
"2020-10-01","","","2","","0","","","","0","",""
