"date","Mizoram/Aizawl","Mizoram/Champhai","Mizoram/Hnahthial","Mizoram/Khawzawl","Mizoram/Kolasib","Mizoram/Lawngtlai","Mizoram/Lunglei","Mizoram/Mamit","Mizoram/Saiha","Mizoram/Saitual","Mizoram/Serchhip"
"2020-03-25","","","","","","","","","","",""
"2020-05-05","","","","","","","","","","",""
"2020-06-02","0","","","","","","","","","",""
"2020-06-03","0","","","","","","","","","",""
"2020-06-04","","","","","","","","","","",""
"2020-06-05","0","","","","","","","","","",""
"2020-06-07","0","","","","","","","","","",""
"2020-06-08","","","","","","","","","","",""
"2020-06-09","0","","","","","","","","","",""
"2020-06-10","0","","","","","","","","","",""
"2020-06-11","0","","","","","","","","","",""
"2020-06-12","0","","","","","","","","","",""
"2020-06-13","0","","","","","","","","","",""
"2020-06-14","","","","","","","","","","",""
"2020-06-15","","","","","","","","","","",""
"2020-06-16","0","","","","","","","","","",""
"2020-06-18","","","","","","","","","","",""
"2020-06-19","2","","","","","","","","","",""
"2020-06-20","","","","","","","","","","",""
"2020-06-21","0","","","","","","","","","",""
"2020-06-22","2","","","","","","","","","",""
"2020-06-23","5","","","","1","","","","","",""
"2020-06-24","1","","","","","","","","","",""
"2020-06-25","2","","","","3","","","","","",""
"2020-06-26","6","","","","","","","","","2",""
"2020-06-27","0","0","","","","","","0","","",""
"2020-06-28","","","","","","","","0","","",""
"2020-06-29","5","1","","","","","","","","",""
"2020-06-30","7","","","","1","","","8","0","",""
"2020-07-01","","","","","","","","1","","",""
"2020-07-02","0","0","","","","","1","","","","2"
"2020-07-03","1","","","","","","","","","",""
"2020-07-04","","3","","","","","0","","","",""
"2020-07-05","0","","","2","","0","","","1","",""
"2020-07-06","0","","","","","","0","","0","",""
"2020-07-07","","","","","0","","","6","","",""
"2020-07-08","3","","","","","","1","","","","0"
"2020-07-10","0","","","","","","","","","",""
"2020-07-11","3","","","","","","0","4","","",""
"2020-07-12","0","","","","","","","","","",""
"2020-07-13","0","1","","","","","","","","",""
"2020-07-14","0","","","","","","","","8","",""
"2020-07-16","1","","","","","0","0","0","","","0"
"2020-07-17","0","0","","","","","","","0","",""
"2020-07-18","0","","","","1","","","","6","",""
"2020-07-20","0","1","","","","","","","","",""
"2020-07-22","11","","","","","","0","","","",""
"2020-07-23","0","0","","","0","","4","","","",""
"2020-07-24","","","","","","","0","","","",""
"2020-07-25","0","","","","0","","","","","",""
"2020-07-26","10","","","","","","","","","",""
"2020-07-28","4","","","","","","","1","","",""
"2020-07-29","17","","","","","0","","","","",""
"2020-07-30","4","","","","0","11","0","","","","4"
"2020-07-31","13","","","","","","","","","",""
"2020-08-01","3","","","","","","0","","3","","0"
"2020-08-02","2","","","","","","3","","","",""
"2020-08-03","7","2","","","0","0","-1","","","","0"
"2020-08-04","11","","","","","1","4","","","",""
"2020-08-05","4","","","","","","","","","","0"
"2020-08-06","1","0","","","0","1","0","","","0",""
"2020-08-07","0","","","","0","","","","","",""
"2020-08-08","7","0","","","1","","","","","",""
"2020-08-09","2","0","","","0","0","","","","",""
"2020-08-10","20","0","","","0","","5","","","",""
"2020-08-11","0","","","","0","","","","","",""
"2020-08-12","0","","","","0","","7","","","",""
"2020-08-13","13","0","","","","","","","","",""
"2020-08-14","4","","","","0","","0","","","",""
"2020-08-15","9","","","","0","","0","","","",""
"2020-08-16","15","","","","0","","","","","",""
"2020-08-17","0","","","","0","0","1","","","","0"
"2020-08-18","7","","","","0","","0","","","",""
"2020-08-19","5","","","","0","0","0","0","","",""
"2020-08-20","18","","","","0","","","0","","",""
"2020-08-21","3","","","","0","","15","","0","",""
"2020-08-22","0","1","","","0","","","","","","0"
"2020-08-23","14","","","","23","","0","","","1",""
"2020-08-24","","","","","","","2","","","",""
"2020-08-25","0","","","","0","","3","0","","",""
"2020-08-26","9","","","","0","","","0","","","0"
"2020-08-27","1","","","","26","","0","","","",""
"2020-08-28","9","","","","","","5","0","","",""
"2020-08-29","61","2","","","","","7","","","",""
"2020-08-30","2","","","","0","","","0","","","3"
"2020-08-31","","","","","0","","","","","",""
"2020-09-01","12","","","","0","3","6","","","",""
"2020-09-02","16","","","","33","","","","","",""
"2020-09-03","6","","","","4","","","","","",""
"2020-09-04","6","","","","0","","5","","","","1"
"2020-09-05","27","","","","","4","1","0","0","",""
"2020-09-06","19","","","","0","","0","","","",""
"2020-09-07","0","","","","0","","0","","","","0"
"2020-09-08","11","","","","1","1","","","","","0"
"2020-09-09","4","","","","","","","","","","1"
"2020-09-10","0","0","","","0","","","","","",""
"2020-09-11","0","","","","0","","0","","1","","1"
"2020-09-12","67","","","","","0","4","","0","0",""
"2020-09-13","4","","","","3","","0","","","",""
"2020-09-14","15","","","","72","","","2","","0",""
"2020-09-15","0","","","0","","0","0","","","",""
"2020-09-16","3","","","","0","","","0","","","0"
