"date","Nagaland/Dimapur","Nagaland/Kiphire","Nagaland/Kohima","Nagaland/Longleng","Nagaland/Mokokchung","Nagaland/Mon","Nagaland/Others","Nagaland/Peren","Nagaland/Phek","Nagaland/Tuensang","Nagaland/Wokha","Nagaland/Zunheboto"
"2020-05-25","","","","","","","","","","","",""
"2020-05-26","","","0","","","","","","","","",""
"2020-05-27","2","","0","","","","","","","","",""
"2020-05-28","2","","1","","","","","","","","",""
"2020-05-29","-4","","2","","","","","","","0","",""
"2020-05-30","6","","-1","","","","","","","","",""
"2020-05-31","-5","","1","","","","","","","","",""
"2020-06-02","3","","","","","","","","","","",""
"2020-06-04","20","","-3","","","","","","","2","",""
"2020-06-06","-74","","-13","","","","","51","","-1","",""
"2020-06-07","59","","10","","","","","","","","",""
"2020-06-08","-19","","5","","","","","-43","","-1","",""
"2020-06-09","12","","-2","","","","","","","","",""
"2020-06-10","","","0","","","","","","","","",""
"2020-06-11","","","1","","","","","","","","",""
"2020-06-12","","","0","","","","","-8","","","",""
"2020-06-13","","","","","","","","","","","",""
"2020-06-14","","","-7","","","-13","","16","","1","-10",""
"2020-06-15","21","","","","","","","-13","","","12",""
"2020-06-16","","","6","","","","","","","","-6",""
"2020-06-17","-4","","","","","2","","","","-1","",""
"2020-06-18","","","","","","","","","","","",""
"2020-06-19","","","0","","","-10","-1","","","","",""
"2020-06-20","","","1","","","-1","","","","","",""
"2020-06-21","","","4","","","","","","0","1","0",""
"2020-06-22","2","","","","","","","","","","","0"
"2020-06-23","21","","3","","","","2","-53","","","","0"
"2020-06-24","","","","","","","9","","","0","0","1"
"2020-06-25","","","","","","","-8","","","-4","",""
"2020-06-26","","","","","","","","","","","",""
"2020-06-27","1","","11","0","","11","","","","","",""
"2020-06-28","16","","-11","","","-9","","1","","","",""
"2020-06-29","","","","","","","14","-1","","","",""
"2020-06-30","-19","","","","","","-12","","","19","",""
"2020-07-01","0","","-1","","","","","30","7","","",""
"2020-07-02","0","","-1","","","","","1","","","",""
"2020-07-03","","","","","","0","","-31","","","",""
"2020-07-04","","","","","","","","20","","","",""
"2020-07-05","","","-1","","0","-2","","-11","","-15","","-1"
"2020-07-06","3","","","","","19","","","","","",""
"2020-07-07","","","0","","","-10","","","","6","",""
"2020-07-08","-6","","0","","0","-9","","","","-7","",""
"2020-07-09","","","","","","","","3","","","",""
"2020-07-10","9","","19","","","","","6","-2","","0",""
"2020-07-11","","","-13","","0","2","","","","4","",""
"2020-07-12","0","","-6","","","","","","3","-2","",""
"2020-07-13","42","","3","","","4","","","","","",""
"2020-07-14","-57","","20","1","0","","","","","","","0"
"2020-07-15","3","","","","","","","","","","",""
"2020-07-16","6","","","","","","","","","","",""
"2020-07-17","27","","","","","","","","","","",""
"2020-07-18","-31","","1","","","","","10","","","",""
"2020-07-19","-7","","3","-1","1","","","","","","",""
"2020-07-20","15","","-1","","","5","","","","","",""
"2020-07-21","-10","","","","","-10","","-10","","","",""
"2020-07-22","17","","14","","0","0","","0","","","","6"
"2020-07-23","3","","42","","","","","1","-3","","",""
"2020-07-24","15","","-40","","","","","0","","","",""
"2020-07-25","-22","","-14","","","","","","","","",""
"2020-07-26","-10","","21","","","-7","","","","","",""
"2020-07-27","5","","-5","","","-5","","","","","",""
"2020-07-28","-11","","28","","","-5","","","","","",""
"2020-07-29","26","","-32","","","2","","","","","",""
"2020-07-30","3","","-3","","","","","","","","",""
"2020-07-31","64","","15","","","","","","","","",""
"2020-08-01","21","","-10","","","","","","","","",""
"2020-08-02","-55","","-4","","","","","","","","-2",""
"2020-08-03","74","","5","","","","","","","","","18"
"2020-08-04","51","","","","","88","","","","","",""
"2020-08-05","-99","","","","","-84","","","","","",""
"2020-08-06","-30","","","","","-10","","","","","",""
"2020-08-07","16","","-24","","","","","","","","",""
"2020-08-08","-64","","9","","","","","","","","-2",""
"2020-08-09","52","","8","","","7","","","","","","-5"
"2020-08-10","42","","84","","","16","","-4","","","",""
"2020-08-11","-95","","-94","","","","","","","","",""
"2020-08-12","39","","25","","","","","","","","","2"
"2020-08-13","-47","","5","","","","","","","","","2"
"2020-08-14","57","","44","","","-3","","","","","0","5"
"2020-08-15","","","-68","","","","","","","0","0",""
"2020-08-16","","","10","","","","","","","","","-3"
"2020-08-17","13","","-2","","","","","","","","","-5"
"2020-08-18","-11","","17","","","","","","","","",""
"2020-08-19","6","","-34","","","","","","","","0",""
"2020-08-20","-14","","2","","","0","","","","","",""
"2020-08-21","-5","","8","","","","","","","","",""
"2020-08-22","","","-5","","","","","","","1","0",""
"2020-08-23","","","19","","0","4","","","","0","","-5"
"2020-08-24","-8","","-7","0","","","","","","","","-1"
"2020-08-25","","","7","","","-2","","","","","1",""
"2020-08-26","","","-11","","","","","","","","",""
"2020-08-27","0","","","","","","","","","0","",""
"2020-08-28","3","","","","","","","","","","-1",""
"2020-08-29","","","34","","","0","","","","","",""
"2020-08-30","","","5","","3","","","","","","","0"
"2020-08-31","12","9","-45","","","","","","","","",""
"2020-09-01","-5","","27","","","","","","","","",""
"2020-09-02","-2","","-26","","","","","","","","",""
"2020-09-03","17","","19","","","-12","","","","","",""
"2020-09-04","-1","","-7","","","","","","0","","",""
"2020-09-05","-15","","-9","","0","3","","","","","",""
"2020-09-06","34","","-1","","","-3","","","","","",""
"2020-09-07","1898","","1253","","28","318","","","","72","",""
