"date","Odisha/Angul","Odisha/Balangir","Odisha/Balasore","Odisha/Bargarh","Odisha/Bhadrak","Odisha/Boudh","Odisha/Cuttack","Odisha/Deogarh","Odisha/Dhenkanal","Odisha/Gajapati","Odisha/Ganjam","Odisha/Jagatsinghpur","Odisha/Jajpur","Odisha/Jharsuguda","Odisha/Kalahandi","Odisha/Kandhamal","Odisha/Kendrapara","Odisha/Kendujhar","Odisha/Khordha","Odisha/Koraput","Odisha/Malkangiri","Odisha/Mayurbhanj","Odisha/Nabarangapur","Odisha/Nayagarh","Odisha/Nuapada","Odisha/Others","Odisha/Puri","Odisha/Rayagada","Odisha/Sambalpur","Odisha/State","Odisha/State Pool","Odisha/Subarnapur","Odisha/Sundargarh"
"2020-03-16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-27","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","",""
"2020-04-28","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","",""
"2020-04-29","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","",""
"2020-04-30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2"
"2020-05-01","","","3","","7","","","","","","","","","","","","1","","7","","","","","","","","","","","","","",""
"2020-05-02","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","",""
"2020-05-03","","","4","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-04","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","2"
"2020-05-05","","","4","","","","","","","","","","","","","","","","8","","","","","","","","","","","","","","2"
"2020-05-06","","","5","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","",""
"2020-05-07","","","5","","","","","","","","","","","","","","","","9","","","","","","","","","","","","","",""
"2020-05-08","","","","","10","","","","","","","","","","","","1","","","","","","","","","","","","","","","","3"
"2020-05-09","","","9","","10","","","","","","","","1","","","","","","","","","","","","","","","","","","","","3"
"2020-05-10","","","","","10","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"2020-05-11","","","11","","13","","","1","","","","","1","2","","","1","","14","","","","","","","","","","","","","","7"
"2020-05-12","","","","","","","","","","","","","32","","","","","","","","","","","","","","","","","","","",""
"2020-05-13","","","20","","17","","","","","","2","","32","","","","","1","22","1","","","","","","","","","","","","","9"
"2020-05-14","","","20","","17","","","1","","","2","","47","","","","1","","22","","","","","","","","","","","","","","9"
"2020-05-15","","","21","","19","","","","","","2","","51","","","","1","2","22","","","","","","","","","","","","","",""
"2020-05-16","","","22","","","","1","","","","30","","","","","","","","","","","","","","","","","","","","","",""
"2020-05-17","","","24","","19","","1","","","","49","","54","","","","1","2","22","","","","","","","","","","","","","","9"
"2020-05-18","","2","25","","","","1","","","","89","5","54","","","","2","","25","","","4","","","","","","","","","","","10"
"2020-05-19","","","27","","21","","1","","","","109","5","54","","","","7","","25","","","","","1","","","","","","","","",""
"2020-05-20","","","27","","23","","1","","","","132","","59","","","","7","","25","","","7","","","","","2","","","","","","11"
"2020-05-21","","","42","","28","3","1","","","","154","5","62","","","","","","","","","8","","1","","","2","","","","","","12"
"2020-05-22","15","","42","","28","4","2","","","","162","","70","","","","8","2","25","","","","","1","","","3","","","","","","20"
"2020-05-23","","2","57","","29","","2","","","","203","","71","2","","","","","","","","9","","1","","","3","","","","","","22"
"2020-05-24","15","2","","","","","2","","","","233","5","89","","","","","4","28","","","","","1","","","3","","","","","","22"
"2020-05-25","15","2","91","","38","","","2","","","248","5","102","","","","21","4","28","1","","9","","4","","","13","","","","","","23"
"2020-05-26","15","2","102","","44","","9","","","","272","","120","2","","","26","4","32","","","11","","6","","","17","","","","","","24"
"2020-05-27","","4","119","","72","","13","","","","283","5","125","","","","","7","34","","","11","","6","","","24","","","","","","24"
"2020-05-28","","6","","","","5","22","","","","302","5","150","","","2","29","8","35","","","","","9","","","32","","1","","","",""
"2020-05-29","","6","120","","93","","25","","","","317","28","172","2","","","","","37","1","","11","","10","","","32","","3","","","","24"
"2020-05-30","17","6","121","","93","33","34","2","","","318","28","173","","","3","39","8","44","","2","","","10","","","43","","","","","","24"
"2020-05-31","19","6","124","","","","35","2","1","","334","30","178","","11","","56","8","44","","3","14","","21","","","44","","4","","","","25"
"2020-06-01","","8","127","","93","33","48","","","9","336","30","238","","","3","68","8","47","","3","14","","27","","","47","","5","","","","30"
