"date","Rajasthan/Ajmer","Rajasthan/Alwar","Rajasthan/BSF Camp","Rajasthan/Banswara","Rajasthan/Baran","Rajasthan/Barmer","Rajasthan/Bharatpur","Rajasthan/Bhilwara","Rajasthan/Bikaner","Rajasthan/Bundi","Rajasthan/Chittorgarh","Rajasthan/Churu","Rajasthan/Dausa","Rajasthan/Dholpur","Rajasthan/Dungarpur","Rajasthan/Evacuees","Rajasthan/Ganganagar","Rajasthan/Hanumangarh","Rajasthan/Jaipur","Rajasthan/Jaisalmer","Rajasthan/Jalore","Rajasthan/Jhalawar","Rajasthan/Jhunjhunu","Rajasthan/Jodhpur","Rajasthan/Karauli","Rajasthan/Kota","Rajasthan/Nagaur","Rajasthan/Other State","Rajasthan/Other state","Rajasthan/Pali","Rajasthan/Pratapgarh","Rajasthan/Rajsamand","Rajasthan/Sawai Madhopur","Rajasthan/Sikar","Rajasthan/Sirohi","Rajasthan/Tonk","Rajasthan/Udaipur"
"2020-03-10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-26","","","","","","","","","","","","","","","","","","","  5.00 %","","","","","","","","","","","","","","","","","",""
"2020-03-27","","","","","","",""," -5.95 %","","","","","","","","","","","  5.00 %","","","","","-10.00 %","","","","","","","","","","","","",""
"2020-03-28","","","","","","","","  4.05 %","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-29","","","","","","","","-12.62 %","","","","","","","","","","","","","","","-16.67 %","","","","","","","","","","","","","",""
"2020-03-30","","","","","","","","  1.67 %","","","","","","","","","",""," ##.## %","","","","","-10.00 %","","","","","","","","","","","","",""
"2020-03-31","","","","","","","","","","","","","","","","","",""," ##.## %","","","","-16.67 %","","","","","","","","","","","","","",""
"2020-04-01","","","","","","","","","","","","","","","","","",""," ##.## %","","","","","   .00 %","","","","","","","","","","","","",""
"2020-04-02","","","","","","","","","","","","","","","","","",""," ##.## %","","","","   .00 %"," 20.00 %","","","","","","","","","","","","",""
"2020-04-03","","","","","","","","","","","","","","","","","",""," ##.## %","","","","","","","","","","","","","","","","","",""
"2020-04-04","","","","","","",""," 16.67 %","","","","","","",""," ##.## %","","","","","",""," ##.## %"," 70.00 %","","","","","","","","","","","","",""
"2020-04-05","","","","","","","","","","","","","","",""," ##.## %","",""," ##.## %","","",""," ##.## %"," 58.57 %","","","","","","","","","","","","",""
"2020-04-06","","","","","","","","","","","","","","",""," ##.## %","",""," ##.## %","","",""," ##.## %"," 45.24 %","","","","","","","","","","",""," 41.67 %",""
"2020-04-07","","","","","","","",""," 63.33 %","","","","","","","","",""," 25.59 %","","","",""," ##.## %","","","","","","","","","","","","",""
"2020-04-08","","","","","","","",""," 83.33 %","","","","","","","","",""," 91.48 %","","",""," ##.## %"," ##.## %","","","","","","","","","","","","",""
"2020-04-09","","","","","","",""," -3.33 %","","","","","","",""," ##.## %","",""," 85.40 %","","",""," ##.## %"," ##.## %","","","","","","","","","","",""," 91.67 %",""
"2020-04-10","","",""," ##.## %","",""," 16.67 %","","","","","","","",""," 80.89 %","",""," 56.86 %","","","",""," ##.## %","","","","","","","","","","","","",""
"2020-04-11",""," 26.67 %",""," ##.## %","","","",""," 83.33 %","","",""," 16.67 %","","","","",""," 82.95 %"," ##.## %","","","","",""," 98.00 %","","","","","","","","",""," 88.81 %",""
"2020-04-12","","",""," ##.## %","","","",""," 50.00 %","",""," ##.## %","","",""," 83.67 %","",""," 77.95 %"," ##.## %","","",""," ##.## %",""," 88.00 %","","","","","","","","",""," 99.14 %",""
"2020-04-13","","",""," ##.## %","",""," ##.## %","","","","",""," 56.67 %","","","  3.67 %","",""," 15.78 %","",""," 21.90 %",""," ##.## %",""," ##.## %","","","","","","","","","","",""
"2020-04-14","","","","","","","","","","","","","","","","","",""," 39.11 %","-17.81 %",""," 41.90 %"," ##.## %"," ##.## %",""," ##.## %","","","","","","","","","","",""
"2020-04-15","","","","","","","","","","","",""," 23.33 %","","","","",""," 19.16 %","","",""," ##.## %"," 79.05 %",""," ##.## %","","","","","","","","",""," 80.81 %",""
"2020-04-16","","","","","",""," ##.## %",""," 49.17 %","","","","","","","","",""," -9.03 %","","",""," ##.## %"," 41.05 %",""," 22.47 %","","","","","","","","",""," ##.## %",""
"2020-04-17"," ##.## %","","","","","","","","","","",""," 13.33 %","",""," 51.67 %","",""," 34.30 %","","","-18.10 %"," ##.## %"," 92.36 %",""," 72.47 %"," ##.## %","","","","","","","",""," ##.## %",""
"2020-04-18"," ##.## %","",""," 76.93 %","",""," ##.## %","","","","","","","","","","",""," 82.30 %"," -5.50 %","","",""," 28.55 %",""," 63.43 %"," ##.## %","","","","","","","",""," ##.## %",""
"2020-04-19"," ##.## %","","","","",""," ##.## %","-13.33 %"," 29.17 %","","","","","","","","",""," 37.86 %","-17.50 %",""," 13.33 %"," -7.14 %"," 57.08 %",""," 53.65 %"," ##.## %","","","","","","","","","",""
"2020-04-20"," ##.## %","","","-23.07 %","","","","-40.00 %","","","","","","",""," 15.00 %","",""," 93.13 %","","",""," 30.00 %"," 55.03 %",""," 56.15 %"," ##.## %","","","","","","","",""," ##.## %",""
"2020-04-21"," ##.## %","","","","","","","-40.00 %","","","",""," ##.## %","","","","",""," ##.## %"," 20.00 %","",""," 20.00 %"," 43.03 %",""," 60.38 %"," ##.## %","","","","","","","",""," ##.## %",""
"2020-04-22"," ##.## %","","","","",""," ##.## %","","","","",""," ##.## %","","","","",""," 85.49 %","","","","","-12.31 %",""," 60.38 %"," 65.32 %","","","","","","","",""," ##.## %",""
"2020-04-23"," ##.## %","","","","",""," 47.61 %","","","","","","","","","","",""," 27.40 %","","","","   .00 %"," 15.82 %",""," 70.38 %"," 98.65 %","","","","","","","","","",""
"2020-04-24","","","","","",""," 12.46 %","","","","","","","","","","",""," 62.60 %","",""," 40.00 %","","-15.88 %",""," ##.## %","","","","","","","","","","",""
"2020-04-25"," ##.## %","","","","",""," 15.94 %","","","","","","","","","","","","  8.43 %","",""," 55.00 %"," 10.00 %","  4.12 %",""," 51.93 %","","","","","","","","","","",""
"2020-04-26"," ##.## %","","","-24.73 %","",""," 17.84 %","","","","","","","","","",""," 48.00 %","  2.30 %","",""," 19.00 %",""," 70.12 %",""," 82.21 %"," 89.11 %","","","","","","","","","",""
"2020-04-27","  4.99 %","","","","","","","-52.00 %","","","","","","","","","",""," 12.82 %"," 10.00 %",""," ##.## %",""," 62.16 %",""," 37.77 %"," 89.89 %","","","-40.00 %","","","","",""," ##.## %",""
