"date","Sikkim/East Sikkim","Sikkim/North Sikkim","Sikkim/South Sikkim","Sikkim/West Sikkim"
"2020-05-23","","","   .00 %",""
"2020-06-03","   .00 %","","",""
"2020-06-05"," ##.## %","","",""
"2020-06-06"," 50.00 %","","","   .00 %"
"2020-06-09","   .00 %",""," ##.## %"," 33.33 %"
"2020-06-12"," ##.## %","","",""
"2020-06-13"," 58.82 %",""," ##.## %"," ##.## %"
"2020-06-14","-25.93 %",""," 17.39 %"," 53.85 %"
"2020-06-17","  5.00 %","","","  5.00 %"
"2020-06-18","   .00 %","","",""
"2020-06-19","   .00 %","","   .00 %","   .00 %"
"2020-06-21"," 19.05 %",""," 14.81 %",""
"2020-06-22","","","   .00 %",""
"2020-06-24","   .00 %",""," 12.90 %","   .00 %"
"2020-06-25","  4.00 %","","  2.86 %",""
"2020-06-26","  3.85 %","   .00 %","  5.56 %",""
"2020-06-27","   .00 %","","","   .00 %"
"2020-06-28","  3.70 %","","",""
"2020-06-30","","","","   .00 %"
"2020-07-01","  3.57 %","   .00 %","",""
"2020-07-02"," 41.38 %","","","   .00 %"
"2020-07-04","  4.88 %","","",""
"2020-07-05"," 51.16 %","","",""
"2020-07-06","   .00 %","","",""
"2020-07-07","  3.08 %","","",""
"2020-07-08","  8.96 %","","",""
"2020-07-09","  1.37 %","","",""
"2020-07-10","-17.57 %","","",""
"2020-07-11"," 42.62 %","","",""
"2020-07-12","  4.60 %","","",""
"2020-07-13","  1.10 %","","  2.63 %",""
"2020-07-14"," 42.39 %",""," 12.82 %","  4.76 %"
"2020-07-15","  8.40 %","","",""
"2020-07-16","  9.15 %","","",""
"2020-07-17"," 16.13 %","",""," 31.82 %"
"2020-07-18"," 10.56 %","","",""
"2020-07-19","  5.03 %","","",""
"2020-07-20"," 10.53 %","","",""
"2020-07-21"," 10.39 %","","  2.27 %",""
"2020-07-22"," 23.92 %",""," ##.## %","  3.45 %"
"2020-07-23","  6.01 %","","   .00 %"," 10.00 %"
"2020-07-24","  3.28 %","","   .00 %"," 18.18 %"
"2020-07-25","",""," 24.18 %",""
"2020-07-26","   .00 %",""," 40.71 %",""
"2020-07-28","  2.31 %",""," 10.06 %",""
"2020-07-29"," 12.15 %",""," -9.14 %",""
"2020-07-30","  7.05 %","","-10.06 %","  5.13 %"
"2020-07-31","  6.59 %","","","  2.44 %"
"2020-08-01","  2.43 %","","",""
"2020-08-02","  1.51 %","","   .70 %",""
"2020-08-03","  3.40 %","","  9.72 %",""
"2020-08-04"," 22.38 %",""," -8.86 %",""
"2020-08-05","  2.85 %","","",""
"2020-08-07","  8.81 %","","",""
"2020-08-10","  8.40 %","","",""
"2020-08-11","   .41 %","","",""
"2020-08-12","  2.34 %","","",""
"2020-08-13","   .13 %","","",""
"2020-08-14"," 20.03 %","","",""
"2020-08-15","  7.61 %","","",""
"2020-08-16","  1.98 %","","",""
"2020-08-17","  2.04 %","","",""
"2020-08-18","  2.00 %","","",""
"2020-08-19","  2.45 %","","",""
"2020-08-20","  5.55 %","","",""
"2020-08-21","  4.17 %","","",""
"2020-08-22","  3.92 %","","",""
"2020-08-24","  5.44 %","","",""
"2020-08-25","  2.30 %","","",""
"2020-08-26","   .85 %","","",""
"2020-08-27","  4.31 %","","",""
"2020-08-28","  2.51 %","","",""
"2020-08-29","  1.87 %","","",""
"2020-08-30","-19.51 %",""," ##.## %","  4.76 %"
"2020-08-31","  2.02 %","","","  4.55 %"
"2020-09-01","  1.38 %","","   .45 %",""
"2020-09-02","  2.55 %","","   .67 %","  2.17 %"
"2020-09-05"," 11.67 %","","  6.03 %"," 61.70 %"
"2020-09-08","  3.41 %","",""," 14.47 %"
"2020-09-09","  2.22 %","","",""
"2020-09-10","  1.40 %","","",""
"2021-01-01","   .07 %","","",""
"2021-01-03","   .62 %","","",""
"2021-01-04","","","","  1.15 %"
"2021-01-05","   .62 %","","  1.47 %","  1.14 %"
"2021-01-06","   .61 %","","   .21 %","  3.37 %"
"2021-01-09","   .27 %","","","  1.09 %"
"2021-01-10","   .47 %","","","  2.15 %"
"2021-01-12","   .40 %","","   .21 %",""
"2021-01-13","   .54 %","","",""
"2021-01-14","   .33 %","","   .21 %","  1.05 %"
"2021-01-15","   .86 %","","",""
"2021-01-16","   .20 %","","","  2.08 %"
"2021-01-17","   .59 %","","",""
"2021-01-20","   .33 %","","",""
"2021-01-21","   .20 %","","   .41 %",""
"2021-01-22","","","","  1.02 %"
"2021-01-23","   .26 %","","","  1.01 %"
"2021-01-24","   .45 %","","",""
"2021-01-25","","","","  2.00 %"
"2021-01-27","   .06 %","","",""
"2021-01-28","   .26 %","","","   .98 %"
"2021-01-29","   .06 %","","",""
"2021-01-30","   .19 %","","",""
"2021-01-31","   .13 %","","",""
"2021-02-01","   .06 %","","",""
