"date","Telangana/Adilabad","Telangana/Bhadradri Kothagudem","Telangana/Foreign Evacuees","Telangana/Hyderabad","Telangana/Jagtial","Telangana/Jangaon","Telangana/Jayashankar Bhupalapally","Telangana/Jogulamba Gadwal","Telangana/Kamareddy","Telangana/Karimnagar","Telangana/Khammam","Telangana/Komaram Bheem","Telangana/Mahabubabad","Telangana/Mahabubnagar","Telangana/Mancherial","Telangana/Medak","Telangana/Medchal Malkajgiri","Telangana/Mulugu","Telangana/Nagarkurnool","Telangana/Nalgonda","Telangana/Narayanpet","Telangana/Nirmal","Telangana/Nizamabad","Telangana/Other State","Telangana/Peddapalli","Telangana/Rajanna Sircilla","Telangana/Ranga Reddy","Telangana/Sangareddy","Telangana/Siddipet","Telangana/Suryapet","Telangana/Vikarabad","Telangana/Wanaparthy","Telangana/Warangal Rural","Telangana/Warangal Urban","Telangana/Yadadri Bhuvanagiri"
"2020-03-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-14","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-15","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-16","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-18","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-19","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-20","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-21","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-22","","1","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","","","","20","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-24","","3","","22","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","",""
"2020-03-25","","","","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-26","","","","27","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","",""
"2020-03-27","","","","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-28","","","","48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-29","","","","51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-30","","","","58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-31","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-01","","","","108","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-02","","","","135","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-04-03","","","","141","","","","","","","2","","","","","","","","","","","","1","","","1","23","6","1","6","6","","","20",""
"2020-04-04","","","","","","","","","","15","","","1","4","","5","","","","","","","20","","","","","","","","","","","",""
"2020-04-05","1","","","192","","","","","","","","","","","","","","","","","","1","21","","1","","","7","","","8","","","",""
"2020-04-06","","","","","1","","","8","","16","","","","7","","","4","","","","","4","28","","2","","","","","9","","","","",""
"2020-04-07","2","","","209","","","","17","","","","","","10","","","","","","","","","38","","","","","","","","","","","",""
"2020-04-08","","","","212","","","","","","","","","","","","","6","2","2","12","","15","49","","","","","","","","","","","",""
