"date","Tripura/Dhalai","Tripura/Gomati","Tripura/Khowai","Tripura/North Tripura","Tripura/Sipahijala","Tripura/South Tripura","Tripura/Unokoti","Tripura/West Tripura"
"2020-04-06","","","","","","","",""
"2020-04-10","","","","","","","",""
"2020-04-30","","","","","","","",""
"2020-05-02","","","","","","","",""
"2020-05-03","","","","","","","",""
"2020-05-04","","","","","","","",""
"2020-05-05","","","","","","","",""
"2020-05-06"," ##.## %","","","","","","",""
"2020-05-07"," ##.## %","","","","","","",""
"2020-05-08"," 22.33 %","","","","","","",""
"2020-05-09"," 11.33 %","","","","","","",""
"2020-05-10"," 11.33 %","","","","","","",""
"2020-05-12","-20.02 %","","","","","","",""
"2020-05-13","-31.83 %","","","","","","",""
"2020-05-14","-36.83 %","","","","","","",""
"2020-05-15","","","","","","","",""
"2020-05-16","","","","","","","",""
"2020-05-17","","","","","","","",""
"2020-05-18","","","","","","","",""
"2020-05-19","","","","","","","",""
"2020-05-21","","","","","","","",""
"2020-05-22","","","","","","","",""
"2020-05-23","","","","","","","",""
"2020-05-24","","","","","","","",""
"2020-05-26","","","","","","","",""
"2020-05-27",""," ##.## %","","","","","",""
"2020-05-28","","","","","","","",""
"2020-05-30",""," ##.## %","","","","","",""
"2020-05-31",""," ##.## %","","","","","",""
"2020-06-01",""," ##.## %","",""," ##.## %"," 43.33 %",""," 61.11 %"
"2020-06-02",""," ##.## %","",""," ##.## %"," 91.33 %"," ##.## %"," 36.11 %"
"2020-06-03",""," 56.19 %"," 52.00 %",""," ##.## %"," 94.86 %"," ##.## %"," 49.44 %"
"2020-06-04",""," 60.53 %"," 34.86 %"," 10.00 %"," ##.## %"," 92.86 %","","-38.33 %"
"2020-06-05"," 49.39 %"," 22.76 %"," 52.86 %",""," ##.## %"," 57.86 %"," ##.## %"," 17.22 %"
"2020-06-06"," 89.39 %"," 49.42 %"," 52.86 %"," 10.00 %"," ##.## %","",""," 20.56 %"
"2020-06-07",""," 39.42 %","",""," ##.## %","","",""
"2020-06-08","","","",""," ##.## %","","",""
"2020-06-09","","","",""," ##.## %","","",""
"2020-06-10","","  4.42 %","","","-14.13 %",""," ##.## %",""
"2020-06-11","","  3.89 %","","","  1.59 %","","",""
"2020-06-12",""," 61.67 %","",""," 11.33 %","","",""
"2020-06-13",""," 41.67 %","",""," 53.60 %","","",""
"2020-06-14","","","",""," 52.59 %","","",""
"2020-06-15","","","",""," 50.27 %","","",""
"2020-06-16","","","",""," 14.71 %","","",""
"2020-06-17","","","","","-13.86 %","","",""
"2020-06-18","","","","","  8.36 %","","",""
"2020-06-19","","","","","","","",""
"2020-06-20","","  8.67 %","","","","","","-18.00 %"
"2020-06-21",""," 68.67 %","","","","",""," 68.67 %"
"2020-06-22","","","","","","",""," 53.67 %"
"2020-06-23",""," 53.67 %"," 52.00 %","-16.67 %","","",""," 56.67 %"
"2020-06-24","","","","","","","",""
"2020-06-25"," 45.00 %","","","-16.67 %","","","",""
"2020-06-26"," 45.00 %","","","","","","",""
"2020-06-27"," 65.00 %","","","  3.33 %","","","",""
"2020-06-28","","","","","","","",""
"2020-06-29","","","",""," ##.## %","","","-33.33 %"
"2020-06-30","","",""," 10.00 %","","","","-45.33 %"
"2020-07-01","","","-16.67 %","   .00 %"," ##.## %","","","-75.33 %"
"2020-07-02"," 95.00 %","","  3.33 %"," ##.## %"," ##.## %","",""," 38.00 %"
"2020-07-03"," ##.## %"," ##.## %"," 73.33 %"," ##.## %"," ##.## %"," 46.67 %",""," 96.89 %"
"2020-07-04"," ##.## %",""," 62.22 %"," 99.49 %","-24.75 %"," 36.67 %",""," 86.30 %"
"2020-07-05"," 97.67 %",""," ##.## %"," 99.49 %","-22.53 %","",""," 95.80 %"
"2020-07-06"," ##.## %",""," ##.## %"," 94.49 %"," 67.47 %","",""," ##.## %"
"2020-07-07"," 74.33 %","",""," ##.## %","","",""," -7.83 %"
"2020-07-08","","",""," 82.58 %","","","","  6.62 %"
"2020-07-09",""," ##.## %",""," 81.43 %","","","","  5.21 %"
"2020-07-10",""," ##.## %",""," 81.43 %","","",""," ##.## %"
"2020-07-11",""," 69.83 %",""," ##.## %",""," 24.00 %",""," ##.## %"
"2020-07-12",""," ##.## %",""," 41.43 %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"
"2020-07-13",""," 96.77 %",""," 34.00 %"," ##.## %"," ##.## %",""," ##.## %"
"2020-07-14"," ##.## %"," ##.## %",""," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"
"2020-07-15"," ##.## %"," ##.## %",""," ##.## %"," 59.25 %"," ##.## %"," 19.00 %"," 36.65 %"
"2020-07-16"," ##.## %"," ##.## %",""," ##.## %"," 74.22 %"," ##.## %"," 21.67 %"," 65.37 %"
"2020-07-17","","","","","","","",""
"2020-07-18","","","","",""," 50.04 %"," ##.## %",""
"2020-07-19","","","","",""," 50.99 %"," ##.## %",""
"2020-07-20","","","","",""," 40.99 %"," ##.## %",""
"2020-07-21","","","","",""," 88.29 %"," ##.## %",""
"2020-07-22","-14.04 %"," -8.43 %"," 36.29 %"," 27.95 %"," -9.82 %"," 47.03 %",""," 10.94 %"
"2020-07-23","-22.92 %","  5.64 %"," 36.29 %"," 39.71 %"," 21.01 %"," ##.## %",""," 13.70 %"
"2020-07-24","-30.92 %","   .53 %"," 42.62 %"," 27.17 %"," 18.73 %"," ##.## %",""," -1.33 %"
"2020-07-25","-15.24 %"," -9.08 %"," 56.33 %"," 26.55 %"," 25.95 %"," ##.## %","","-10.49 %"
"2020-07-26","","-12.83 %","-21.44 %"," -6.78 %"," 13.36 %","","","-22.35 %"
"2020-07-27",""," 11.74 %"," ##.## %"," 31.14 %"," 77.58 %","",""," 83.01 %"
"2020-07-28",""," 13.12 %"," ##.## %"," 22.70 %"," 39.43 %","",""," 98.26 %"
"2020-07-29",""," 24.14 %"," ##.## %"," 40.90 %"," 61.55 %","",""," ##.## %"
"2020-07-30",""," 32.67 %"," ##.## %"," 37.77 %"," 48.12 %","",""," ##.## %"
"2020-07-31","-10.00 %"," 37.61 %"," ##.## %"," 50.27 %"," 56.47 %"," ##.## %",""," ##.## %"
"2020-08-01"," 25.00 %"," 15.29 %"," 49.21 %"," 18.89 %","-10.92 %"," ##.## %",""," 24.08 %"
"2020-08-02","  1.97 %"," -2.27 %"," 18.82 %","  8.06 %","-15.18 %","  6.36 %",""," -3.82 %"
"2020-08-04"," -1.36 %"," -8.00 %"," 42.95 %","   .15 %"," 27.13 %"," -2.27 %",""," -8.54 %"
"2020-08-05"," 68.64 %","-11.98 %"," 45.45 %","  2.14 %"," 15.22 %","-12.53 %",""," -5.86 %"
"2020-08-06"," 78.64 %","-14.84 %","  1.96 %","-27.03 %"," 46.13 %"," 16.56 %","","-17.57 %"
"2020-08-07"," 30.30 %"," 13.80 %"," -6.04 %","-18.14 %"," 40.09 %"," 25.97 %",""," -3.48 %"
"2020-08-08"," 66.67 %","  2.72 %","  2.07 %"," 13.80 %"," 71.67 %"," ##.## %",""," 12.02 %"
"2020-08-09"," 96.67 %","  -.57 %","  3.66 %"," 10.80 %"," 25.00 %"," ##.## %",""," 12.97 %"
"2020-08-10"," 19.17 %","-10.14 %"," -3.07 %"," 33.40 %"," 20.48 %"," ##.## %",""," -4.42 %"
"2020-08-11"," 89.17 %","  -.98 %"," ##.## %"," 37.80 %"," 73.81 %"," 86.43 %",""," 54.47 %"
"2020-08-12"," 98.50 %"," 80.71 %"," 98.33 %"," 39.74 %"," 73.24 %","",""," 31.26 %"
"2020-08-13"," 83.50 %"," 93.26 %"," ##.## %","  8.03 %"," ##.## %","",""," 24.64 %"
"2020-08-14"," 79.50 %"," ##.## %"," ##.## %"," 27.03 %"," ##.## %","",""," 39.26 %"
"2020-08-15"," 79.22 %"," 98.83 %"," ##.## %","   .62 %"," ##.## %",""," ##.## %"," 60.87 %"
"2020-08-16","  -.78 %"," ##.## %"," -8.12 %","  3.22 %"," 33.31 %",""," ##.## %","  3.14 %"
"2020-08-17"," ##.## %","-17.82 %"," 28.47 %","  9.36 %"," ##.## %"," 73.33 %"," ##.## %"," 12.27 %"
"2020-08-18"," ##.## %"," 92.80 %"," 25.97 %"," 12.79 %"," ##.## %"," 77.78 %"," ##.## %"," 18.30 %"
"2020-08-19"," ##.## %"," ##.## %"," 22.07 %"," 28.50 %"," ##.## %"," 14.14 %"," ##.## %"," 13.87 %"
"2020-08-20"," ##.## %"," ##.## %","  4.59 %"," 11.96 %"," ##.## %"," 12.47 %"," 60.27 %","  5.19 %"
"2020-08-21"," ##.## %"," ##.## %"," 95.70 %"," 28.29 %"," ##.## %"," 62.47 %"," 44.08 %"," 16.11 %"
"2020-08-22"," ##.## %"," ##.## %"," 66.10 %"," 25.70 %"," 19.80 %"," 42.74 %"," 79.91 %"," 23.64 %"
"2020-08-23"," 90.51 %"," 42.72 %"," 59.57 %"," 38.12 %"," 27.90 %"," 33.29 %"," 92.80 %"," 18.50 %"
"2020-08-24"," 92.53 %"," 22.65 %"," 47.57 %","  7.40 %"," ##.## %"," 23.60 %"," 80.45 %","  1.95 %"
"2020-08-25"," 82.14 %"," 90.98 %"," 79.42 %"," 54.24 %"," ##.## %"," 93.60 %"," ##.## %","  5.87 %"
"2020-08-26"," 91.43 %"," 35.29 %"," -5.58 %"," 34.96 %"," 84.69 %"," 58.26 %"," ##.## %"," 11.31 %"
"2020-08-27"," 12.76 %"," 49.42 %"," 10.68 %"," 31.57 %"," 90.29 %"," 52.43 %"," ##.## %","  8.76 %"
"2020-08-28"," 38.18 %"," 57.09 %"," 47.22 %"," 21.75 %"," ##.## %"," 51.55 %"," 93.80 %"," 12.06 %"
"2020-08-29"," 51.04 %"," 58.26 %"," 34.04 %"," 21.42 %"," 30.15 %"," 83.21 %"," ##.## %"," 17.59 %"
"2020-08-30"," 27.48 %"," 21.03 %"," ##.## %","  6.63 %"," 32.89 %"," 18.14 %","  4.89 %"," 12.55 %"
"2020-08-31"," 42.17 %","  9.90 %"," ##.## %","  9.95 %"," 13.79 %"," -2.72 %"," -6.33 %","  3.22 %"
"2020-09-01"," 44.60 %"," ##.## %"," ##.## %"," 13.21 %"," 75.69 %"," 68.52 %"," 89.36 %"," 41.90 %"
"2020-09-02"," 14.00 %"," 90.45 %"," ##.## %"," 10.11 %"," 29.12 %"," 67.34 %"," 79.58 %"," 29.16 %"
"2020-09-03"," 21.58 %"," ##.## %"," ##.## %"," 14.33 %"," 36.94 %"," 51.74 %"," 71.01 %"," 29.88 %"
"2020-09-04"," 27.32 %"," 81.42 %"," 23.08 %"," -3.15 %"," 42.66 %"," 51.88 %"," 67.57 %"," 30.93 %"
"2020-09-05"," 17.47 %"," ##.## %"," 42.07 %"," 38.79 %"," 64.92 %"," 69.08 %"," 74.85 %"," 36.45 %"
"2020-09-06","  3.74 %"," -2.41 %"," -5.39 %"," 21.84 %","  9.92 %","  -.87 %","  4.72 %"," -9.89 %"
"2020-09-07"," -5.84 %","  -.02 %"," -1.33 %"," 18.53 %","  6.09 %"," -4.50 %","  5.55 %"," -3.97 %"
"2020-09-08"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"," ##.## %"
