"date","Uttarakhand/Almora","Uttarakhand/Bageshwar","Uttarakhand/Chamoli","Uttarakhand/Champawat","Uttarakhand/Dehradun","Uttarakhand/Haridwar","Uttarakhand/Nainital","Uttarakhand/Pauri Garhwal","Uttarakhand/Pithoragarh","Uttarakhand/Rudraprayag","Uttarakhand/Tehri Garhwal","Uttarakhand/Udham Singh Nagar","Uttarakhand/Uttarkashi"
"2020-03-15","","","","","","","","","","","","",""
"2020-03-19","","","","","0","","","","","","","",""
"2020-03-25","","","","","","","","","","","","",""
"2020-03-28","","","","","-1","","","","","","","",""
"2020-03-29","","","","","0","","","","","","","",""
"2020-04-02","","","","","","","","","","","","",""
"2020-04-03","","","","","5","","","","","","","",""
"2020-04-04","","","","","","","","","","","","",""
"2020-04-05","","","","","-3","","-4","","","","","",""
"2020-04-06","","","","","-1","","1","","","","","",""
"2020-04-08","","","","","-1","1","","","","","","-2",""
"2020-04-14","","","","","","0","","","","","","",""
"2020-04-17","","","","","1","","-1","","","","","",""
"2020-04-18","","","","","","0","","","","","","",""
"2020-04-19","","","","","0","","","","","","","",""
"2020-04-20","","","","","0","","","","","","","",""
"2020-04-23","","","","","-1","","","","","","","",""
"2020-04-24","","","","","","","0","","","","","",""
"2020-04-28","","","","","2","","","","","","","",""
"2020-04-29","","","","","","","","","","","","0",""
"2020-04-30","","","","","","","","","","","","1",""
"2020-05-01","","","","","","","","","","","","",""
"2020-05-02","","","","","","","","","","","","",""
"2020-05-03","","","","","","","","","","","","-1",""
"2020-05-05","","","","","-1","","","","","","","",""
"2020-05-08","","","","","","","","","","","","0",""
"2020-05-09","","","","","","-2","","","","","","3",""
"2020-05-10","","","","","","","","","","","","",""
"2020-05-12","","","","","","","","","","","","",""
"2020-05-13","0","","","","0","","0","","","","","",""
"2020-05-14","","","","","2","","","","","","","-1",""
"2020-05-15","","","","","-2","","","0","","","","",""
"2020-05-16","","","","","3","","-1","","","","","",""
"2020-05-17","","","","","-3","","","","","","","",""
"2020-05-18","","","","","1","","0","","","","","","0"
"2020-05-19","","","","","","","6","1","","","","-1",""
"2020-05-20","0","","","","","","-5","","","","","1","0"
