"date","Alaska/Aleutians East","Alaska/Aleutians West","Alaska/Anchorage","Alaska/Bethel","Alaska/Bristol Bay","Alaska/Denali","Alaska/Dillingham","Alaska/Fairbanks North Star","Alaska/Haines","Alaska/Hoonah-Angoon","Alaska/Juneau","Alaska/Kenai Peninsula","Alaska/Ketchikan Gateway","Alaska/Kodiak Island","Alaska/Kusilvak","Alaska/Lake and Peninsula","Alaska/Matanuska-Susitna","Alaska/Nome","Alaska/North Slope","Alaska/Northwest Arctic","Alaska/Petersburg","Alaska/Prince of Wales-Hyder","Alaska/Sitka","Alaska/Skagway","Alaska/Soldotna","Alaska/Southeast Fairbanks","Alaska/Sterling","Alaska/Unassigned","Alaska/Valdez-Cordova","Alaska/Wrangell","Alaska/Yakutat","Alaska/Yukon-Koyukuk"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-26","   .00 %","   .00 %"," 51.10 %","   .00 %","   .00 %","   .00 %","   .00 %"," 10.57 %","   .00 %","   .00 %"," 20.00 %","  6.67 %"," 14.17 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-27","   .00 %","   .00 %"," 52.52 %","   .00 %","   .00 %","   .00 %","   .00 %","  8.75 %","   .00 %","   .00 %"," 30.00 %","  6.67 %"," 14.17 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-28","   .00 %","   .00 %"," 29.19 %","   .00 %","   .00 %","   .00 %","   .00 %"," 26.75 %","   .00 %","   .00 %"," 36.67 %"," 11.67 %"," 15.98 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-29","   .00 %","   .00 %"," 28.15 %","   .00 %","   .00 %","   .00 %","   .00 %"," 30.96 %","   .00 %","   .00 %"," 36.67 %"," 19.67 %"," 15.98 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-30","   .00 %","   .00 %"," 30.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 26.74 %","   .00 %","   .00 %"," 21.67 %"," 13.00 %"," 10.98 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-31","",""," 17.74 %","","","",""," 26.17 %","",""," 21.67 %"," 13.00 %","  3.48 %","","",""," 10.00 %","","","","","","","","","","","   .00 %","","","",""
"2020-04-01","",""," 17.62 %","","","",""," 31.32 %","",""," 27.67 %"," 13.00 %","  3.48 %","","",""," 10.00 %","","","","","","","","","","","   .00 %","","","",""
"2020-04-02","","","  9.57 %","","","",""," 16.18 %","",""," 23.22 %"," 10.86 %","  3.21 %","","",""," 16.67 %","","","","","","","","","","","   .00 %","","","",""
"2020-04-03","","","  6.25 %","","","",""," 12.97 %","",""," 25.22 %","  7.86 %","  3.21 %","","",""," 16.67 %","","","","   .00 %","","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-04","","","  6.59 %","","","",""," 10.52 %","",""," 22.04 %","  9.86 %","  1.54 %","","",""," 16.67 %","","","","   .00 %","","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-05","","","  6.90 %","","","",""," 12.14 %","",""," 25.37 %"," 11.68 %","  1.54 %","","","","  6.67 %","","","","   .00 %","","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-06","","","  6.29 %","","","","","  8.81 %","","","  9.37 %"," 13.34 %","  1.54 %","","","","  6.67 %","","",""," 20.00 %","","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-07","","","  7.95 %","   .00 %","","",""," 10.48 %","","","  7.15 %"," 10.48 %","   .00 %","","","","   .00 %","","",""," 20.00 %","","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-08","","","  7.18 %","   .00 %","","",""," 11.32 %","","","  5.15 %","  5.48 %","   .00 %","","","","  5.00 %","","",""," 20.00 %","","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-09","","","  6.15 %","   .00 %","","","","  9.98 %","","","  3.33 %","  5.02 %","   .00 %","","","","  9.00 %","","",""," 20.00 %","","","","","   .00 %","","-20.00 %","","","","   .00 %"
"2020-04-10","","","  5.71 %","   .00 %","","","","  7.76 %","","","  1.43 %","  4.63 %","   .00 %","","",""," 19.00 %","","",""," 20.00 %","","","","","   .00 %","","-20.00 %","","","","   .00 %"
"2020-04-11","","","  6.62 %","   .00 %","","","","  7.76 %","","","  1.43 %","  2.97 %","   .00 %","","",""," 21.22 %","","","","   .00 %","   .00 %","","","","   .00 %","","-20.00 %","","","","   .00 %"
"2020-04-12","","","  5.33 %","   .00 %","","","","  4.02 %","","","  2.76 %","  2.97 %","  1.43 %","","",""," 29.22 %","","","","   .00 %","   .00 %","","","","   .00 %","","-20.00 %","","","","   .00 %"
"2020-04-13","","","  4.94 %","   .00 %","","","","  2.17 %","","","  4.01 %","  2.97 %","  1.43 %","","",""," 24.22 %","","","","   .00 %","   .00 %","","","","   .00 %","","-20.00 %","","","","   .00 %"
"2020-04-14","","","  4.54 %","   .00 %","","","","  1.61 %","","","  5.19 %","  1.43 %","  1.43 %","","",""," 21.65 %","","","","   .00 %"," 20.00 %","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-15","","","  4.43 %","   .00 %","","","","   .79 %","","","  7.09 %","  1.33 %","  1.43 %","","",""," 11.65 %","   .00 %","","","   .00 %"," 20.00 %","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-16","","","  3.40 %","   .00 %","","","","   .79 %","","","  9.00 %","  1.33 %","  1.43 %","   .00 %","","","  9.43 %","   .00 %","","","   .00 %"," 20.00 %","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-17","","","  3.39 %","   .00 %","","","","   .00 %","","","  8.53 %","  2.58 %","   .00 %","   .00 %","","","  1.43 %","   .00 %","","","   .00 %"," 20.00 %","","","","   .00 %","","   .00 %","","","","   .00 %"
"2020-04-18","","","  2.89 %","   .00 %","","","","   .00 %","","","  7.28 %","  4.94 %","   .00 %","   .00 %","","","  4.10 %","   .00 %","","","   .00 %"," 20.00 %","","","","   .00 %","","   .00 %","","","","   .00 %"
