"date","California/Alameda","California/Alpine","California/Amador","California/Butte","California/Calaveras","California/Colusa","California/Contra Costa","California/Del Norte","California/El Dorado","California/Fresno","California/Glenn","California/Humboldt","California/Imperial","California/Inyo","California/Kern","California/Kings","California/Lake","California/Lassen","California/Los Angeles","California/Madera","California/Marin","California/Mariposa","California/Mendocino","California/Merced","California/Modoc","California/Mono","California/Monterey","California/Napa","California/Nevada","California/Orange","California/Placer","California/Plumas","California/Riverside","California/Sacramento","California/San Benito","California/San Bernardino","California/San Diego","California/San Francisco","California/San Joaquin","California/San Luis Obispo","California/San Mateo","California/Santa Barbara","California/Santa Clara","California/Santa Cruz","California/Shasta","California/Sierra","California/Siskiyou","California/Solano","California/Sonoma","California/Stanislaus","California/Sutter","California/Tehama","California/Trinity","California/Tulare","California/Tuolumne","California/Unassigned","California/Ventura","California/Yolo","California/Yuba"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-26"," 22.49 %","   .00 %"," 20.00 %"," 45.00 %"," 10.00 %","   .00 %"," 16.88 %","   .00 %"," 10.00 %"," 32.14 %","   .00 %"," 45.00 %"," 10.00 %"," 20.00 %"," 51.41 %","   .00 %","   .00 %","   .00 %"," 25.84 %"," 23.33 %","  9.93 %","   .00 %"," 20.00 %"," 20.00 %","   .00 %"," 60.00 %"," 18.03 %"," 60.00 %"," 51.67 %"," 22.62 %"," 23.33 %","   .00 %"," 31.25 %"," 18.89 %"," 13.05 %"," 29.41 %"," 14.11 %"," 15.94 %"," 18.88 %"," 16.49 %"," 11.08 %"," 16.03 %"," 15.90 %"," 11.98 %"," 30.00 %","   .00 %"," 10.00 %"," 20.23 %"," 11.58 %"," 22.98 %","   .00 %","   .00 %","   .00 %","  9.09 %","   .00 %",""," 15.26 %"," 13.67 %","-10.00 %"
"2020-03-27"," 27.21 %","   .00 %"," 20.00 %"," 45.00 %"," 10.00 %","   .00 %"," 19.32 %","   .00 %"," 50.00 %"," 40.56 %","   .00 %"," 49.00 %"," 27.78 %"," 30.00 %"," 54.17 %","   .00 %","   .00 %","   .00 %"," 29.68 %"," 31.90 %"," 11.60 %","   .00 %"," 20.00 %"," 40.00 %","   .00 %"," 70.00 %"," 18.03 %"," 60.00 %"," 54.52 %"," 27.70 %"," 23.33 %","   .00 %"," 39.63 %"," 27.92 %"," 21.94 %"," 29.41 %"," 17.38 %"," 20.97 %"," 24.23 %"," 18.35 %"," 15.60 %"," 20.64 %"," 17.08 %"," 17.58 %"," 30.00 %","   .00 %"," 10.00 %"," 22.16 %"," 15.36 %"," 29.14 %","   .00 %","   .00 %","   .00 %"," 11.32 %","   .00 %",""," 19.66 %"," 17.30 %","-10.00 %"
"2020-03-28"," 13.97 %","   .00 %"," 20.00 %"," 25.00 %"," 10.00 %","   .00 %"," 18.90 %","   .00 %"," 56.67 %"," 43.52 %","   .00 %"," 52.33 %"," 32.48 %"," 43.33 %"," 34.65 %","   .00 %","   .00 %","   .00 %"," 23.34 %"," 33.90 %"," 12.52 %","   .00 %"," 20.00 %"," 55.00 %","   .00 %"," 76.67 %"," 19.24 %"," 50.00 %"," 44.52 %"," 26.49 %"," 30.67 %","   .00 %"," 32.47 %"," 14.71 %"," 19.47 %"," 37.56 %"," 15.67 %"," 18.78 %"," 18.45 %"," 21.06 %"," 14.25 %"," 22.32 %"," 14.70 %","  9.50 %"," 10.00 %","   .00 %"," 10.00 %"," 20.63 %"," 11.72 %"," 24.20 %"," 10.00 %","   .00 %","   .00 %","  8.65 %","   .00 %",""," 22.87 %"," 21.92 %","-20.00 %"
"2020-03-29"," 15.63 %","   .00 %","   .00 %"," 25.00 %"," 10.00 %","   .00 %"," 14.68 %","   .00 %"," 56.67 %"," 27.93 %","   .00 %"," 38.05 %"," 36.29 %"," 55.33 %"," 34.69 %","   .00 %","   .00 %","   .00 %"," 23.61 %"," 21.18 %","  9.55 %","   .00 %"," 10.00 %"," 57.86 %","   .00 %"," 84.17 %"," 13.17 %"," 52.22 %"," 34.52 %"," 23.56 %"," 23.19 %","   .00 %"," 29.00 %"," 14.71 %"," 19.47 %"," 21.09 %"," 16.62 %"," 17.66 %"," 17.87 %","  9.95 %"," 11.79 %"," 29.56 %"," 11.73 %"," 13.62 %"," 16.67 %","   .00 %"," 10.00 %"," 10.63 %"," 14.92 %"," 21.91 %"," 30.00 %","   .00 %","   .00 %"," 11.57 %","   .00 %",""," 23.15 %"," 15.25 %","-20.00 %"
"2020-03-30"," 16.60 %","   .00 %","   .00 %","  5.00 %"," 10.00 %","   .00 %"," 11.82 %","   .00 %"," 46.67 %"," 20.24 %","   .00 %"," 33.05 %"," 26.29 %"," 55.33 %"," 35.14 %","   .00 %","   .00 %","   .00 %"," 26.13 %"," 25.18 %"," 12.13 %","   .00 %"," 16.67 %"," 40.36 %","   .00 %"," 27.80 %","  9.17 %"," 60.22 %"," 36.19 %"," 20.49 %"," 13.19 %","   .00 %"," 34.98 %"," 16.34 %"," 16.14 %"," 25.78 %"," 16.84 %"," 16.24 %"," 12.97 %","  9.24 %"," 13.61 %"," 24.14 %"," 13.50 %"," 13.26 %","  6.67 %","   .00 %","  6.67 %","  7.77 %"," 11.48 %"," 21.48 %"," 30.00 %","   .00 %","   .00 %"," 15.70 %","   .00 %",""," 23.11 %"," 10.25 %","  6.67 %"
"2020-03-31"," 12.35 %","","   .00 %"," 12.00 %","   .00 %","   .00 %"," 10.24 %",""," 51.67 %"," 23.78 %"," 20.00 %"," 16.38 %"," 32.69 %"," 35.33 %"," 24.14 %"," 10.00 %","",""," 20.27 %"," 25.18 %"," 10.78 %",""," 16.67 %"," 42.58 %",""," 27.80 %"," 11.39 %"," 20.22 %"," 25.90 %"," 14.75 %"," 14.70 %",""," 29.60 %"," 16.34 %"," 14.71 %"," 19.88 %"," 15.64 %"," 12.41 %"," 14.20 %","  8.29 %","  9.97 %"," 28.36 %"," 10.88 %"," 12.89 %"," 16.67 %","","  1.67 %","  7.23 %"," 14.88 %"," 21.10 %"," 40.00 %","",""," 19.10 %","   .00 %",""," 20.59 %"," 18.25 %"," 16.67 %"
