"date","Idaho/Ada","Idaho/Adams","Idaho/Bannock","Idaho/Bear Lake","Idaho/Benewah","Idaho/Bingham","Idaho/Blaine","Idaho/Boise","Idaho/Bonner","Idaho/Bonneville","Idaho/Boundary","Idaho/Butte","Idaho/Camas","Idaho/Canyon","Idaho/Caribou","Idaho/Cassia","Idaho/Clark","Idaho/Clearwater","Idaho/Custer","Idaho/Elmore","Idaho/Franklin","Idaho/Fremont","Idaho/Gem","Idaho/Gooding","Idaho/Idaho","Idaho/Jefferson","Idaho/Jerome","Idaho/Kootenai","Idaho/Latah","Idaho/Lemhi","Idaho/Lewis","Idaho/Lincoln","Idaho/Madison","Idaho/Minidoka","Idaho/Nez Perce","Idaho/Oneida","Idaho/Owyhee","Idaho/Payette","Idaho/Power","Idaho/Shoshone","Idaho/Teton","Idaho/Twin Falls","Idaho/Unassigned","Idaho/Valley","Idaho/Washington"
"2020-03-22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2020-03-26"," 30.63 %","   .00 %"," 10.00 %","   .00 %","   .00 %","   .00 %"," 29.13 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 85.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 29.17 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"
"2020-03-27"," 38.32 %","   .00 %","  3.33 %","   .00 %","   .00 %","-10.00 %"," 37.31 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 31.39 %","   .00 %","   .00 %","   .00 %","   .00 %"," 20.00 %","   .00 %"," 60.00 %","   .00 %","   .00 %"," 60.00 %","   .00 %","   .00 %","   .00 %"," 40.00 %","","   .00 %","   .00 %"
"2020-03-28"," 42.83 %","   .00 %"," 13.33 %","   .00 %","   .00 %","-10.00 %"," 25.27 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 60.72 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 13.39 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 60.00 %","   .00 %","   .00 %"," 45.00 %","   .00 %","   .00 %","   .00 %"," 33.33 %","","   .00 %","   .00 %"
"2020-03-29"," 37.81 %","   .00 %"," 13.33 %","   .00 %","   .00 %","-10.00 %"," 27.72 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 46.52 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 33.99 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 60.00 %","   .00 %","   .00 %"," 45.00 %","   .00 %","   .00 %","   .00 %"," 33.33 %","","   .00 %","   .00 %"
"2020-03-30"," 37.12 %","   .00 %"," 13.33 %","   .00 %","   .00 %","-10.00 %"," 28.31 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %"," 62.88 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 40.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 33.99 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 60.00 %","   .00 %","   .00 %"," 45.00 %","   .00 %","   .00 %","   .00 %"," 43.33 %","","   .00 %","   .00 %"
"2020-03-31"," 39.13 %",""," 10.00 %","",""," 10.00 %"," 24.85 %","","   .00 %"," 20.00 %","","","   .00 %"," 34.88 %","","   .00 %","","","   .00 %","   .00 %","","   .00 %"," 46.67 %","","   .00 %","   .00 %","   .00 %"," 33.80 %","","",""," 20.00 %"," 30.00 %","   .00 %"," 85.00 %","","   .00 %"," 45.00 %","","","   .00 %"," 56.67 %",""," 20.00 %",""
"2020-04-01"," 31.44 %",""," 16.67 %","",""," 20.00 %"," 20.42 %","","   .00 %"," 20.00 %","","","   .00 %"," 21.58 %","","   .00 %","",""," 20.00 %"," 40.00 %","","   .00 %"," 51.67 %",""," 20.00 %"," 10.00 %","   .00 %"," 32.27 %","   .00 %","",""," 30.00 %"," 26.00 %","   .00 %"," 25.00 %","","   .00 %","-15.00 %","","","   .00 %"," 24.67 %",""," 20.00 %",""
"2020-04-02"," 35.29 %","   .00 %","  6.67 %","",""," 20.00 %"," 21.58 %","","   .00 %"," 20.00 %","","","   .00 %"," 27.24 %","","   .00 %","",""," 20.00 %"," 40.00 %","","   .00 %"," 47.67 %","   .00 %"," 20.00 %"," 10.00 %"," 50.00 %"," 30.94 %","   .00 %","",""," 43.33 %"," 26.00 %","   .00 %"," 36.11 %","","   .00 %"," 40.00 %","",""," 10.00 %"," 99.90 %",""," 20.00 %",""
"2020-04-03"," 30.76 %","   .00 %","  6.67 %","",""," 20.00 %"," 25.97 %","","   .00 %"," 30.00 %","","","   .00 %"," 31.34 %",""," 40.00 %","",""," 20.00 %"," 80.00 %","","   .00 %"," 57.67 %","   .00 %"," 10.00 %"," 10.00 %"," 52.86 %","  7.53 %","   .00 %","","   .00 %"," 43.33 %"," 26.00 %","   .00 %"," 34.68 %",""," 20.00 %"," 53.33 %","",""," 10.00 %"," ##.## %",""," 30.00 %","   .00 %"
"2020-04-04"," 29.65 %","   .00 %"," 11.67 %","",""," 20.00 %"," 26.24 %",""," 20.00 %"," 23.33 %","","","   .00 %"," 17.51 %",""," 46.67 %","",""," 20.00 %"," 82.22 %","","   .00 %"," 21.00 %","   .00 %"," 30.00 %"," 10.00 %"," 60.36 %","  7.53 %","   .00 %","","   .00 %"," 51.33 %"," 26.00 %","   .00 %"," 34.68 %",""," 20.00 %"," 53.33 %","",""," 10.00 %"," 91.17 %",""," 30.00 %","   .00 %"
"2020-04-05"," 16.52 %","   .00 %","  5.00 %","","","   .00 %"," 16.95 %",""," 20.00 %"," 27.33 %","","","   .00 %"," 15.76 %","   .00 %"," 46.67 %","",""," 20.00 %"," 84.22 %","","   .00 %"," 14.33 %","   .00 %"," 40.00 %"," 10.00 %"," 63.99 %","  6.85 %","   .00 %","","   .00 %"," 37.05 %"," -4.00 %","   .00 %","  9.68 %",""," 20.00 %"," 53.33 %","",""," 16.67 %"," 80.27 %",""," 10.00 %","   .00 %"
