"date","Maine/Androscoggin","Maine/Aroostook","Maine/Cumberland","Maine/Franklin","Maine/Hancock","Maine/Kennebec","Maine/Knox","Maine/Lincoln","Maine/Out of ME","Maine/Oxford","Maine/Penobscot","Maine/Piscataquis","Maine/Sagadahoc","Maine/Somerset","Maine/Unassigned","Maine/Waldo","Maine/Washington","Maine/York"
"2020-03-22","3","0","53","0","0","4","0","4","","4","2","0","3","0","8","0","0","8"
"2020-03-23","3","0","66","0","0","4","1","5","","5","3","0","3","0","5","0","0","12"
"2020-03-24","3","0","74","0","0","5","1","5","","6","4","0","3","0","","1","0","16"
"2020-03-25","4","0","87","0","0","5","1","5","","6","4","0","4","0","2","1","0","23"
"2020-03-26","5","0","90","1","0","6","1","5","","8","5","0","4","0","1","2","0","27"
"2020-03-27","6","0","92","1","0","6","2","5","","8","6","0","4","0","3","2","0","33"
"2020-03-28","7","0","120","2","0","9","2","5","","8","10","0","5","0","3","2","0","38"
"2020-03-29","8","0","142","2","0","10","4","5","","9","11","0","7","1","5","2","0","47"
"2020-03-30","8","0","154","2","0","10","4","8","","9","12","0","7","1","5","2","0","53"
"2020-03-31","11","","169","2","","12","5","8","","9","12","","7","1","6","2","","59"
"2020-04-01","11","","169","2","","12","5","8","","9","12","","7","1","6","2","","59"
"2020-04-02","12","","204","3","2","19","7","8","","9","16","","10","2","8","2","","74"
"2020-04-03","19","1","222","4","2","19","9","8","","10","20","","12","2","11","3","1","89"
"2020-04-04","20","1","231","4","2","21","9","8","","11","22","","13","3","12","3","1","95"
"2020-04-05","20","1","238","4","2","22","9","8","","11","22","","13","4","11","3","1","101"
"2020-04-06","23","1","249","5","2","23","9","9","","11","25","","13","4","11","5","1","108"
"2020-04-07","23","2","253","5","2","26","9","9","","12","31","","13","4","9","5","1","115"
"2020-04-08","23","2","262","5","3","26","9","9","","12","31","","13","5","8","7","1","121"
"2020-04-09","24","2","269","7","3","26","10","9","","12","31","","14","5","4","11","1","132"
"2020-04-10","24","2","276","7","4","29","10","9","","12","33","","15","5","3","19","1","137"
"2020-04-11","27","2","284","7","4","31","10","9","","13","34","","15","6","3","27","1","143"
"2020-04-12","28","2","292","8","5","32","10","9","","13","34","","15","8","3","29","1","144"
"2020-04-13","28","2","299","8","5","78","12","10","","13","34","","15","8","5","29","1","151"
"2020-04-14","29","2","331","8","5","81","11","11","","13","34","","15","11","2","29","1","152"
"2020-04-15","31","2","339","9","5","93","12","12","","13","36","","15","13","2","30","2","156"
"2020-04-16","32","3","343","9","5","94","12","12","","13","37","","15","14","2","39","2","164"
"2020-04-17","32","2","360","10","6","95","12","12","","13","40","","15","15","1","42","2","170"
"2020-04-18","35","2","369","11","6","96","12","12","","13","41","","15","15","1","42","2","175"
"2020-04-19","35","2","378","12","6","97","12","12","","14","43","1","16","16","2","42","2","177"
