"date","Maine/Androscoggin","Maine/Aroostook","Maine/Cumberland","Maine/Franklin","Maine/Hancock","Maine/Kennebec","Maine/Knox","Maine/Lincoln","Maine/Out of ME","Maine/Oxford","Maine/Penobscot","Maine/Piscataquis","Maine/Sagadahoc","Maine/Somerset","Maine/Unassigned","Maine/Waldo","Maine/Washington","Maine/York"
"2020-03-22","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0"
"2020-03-23","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0"
"2020-03-24","0","0","0","0","0","0","0","0","","0","0","0","0","0","","0","0","0"
"2020-03-25","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0"
"2020-03-26","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0"
"2020-03-27","0","0","1","0","0","0","0","0","","0","0","0","0","0","0","0","0","0"
"2020-03-28","0","0","1","0","0","0","0","0","","0","0","0","0","0","0","0","0","0"
"2020-03-29","0","0","3","0","0","0","0","0","","0","0","0","0","0","0","0","0","0"
"2020-03-30","0","0","3","0","0","0","0","0","","0","0","0","0","0","0","0","0","0"
"2020-03-31","0","","3","0","","1","0","0","","0","0","","0","0","0","0","","1"
"2020-04-01","0","","3","0","","1","0","0","","0","0","","0","0","0","0","","1"
"2020-04-02","0","","5","0","0","1","0","0","","0","0","","0","0","0","0","","1"
"2020-04-03","0","0","5","0","0","1","0","0","","0","0","","0","0","2","0","0","1"
"2020-04-04","0","0","5","0","0","1","0","0","","0","0","","0","0","3","0","0","1"
"2020-04-05","0","0","5","0","0","1","0","0","","0","0","","0","0","3","0","0","1"
"2020-04-06","0","0","5","0","0","1","0","0","","0","0","","0","0","3","0","0","1"
"2020-04-07","0","0","9","0","0","1","0","0","","0","0","","0","0","0","0","0","2"
"2020-04-08","0","0","10","0","0","1","0","0","","0","0","","0","0","0","1","0","2"
"2020-04-09","0","0","11","0","0","1","0","0","","0","0","","0","0","0","2","0","2"
"2020-04-10","0","0","11","0","0","1","0","0","","0","0","","1","0","0","2","0","2"
"2020-04-11","0","0","12","0","0","1","0","0","","0","0","","1","0","0","2","0","3"
"2020-04-12","0","0","12","0","0","1","0","0","","0","0","","1","0","0","2","0","3"
"2020-04-13","0","0","12","0","0","1","0","0","","0","0","","1","0","0","2","0","3"
"2020-04-14","0","0","12","0","0","1","0","0","","0","0","","1","0","0","2","0","4"
"2020-04-15","1","0","14","0","0","3","0","0","","0","0","","0","0","0","2","0","4"
"2020-04-16","1","0","14","0","0","3","0","0","","0","0","","0","0","0","3","0","6"
"2020-04-17","1","0","14","0","0","3","0","0","","0","0","","0","0","0","5","0","6"
"2020-04-18","1","0","14","0","0","4","0","0","","0","0","","0","0","0","7","0","6"
"2020-04-19","1","0","16","0","0","4","0","0","","0","0","0","0","0","0","7","0","6"
"2020-04-20","1","0","16","0","0","4","0","0","","0","0","0","0","0","0","8","0","6"
"2020-04-21","1","0","17","0","0","4","0","0","","0","0","0","0","0","0","8","0","6"
"2020-04-22","1","0","18","0","0","4","0","0","","0","0","0","0","0","0","10","0","6"
"2020-04-23","1","0","23","0","0","4","0","0","","0","0","0","0","0","0","10","0","6"
"2020-04-24","1","0","24","0","0","5","0","0","","0","0","0","0","0","0","10","0","7"
"2020-04-25","1","0","24","0","0","5","0","0","","0","0","0","0","0","0","10","0","7"
"2020-04-26","2","0","24","1","0","5","0","0","","0","0","0","0","0","0","11","0","7"
"2020-04-27","2","0","24","1","0","6","0","0","","0","0","0","0","0","0","11","0","7"
"2020-04-28","2","0","24","1","0","6","0","0","","0","0","0","0","0","0","11","0","7"
"2020-04-29","2","0","25","1","0","6","0","0","","0","0","0","0","0","0","11","0","7"
"2020-04-30","2","0","26","1","0","6","0","0","","0","0","0","0","0","0","11","0","7"
"2020-05-01","2","0","27","1","0","6","0","0","","0","0","0","0","0","0","12","0","7"
"2020-05-02","2","0","27","1","0","6","0","0","","0","0","0","0","0","0","13","0","7"
"2020-05-03","2","0","28","1","0","6","0","0","","0","0","0","0","0","0","13","0","7"
"2020-05-04","2","0","28","1","0","6","0","0","","0","0","0","0","0","0","13","0","7"
"2020-05-05","2","0","30","1","0","8","0","0","","0","0","0","0","0","0","13","0","7"
"2020-05-06","2","0","30","1","0","8","0","0","","0","0","0","0","0","0","13","0","8"
"2020-05-07","2","0","30","1","0","8","0","0","","0","0","0","0","0","0","13","0","8"
"2020-05-08","2","0","30","1","1","8","0","0","","0","0","0","0","0","0","13","0","8"
"2020-05-09","2","0","30","1","1","8","0","0","","0","0","0","0","0","0","14","0","8"
"2020-05-10","2","0","30","1","1","8","0","0","","0","0","0","0","0","0","14","0","8"
"2020-05-11","2","0","31","1","1","8","0","0","","0","0","0","0","0","0","14","0","8"
"2020-05-12","2","0","31","1","1","8","0","0","","0","0","0","0","0","0","14","0","8"
"2020-05-13","2","0","32","1","1","8","0","0","","0","0","0","0","0","0","14","0","8"
"2020-05-14","2","0","34","1","1","8","0","0","","0","1","0","0","0","0","14","0","8"
"2020-05-15","2","0","34","1","1","8","0","0","","0","1","0","0","0","0","14","0","8"
"2020-05-16","2","0","35","1","1","8","0","0","","0","1","0","0","0","0","14","0","8"
"2020-05-17","2","0","35","1","1","8","0","0","","0","1","0","0","0","0","14","0","8"
"2020-05-18","2","0","36","1","1","8","0","0","","0","1","0","0","0","0","14","0","8"
"2020-05-19","2","0","38","1","1","8","0","0","","0","1","0","0","0","0","14","0","8"
"2020-05-20","2","0","38","1","1","8","0","0","","0","1","0","0","0","0","14","0","8"
"2020-05-21","2","0","38","1","1","8","0","0","","0","1","0","0","0","0","14","0","8"
"2020-05-22","2","1","38","1","1","9","0","0","","0","1","0","0","0","0","14","0","8"
"2020-05-23","2","1","40","1","1","9","0","0","","0","1","0","0","0","0","14","0","8"
"2020-05-24","2","1","40","1","1","9","0","0","","0","1","0","0","0","0","14","0","9"
"2020-05-25","2","1","40","1","1","9","0","0","","0","1","0","0","0","0","14","0","9"
"2020-05-26","2","1","41","1","1","9","0","0","","0","1","0","0","0","0","14","0","9"
"2020-05-27","2","1","43","1","1","9","0","0","","0","1","0","0","0","0","14","0","9"
"2020-05-28","2","1","46","1","1","9","0","0","","0","1","0","0","0","0","14","0","9"
"2020-05-29","2","1","47","1","1","9","0","0","","0","1","0","0","0","0","14","0","9"
"2020-05-30","2","1","50","1","1","9","0","0","","0","1","0","0","0","0","14","0","10"
"2020-05-31","2","1","50","1","1","9","0","0","","0","1","0","0","0","0","14","0","10"
"2020-06-01","2","1","50","1","1","9","0","0","","0","1","0","0","0","0","14","0","10"
"2020-06-02","2","1","54","1","1","9","0","0","","0","2","0","0","0","0","14","0","10"
"2020-06-03","2","1","54","1","1","9","1","0","","0","2","0","0","0","0","14","0","10"
"2020-06-04","2","1","54","1","1","9","1","0","","0","2","0","0","0","0","14","0","10"
"2020-06-05","3","1","55","1","1","9","1","0","","0","2","0","0","0","0","14","0","11"
"2020-06-06","3","1","55","1","1","9","1","0","","0","2","0","0","0","0","14","0","11"
"2020-06-07","3","1","56","1","1","9","1","0","","0","2","0","0","0","0","14","0","11"
"2020-06-08","3","1","56","1","1","9","1","0","","0","2","0","0","0","0","14","0","11"
"2020-06-09","3","1","57","1","1","9","1","0","","0","2","0","0","0","0","14","0","11"
"2020-06-10","3","1","57","1","1","9","1","0","","0","2","0","0","0","0","14","0","11"
"2020-06-11","3","1","57","1","1","9","1","0","","0","2","0","0","0","0","14","0","11"
"2020-06-12","3","1","57","1","1","9","1","0","","0","2","0","0","0","0","14","0","11"
"2020-06-13","3","1","57","1","1","9","1","0","","0","2","0","0","0","0","14","0","11"
"2020-06-14","3","1","57","1","1","9","1","0","","0","2","0","0","0","0","14","0","11"
"2020-06-15","4","1","57","1","1","9","1","0","","0","2","0","0","0","0","14","0","11"
"2020-06-16","4","1","57","1","1","9","1","0","","0","2","0","0","0","0","14","0","11"
"2020-06-17","4","1","58","1","1","9","1","0","","0","2","0","0","0","0","14","0","11"
"2020-06-18","4","1","58","1","1","9","1","0","","0","2","0","0","0","0","14","0","11"
"2020-06-19","4","1","58","1","1","9","1","0","","0","2","0","0","0","0","14","0","11"
"2020-06-20","4","1","58","1","1","9","1","0","","0","2","0","0","0","0","14","0","11"
"2020-06-21","4","1","58","1","1","9","1","0","","0","2","0","0","0","0","14","0","11"
"2020-06-22","4","1","58","1","1","9","1","0","","0","2","0","0","0","0","14","0","11"
"2020-06-23","4","1","58","1","1","9","1","0","","0","2","0","0","0","0","14","0","11"
"2020-06-24","4","1","59","1","1","9","1","0","","0","2","0","0","0","0","14","0","11"
"2020-06-25","4","1","59","1","1","9","1","0","","0","2","0","0","0","0","14","0","11"
"2020-06-26","4","1","59","1","1","9","1","0","","0","2","0","0","0","0","14","0","11"
"2020-06-27","4","1","60","1","1","9","1","0","","0","2","0","0","0","0","14","0","11"
"2020-06-28","4","1","60","1","1","9","1","0","","0","2","0","0","0","0","14","0","11"
"2020-06-29","4","1","60","1","1","10","1","0","","0","2","0","0","0","0","14","0","11"
"2020-06-30","4","1","60","1","1","10","1","0","","0","2","0","0","0","0","14","0","11"
"2020-07-01","4","1","60","1","1","10","1","0","","0","2","0","0","0","0","14","0","11"
"2020-07-02","4","1","60","1","1","10","1","0","","0","2","0","0","0","0","14","0","11"
"2020-07-03","4","1","60","1","1","10","1","0","","0","2","0","0","0","0","14","0","11"
"2020-07-04","4","1","62","1","1","10","1","0","","0","2","0","0","0","0","14","0","11"
"2020-07-05","4","1","64","1","1","10","1","0","","0","2","0","0","0","0","14","0","11"
"2020-07-06","4","1","64","1","1","10","1","0","","0","2","0","0","0","0","14","0","11"
"2020-07-07","4","1","65","1","1","10","1","0","","0","2","0","0","0","0","14","0","11"
"2020-07-08","4","1","65","1","1","10","1","0","","0","2","0","0","0","0","14","0","11"
"2020-07-09","4","1","65","1","1","10","1","0","","0","3","0","0","0","0","14","0","11"
"2020-07-10","4","1","65","1","1","10","1","0","","0","3","0","0","0","0","14","0","11"
"2020-07-11","4","1","66","1","1","10","1","0","","0","3","0","0","0","0","14","0","11"
"2020-07-12","4","1","67","1","1","10","1","0","","0","4","0","0","0","0","14","0","11"
"2020-07-13","4","1","67","1","1","10","1","0","","0","4","0","0","0","0","14","0","11"
"2020-07-14","4","1","67","1","1","10","1","0","","0","4","0","0","0","0","14","0","11"
"2020-07-15","4","1","67","1","1","10","1","0","","0","4","0","0","0","0","14","0","11"
"2020-07-16","4","1","67","1","1","10","1","0","","0","4","0","0","0","0","14","0","11"
"2020-07-17","4","1","67","1","1","10","1","0","","0","5","0","0","0","0","14","0","11"
"2020-07-18","5","1","67","1","1","10","1","0","","0","5","0","0","0","0","14","0","12"
"2020-07-19","5","1","67","1","1","10","1","0","","0","5","0","0","0","0","14","0","12"
"2020-07-20","5","1","67","1","1","10","1","0","","0","5","0","0","0","0","14","0","12"
"2020-07-21","5","1","68","1","1","10","1","0","","0","5","0","0","0","0","14","0","12"
"2020-07-22","5","1","68","1","1","10","1","0","","0","5","0","0","0","0","14","0","12"
"2020-07-23","5","1","68","1","1","10","1","0","","0","5","0","0","0","0","14","0","12"
"2020-07-24","5","1","68","1","1","10","1","0","","0","5","0","0","0","0","14","0","12"
"2020-07-25","5","1","68","1","1","10","1","0","","0","5","0","0","1","0","14","0","12"
"2020-07-26","5","1","68","1","1","10","1","0","","0","5","0","0","1","0","14","0","12"
"2020-07-27","5","1","68","1","1","10","1","0","","0","5","0","0","1","0","14","0","12"
"2020-07-28","6","1","68","1","1","10","1","1","","0","5","0","0","1","0","14","0","12"
"2020-07-29","6","1","68","1","1","10","1","1","","0","5","0","0","1","0","14","0","12"
"2020-07-30","6","1","68","1","1","11","1","1","","0","5","0","0","1","0","14","0","12"
"2020-07-31","7","1","68","1","1","11","1","1","","0","5","0","0","1","0","14","0","12"
"2020-08-01","7","1","68","1","1","11","1","1","","0","5","0","0","1","0","14","0","12"
"2020-08-02","7","1","68","1","1","11","1","1","","0","5","0","0","1","0","14","0","12"
"2020-08-03","7","1","69","1","1","11","1","1","","0","5","0","0","1","0","14","0","12"
"2020-08-04","7","1","68","1","1","11","1","1","","0","5","0","0","1","0","14","0","12"
"2020-08-05","7","1","69","1","1","11","1","1","","0","5","0","0","1","0","14","0","12"
"2020-08-06","7","1","69","1","1","11","1","1","","0","5","0","0","1","0","14","0","12"
"2020-08-07","7","1","69","1","1","11","1","1","","0","5","0","0","1","0","14","0","12"
