"date","Maine/Androscoggin","Maine/Aroostook","Maine/Cumberland","Maine/Franklin","Maine/Hancock","Maine/Kennebec","Maine/Knox","Maine/Lincoln","Maine/Out of ME","Maine/Oxford","Maine/Penobscot","Maine/Piscataquis","Maine/Sagadahoc","Maine/Somerset","Maine/Unassigned","Maine/Waldo","Maine/Washington","Maine/York"
"2020-03-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"
"2020-03-23","   .00 %","   .00 %"," 24.53 %","   .00 %","   .00 %","   .00 %","   .00 %"," 25.00 %",""," 25.00 %"," 50.00 %","   .00 %","   .00 %","   .00 %","-37.50 %","   .00 %","   .00 %"," 50.00 %"
"2020-03-24","   .00 %","   .00 %"," 12.12 %","   .00 %","   .00 %"," 25.00 %","   .00 %","   .00 %",""," 20.00 %"," 33.33 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"," 33.33 %"
"2020-03-25"," 33.33 %","   .00 %"," 17.57 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %"," 33.33 %","   .00 %","-60.00 %","   .00 %","   .00 %"," 43.75 %"
"2020-03-26"," 25.00 %","   .00 %","  3.45 %","   .00 %","   .00 %"," 20.00 %","   .00 %","   .00 %",""," 33.33 %"," 25.00 %","   .00 %","   .00 %","   .00 %","-50.00 %"," ##.## %","   .00 %"," 17.39 %"
"2020-03-27"," 20.00 %","   .00 %","  2.22 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","","   .00 %"," 20.00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %"," 22.22 %"
"2020-03-28"," 16.67 %","   .00 %"," 30.43 %"," ##.## %","   .00 %"," 50.00 %","   .00 %","   .00 %","","   .00 %"," 66.67 %","   .00 %"," 25.00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 15.15 %"
"2020-03-29"," 14.29 %","   .00 %"," 18.33 %","   .00 %","   .00 %"," 11.11 %"," ##.## %","   .00 %",""," 12.50 %"," 10.00 %","   .00 %"," 40.00 %","   .00 %"," 66.67 %","   .00 %","   .00 %"," 23.68 %"
"2020-03-30","   .00 %","   .00 %","  8.45 %","   .00 %","   .00 %","   .00 %","   .00 %"," 60.00 %","","   .00 %","  9.09 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 12.77 %"
"2020-03-31"," 37.50 %","","  9.74 %","   .00 %",""," 20.00 %"," 25.00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %"," 20.00 %","   .00 %",""," 11.32 %"
"2020-04-01","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %"
"2020-04-02","  9.09 %",""," 20.71 %"," 50.00 %","   .00 %"," 58.33 %"," 40.00 %","   .00 %","","   .00 %"," 33.33 %",""," 42.86 %"," ##.## %"," 33.33 %","   .00 %",""," 25.42 %"
"2020-04-03"," 58.33 %","   .00 %","  8.82 %"," 33.33 %","   .00 %","   .00 %"," 28.57 %","   .00 %",""," 11.11 %"," 25.00 %",""," 20.00 %","   .00 %"," 37.50 %"," 50.00 %","   .00 %"," 20.27 %"
"2020-04-04","  5.26 %","   .00 %","  4.05 %","   .00 %","   .00 %"," 10.53 %","   .00 %","   .00 %",""," 10.00 %"," 10.00 %","","  8.33 %"," 50.00 %","  9.09 %","   .00 %","   .00 %","  6.74 %"
"2020-04-05","   .00 %","   .00 %","  3.03 %","   .00 %","   .00 %","  4.76 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %"," 33.33 %"," -8.33 %","   .00 %","   .00 %","  6.32 %"
"2020-04-06"," 15.00 %","   .00 %","  4.62 %"," 25.00 %","   .00 %","  4.55 %","   .00 %"," 12.50 %","","   .00 %"," 13.64 %","","   .00 %","   .00 %","   .00 %"," 66.67 %","   .00 %","  6.93 %"
"2020-04-07","   .00 %"," ##.## %","  1.61 %","   .00 %","   .00 %"," 13.04 %","   .00 %","   .00 %","","  9.09 %"," 24.00 %","","   .00 %","   .00 %","-18.18 %","   .00 %","   .00 %","  6.48 %"
"2020-04-08","   .00 %","   .00 %","  3.56 %","   .00 %"," 50.00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","","   .00 %"," 25.00 %","-11.11 %"," 40.00 %","   .00 %","  5.22 %"
"2020-04-09","  4.35 %","   .00 %","  2.67 %"," 40.00 %","   .00 %","   .00 %"," 11.11 %","   .00 %","","   .00 %","   .00 %","","  7.69 %","   .00 %","-50.00 %"," 57.14 %","   .00 %","  9.09 %"
