"date","Nebraska/Adams","Nebraska/Antelope","Nebraska/Arthur","Nebraska/Banner","Nebraska/Blaine","Nebraska/Boone","Nebraska/Box Butte","Nebraska/Boyd","Nebraska/Brown","Nebraska/Buffalo","Nebraska/Burt","Nebraska/Butler","Nebraska/Cass","Nebraska/Cedar","Nebraska/Chase","Nebraska/Cherry","Nebraska/Cheyenne","Nebraska/Clay","Nebraska/Colfax","Nebraska/Cuming","Nebraska/Custer","Nebraska/Dakota","Nebraska/Dawes","Nebraska/Dawson","Nebraska/Deuel","Nebraska/Dixon","Nebraska/Dodge","Nebraska/Douglas","Nebraska/Dundy","Nebraska/Fillmore","Nebraska/Franklin","Nebraska/Frontier","Nebraska/Furnas","Nebraska/Gage","Nebraska/Garden","Nebraska/Garfield","Nebraska/Gosper","Nebraska/Grant","Nebraska/Greeley","Nebraska/Hall","Nebraska/Hamilton","Nebraska/Harlan","Nebraska/Hayes","Nebraska/Hitchcock","Nebraska/Holt","Nebraska/Hooker","Nebraska/Howard","Nebraska/Jefferson","Nebraska/Johnson","Nebraska/Kearney","Nebraska/Keith","Nebraska/Keya Paha","Nebraska/Kimball","Nebraska/Knox","Nebraska/Lancaster","Nebraska/Lincoln","Nebraska/Logan","Nebraska/Loup","Nebraska/Madison","Nebraska/McPherson","Nebraska/Merrick","Nebraska/Morrill","Nebraska/Nance","Nebraska/Nemaha","Nebraska/Nuckolls","Nebraska/Otoe","Nebraska/Pawnee","Nebraska/Perkins","Nebraska/Phelps","Nebraska/Pierce","Nebraska/Platte","Nebraska/Polk","Nebraska/Red Willow","Nebraska/Richardson","Nebraska/Rock","Nebraska/Saline","Nebraska/Sarpy","Nebraska/Saunders","Nebraska/Scotts Bluff","Nebraska/Seward","Nebraska/Sheridan","Nebraska/Sherman","Nebraska/Sioux","Nebraska/Stanton","Nebraska/Thayer","Nebraska/Thomas","Nebraska/Thurston","Nebraska/Unassigned","Nebraska/Valley","Nebraska/Washington","Nebraska/Wayne","Nebraska/Webster","Nebraska/Wheeler","Nebraska/York"
"2020-03-22","1","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0"
"2020-03-23","1","0","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0"
"2020-03-24","1","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","8","1","0","0","0","0","0","0","0","0","0","","0","3","0","0","0","0"
"2020-03-25","1","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","3","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","8","1","0","0","0","0","0","0","0","0","0","","0","3","0","0","0","0"
"2020-03-26","1","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","3","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","8","2","0","0","0","0","0","0","0","0","0","","0","4","0","0","0","0"
"2020-03-27","1","0","0","0","0","0","0","0","0","4","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","44","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","3","3","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","10","2","0","0","0","0","0","0","0","0","0","2","0","5","0","0","0","0"
"2020-03-28","2","0","0","0","0","0","0","0","0","4","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","2","51","0","0","0","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","2","4","3","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","11","2","0","0","0","0","0","0","0","0","0","","0","5","0","0","0","0"
"2020-03-29","2","0","0","0","0","0","0","0","0","5","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","2","57","0","0","0","0","0","1","0","0","1","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","2","4","3","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","11","2","0","0","0","0","0","0","0","0","0","4","0","5","0","0","0","0"
"2020-03-30","3","0","0","0","0","0","0","0","0","6","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","3","75","0","0","0","0","0","0","0","0","1","0","0","6","0","0","0","0","0","0","0","0","0","1","0","0","0","2","8","5","0","0","2","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","13","2","1","0","0","0","0","0","0","0","0","2","0","9","0","0","0","1"
"2020-03-31","3","1","","","","","","","","6","","","2","","","","","","","","","","","1","","","3","85","","","","","","","","","1","","","8","","","","","","","","","","1","","","","2","8","5","","","2","","","","","1","","","","","","","1","","","","","","16","2","1","","","","","","","","","3","","19","","","","1"
"2020-04-01","4","1","","","","","","","","7","","","2","","","","","","","1","","","","1","","","4","101","","","","","","","","","1","","","15","","","","","","","","","","1","","","1","2","9","9","","","3","","","","","1","","","","","","","2","","","","","","17","2","3","","","","","","","","","3","","19","","","","1"
"2020-04-02","6","1","","","","","","","","8","","","2","","","","","","","1","","","","1","","","4","116","","","","","","1","","","1","","","17","2","","","","","","","","","1","","","3","2","12","11","","","4","","","","","1","","1","","","","","3","","","","","","20","3","3","","","","","","","","","2","","19","","","","1"
"2020-04-03","6","1","","","","","","","","9","","","2","","","","","","1","1","","","","1","","","5","124","","","","","","2","","","1","","","26","3","","","","","","","","","1","","","5","2","14","14","","","5","","","","","1","","1","","","","","3","","","","","","24","3","3","","","","","","","","","1","","19","","","","1"
"2020-04-04","8","1","","","","","","","","14","","","2","","","1","","","1","1","","","","1","","","6","131","","","","","","2","","","1","","","40","4","","","","","","","","","1","","","5","2","18","15","","","5","","2","","","1","","1","","","","","4","","","","","","26","4","3","","","","","","","","","1","","19","","","","1"
"2020-04-05","11","1","","","","","","","","17","","","2","","","1","","","2","2","","","","1","","","7","144","","","","","","9","","","1","","","44","6","","","","","","","","1","2","","","5","2","18","15","","","5","","2","","","1","","1","","","1","","5","","","","","","28","4","3","1","","","","","","","","1","","20","","","","1"
"2020-04-06","13","1","","","","","","","","18","","","2","","","1","1","","2","2","1","","","1","","","7","159","","","","","","9","","","1","","","55","6","","","","","","","","","2","","","9","2","32","16","1","","5","","2","","","1","","1","","","1","","5","","","","","","28","4","6","1","","","","1","","","","1","","19","","","","1"
"2020-04-07","15","1","","","","","","","","23","","","2","","","1","1","","3","2","1","","","1","","","7","159","","","","","","23","","","1","","","58","7","","","","","","","","","2","","","9","2","34","16","1","","5","","2","","","1","","1","","","1","","5","","","","","","29","4","6","1","","","","1","","","","1","","20","","","","1"
"2020-04-08","27","1","","","","","","","","28","","","3","","","1","1","","3","2","3","","","1","","","7","181","","","","","","23","","","1","","","69","7","","","","","","","","1","3","","","9","2","39","17","0","","5","","2","","","1","","1","","","1","","5","","","","","","37","4","10","1","","","","1","","","","0","","20","","","","2"
"2020-04-09","28","1","","","","","","","","31","1","","3","","","1","1","","3","2","3","","","2","","","7","198","","","","","","24","","","1","","","84","8","","","","","","","","1","3","","","10","2","44","17","0","","6","","2","","","1","","1","","","1","","5","1","","","","","38","4","10","1","","","","1","","","","0","","20","","","","2"
"2020-04-10","38","1","","","","","","","","31","1","","3","","","1","1","","3","2","3","","","3","","","7","214","","","","","","24","","","1","","","116","9","","","","","","","","1","3","","","9","2","49","17","0","","6","","2","","","1","","1","","","1","","5","1","","","","","39","4","10","1","","","","1","","","","0","","20","","1","","3"
"2020-04-11","45","1","","","","","1","","","33","1","","3","0","","1","2","2","4","2","13","","","3","","","7","228","","","2","","","25","","","1","","","129","10","","","","","","","","1","3","","","9","2","50","17","0","","6","","2","","","1","","1","","","1","1","6","1","","","","","41","5","12","1","","","","1","","","","0","","20","1","1","","3"
"2020-04-12","54","1","","","","","1","","","35","1","","3","0","","1","3","2","4","2","13","0","","12","","","9","239","","","2","","","25","","","1","","","159","11","","","","","","","","1","3","","","9","2","52","17","0","","6","","2","","","1","","1","","","1","1","6","1","","","","","41","5","14","1","","","","1","","","","23","","20","1","1","","3"
"2020-04-13","54","1","","","","","1","","","36","1","","3","0","","1","3","2","4","2","19","2","","13","","","10","242","","","3","","","26","","","1","","","161","11","","","","","","","","1","3","","","9","2","54","17","0","","6","","2","","","1","","1","","","1","1","6","2","","","","","41","6","14","1","","","","1","","","","23","","20","1","1","","4"
