"date","Nevada/Carson City","Nevada/Churchill","Nevada/Clark","Nevada/Douglas","Nevada/Elko","Nevada/Elko County","Nevada/Esmeralda","Nevada/Eureka","Nevada/Humboldt","Nevada/Lander","Nevada/Lincoln","Nevada/Lyon","Nevada/Mineral","Nevada/Nye","Nevada/Pershing","Nevada/Storey","Nevada/Unassigned","Nevada/Washoe","Nevada/White Pine"
"2020-03-22","","","","","","","","","","","","","","","","","","",""
"2020-03-23","","","","","","","","","","","","","","","","","","",""
"2020-03-24","","","","","","","","","","","","","","","","","","",""
"2020-03-25","","","","","","","","","","","","","","","","","","",""
"2020-03-26","  3.33 %","   .00 %"," 25.25 %"," 10.00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," -1.85 %"," 20.73 %","   .00 %"
"2020-03-27","  3.33 %","   .00 %"," 30.57 %"," 10.00 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 58.15 %"," 24.24 %","   .00 %"
"2020-03-28"," 23.33 %","   .00 %"," 30.57 %"," 23.33 %","   .00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %"," 26.62 %","   .00 %"
"2020-03-29"," 30.00 %","   .00 %"," 20.75 %"," 23.33 %"," 10.00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %"," 19.96 %","   .00 %"
"2020-03-30"," 30.00 %","   .00 %"," 25.79 %"," 13.33 %"," 10.00 %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %"," 17.98 %","   .00 %"
"2020-03-31"," 30.00 %",""," 20.76 %"," 17.33 %"," 23.33 %","","",""," 40.00 %","","","   .00 %","","   .00 %","",""," ##.## %"," 16.98 %","   .00 %"
"2020-04-01"," 30.00 %",""," 17.56 %"," 17.33 %"," 23.33 %","","",""," 53.33 %","","","   .00 %",""," 60.00 %","",""," ##.## %"," 17.11 %","   .00 %"
"2020-04-02","   .00 %",""," 20.97 %","  4.00 %"," 23.33 %","","",""," 53.33 %","","","   .00 %",""," 60.00 %","",""," 32.14 %"," 17.52 %","   .00 %"
"2020-04-03","   .00 %",""," 19.87 %","  7.33 %"," 21.33 %","","",""," 61.33 %","",""," 20.00 %",""," 70.00 %","","","-23.55 %"," 11.56 %","   .00 %"
"2020-04-04"," 20.00 %",""," 13.52 %","  7.33 %"," 24.19 %","","",""," 67.05 %","",""," 30.00 %",""," 73.33 %","","","  9.14 %"," 17.44 %","   .00 %"
"2020-04-05"," 20.00 %",""," 11.87 %","  3.33 %"," 10.86 %","","",""," 31.49 %","",""," 30.00 %",""," 73.33 %","","","  8.39 %"," 17.19 %","   .00 %"
"2020-04-06"," 22.00 %",""," 10.92 %","  3.33 %"," 10.86 %","","",""," 18.16 %","",""," 30.00 %",""," 13.33 %","","","  5.77 %"," 13.56 %","   .00 %"
"2020-04-07"," 22.00 %","","  9.07 %","  3.33 %"," 10.86 %","","",""," 18.16 %","",""," 30.00 %",""," 13.33 %","","","  5.77 %"," 14.17 %","   .00 %"
"2020-04-08"," 25.64 %","","  8.00 %","  2.86 %","  2.86 %","","",""," 15.61 %","",""," 16.67 %","","  3.33 %","","","  3.61 %"," 12.69 %","   .00 %"
"2020-04-09","  7.17 %","","  7.22 %","  5.36 %","  2.50 %","","",""," 12.76 %","","   .00 %","  6.67 %","","  8.57 %","","","-18.89 %","  6.06 %","   .00 %"
"2020-04-10","  8.60 %","","  7.14 %","  5.36 %","  6.94 %","","","","  8.31 %","","   .00 %"," 16.67 %","","  8.57 %","",""," 17.63 %","  6.78 %","   .00 %"
"2020-04-11","  7.94 %","","  5.97 %","  7.58 %","  6.94 %","","",""," 10.81 %","","   .00 %"," 16.67 %","","  8.57 %","","","  4.38 %","  8.21 %","   .00 %"
"2020-04-12","  7.94 %","","  6.08 %","  7.58 %","  6.94 %","","",""," 10.81 %","","   .00 %"," 20.00 %","","  8.57 %","","","-10.83 %","  6.14 %","   .00 %"
"2020-04-13"," 11.80 %","","  5.45 %","  4.72 %","  6.94 %","","","","  7.58 %","","   .00 %"," 21.90 %","","  8.57 %","","","-10.83 %","  7.26 %","   .00 %"
"2020-04-14"," 11.17 %","","  4.59 %","  2.22 %","  4.44 %","","","","  4.72 %","","   .00 %"," 21.90 %",""," 10.00 %","","","-10.83 %"," 10.34 %"," 40.00 %"
"2020-04-15"," 11.48 %","","  3.64 %","  8.22 %","   .00 %","","","","  4.72 %","","   .00 %"," 11.90 %",""," 10.00 %","","","-42.06 %","  8.71 %"," 40.00 %"
"2020-04-16"," 10.15 %","   .00 %","  3.64 %","  6.00 %","   .00 %","","","","  2.22 %","","   .00 %"," 13.90 %",""," 15.33 %","","","-47.21 %","  7.27 %"," 40.00 %"
"2020-04-17"," 11.75 %","   .00 %","  3.36 %","  7.54 %","  1.82 %","","","","  8.22 %","","-20.00 %"," 12.39 %",""," 17.44 %","",""," ##.## %","  6.77 %"," 40.00 %"
"2020-04-18","  4.99 %"," 40.00 %","  3.38 %","  7.54 %","  1.82 %","","","","  6.00 %","","-20.00 %","  8.82 %",""," 17.44 %","",""," ##.## %","  5.12 %"," 40.00 %"
"2020-04-19","  4.08 %"," 40.00 %","  3.25 %","  8.97 %","  1.82 %","","","","  6.00 %","","-20.00 %"," 10.15 %",""," 14.11 %","",""," ##.## %","  3.70 %","   .00 %"
"2020-04-20","  2.34 %"," 40.00 %","  3.25 %","  2.97 %","  1.82 %","","","","  6.77 %","","-20.00 %"," 12.65 %",""," 14.11 %","",""," ##.## %","  3.85 %","   .00 %"
"2020-04-21","  2.34 %"," 40.00 %","  3.92 %","  2.97 %","  1.82 %","","",""," 11.95 %","","-20.00 %"," 10.65 %","","  9.49 %","",""," ##.## %","  3.85 %","   .00 %"
"2020-04-22","   .74 %"," 40.00 %","  3.29 %","  2.76 %","   .00 %","","","","  5.95 %","   .00 %","   .00 %","  9.94 %","   .00 %","  7.38 %","","","-22.88 %","  4.46 %","   .00 %"
"2020-04-23","  2.14 %","   .00 %","  2.84 %","  4.01 %","   .00 %","","","   .00 %","  5.95 %","   .00 %","   .00 %","  6.00 %","   .00 %","  8.76 %","   .00 %","   .00 %","-16.48 %","  4.63 %","   .00 %"
"2020-04-24","  2.14 %","   .00 %","  3.21 %","  2.58 %","   .00 %","","","   .00 %","  5.95 %","   .00 %","   .00 %","  4.66 %","   .00 %","  2.09 %","   .00 %","   .00 %"," ##.## %","  2.97 %","   .00 %"
"2020-04-25","  4.08 %","   .00 %","  3.55 %","  3.76 %","   .00 %","","","   .00 %","  5.77 %","   .00 %","   .00 %","  5.16 %","   .00 %","  2.09 %","   .00 %","   .00 %"," ##.## %","  3.68 %","   .00 %"
