"date","New Mexico/Bernalillo","New Mexico/Catron","New Mexico/Chaves","New Mexico/Cibola","New Mexico/Colfax","New Mexico/Curry","New Mexico/De Baca","New Mexico/Dona Ana","New Mexico/Doña Ana","New Mexico/Eddy","New Mexico/Grant","New Mexico/Guadalupe","New Mexico/Harding","New Mexico/Hidalgo","New Mexico/Lea","New Mexico/Lincoln","New Mexico/Los Alamos","New Mexico/Luna","New Mexico/McKinley","New Mexico/Mora","New Mexico/Otero","New Mexico/Quay","New Mexico/Rio Arriba","New Mexico/Roosevelt","New Mexico/San Juan","New Mexico/San Miguel","New Mexico/Sandoval","New Mexico/Santa Fe","New Mexico/Sierra","New Mexico/Socorro","New Mexico/Taos","New Mexico/Torrance","New Mexico/Unassigned","New Mexico/Union","New Mexico/Valencia"
"2020-03-22","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"
"2020-03-23"," 18.75 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"
"2020-03-24"," 13.16 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 30.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %"," 16.67 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"
"2020-03-25"," 11.63 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 14.29 %","   .00 %"," 14.29 %"," 21.43 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"
"2020-03-26","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"
"2020-03-27"," 14.58 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 23.08 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 75.00 %","   .00 %"," 25.00 %"," 29.41 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"
"2020-03-28"," 69.09 %","   .00 %"," 75.00 %"," ##.## %","   .00 %","   .00 %","   .00 %","  6.25 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %"," 66.67 %","   .00 %","   .00 %","   .00 %"," 50.00 %","   .00 %"," 28.57 %","   .00 %"," 50.00 %"," 31.82 %","   .00 %","   .00 %"," ##.## %","   .00 %","","   .00 %","   .00 %"
"2020-03-29","  8.60 %","   .00 %"," 14.29 %","   .00 %","   .00 %"," ##.## %","   .00 %","   .00 %","   .00 %"," 33.33 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %"," 80.00 %","   .00 %","   .00 %","   .00 %","-33.33 %","   .00 %"," 22.22 %","   .00 %"," 20.00 %"," 17.24 %","   .00 %","   .00 %"," 12.50 %","   .00 %","","   .00 %"," ##.## %"
"2020-03-30","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %"
"2020-03-31"," 27.72 %",""," 25.00 %","   .00 %","","   .00 %","","  5.88 %","","   .00 %","","","","","   .00 %","","",""," 77.78 %","","",""," ##.## %","   .00 %"," 45.45 %","   .00 %"," 61.11 %"," 23.53 %",""," 50.00 %"," 22.22 %","   .00 %","",""," ##.## %"
"2020-04-01","   .00 %","","   .00 %","   .00 %","","   .00 %","","   .00 %","","   .00 %","","","","","   .00 %","","",""," 56.25 %","","   .00 %","","   .00 %","   .00 %"," 46.88 %","   .00 %","   .00 %","   .00 %","","   .00 %","   .00 %","   .00 %","","","   .00 %"
"2020-04-02"," 14.73 %","","   .00 %"," ##.## %",""," 66.67 %",""," 16.67 %","","   .00 %","   .00 %","","","","   .00 %","","",""," 16.00 %","","   .00 %","","   .00 %","   .00 %"," 10.64 %","   .00 %"," 10.34 %"," 14.29 %","","   .00 %","  9.09 %","   .00 %","   .00 %","","   .00 %"
"2020-04-03"," 36.49 %",""," 30.00 %"," ##.## %",""," 20.00 %","","  9.52 %","","   .00 %","   .00 %","","","","   .00 %","","",""," 58.62 %","","   .00 %",""," 25.00 %","   .00 %"," 38.46 %","   .00 %"," ##.## %","   .00 %",""," ##.## %","  8.33 %","   .00 %"," ##.## %","","   .00 %"
"2020-04-04","   .00 %","   .00 %","   .00 %","   .00 %","","   .00 %",""," -4.35 %","","   .00 %","   .00 %","","","","   .00 %","","","","   .00 %",""," ##.## %","","   .00 %","   .00 %","   .00 %","   .00 %","   .00 %","  8.33 %","","-50.00 %","   .00 %","   .00 %","-33.33 %","","   .00 %"
"2020-04-05"," 21.78 %","   .00 %","   .00 %"," 63.64 %","","   .00 %",""," 31.82 %","","   .00 %","   .00 %","","","","   .00 %","   .00 %","   .00 %",""," 19.57 %",""," 50.00 %",""," 20.00 %","   .00 %"," 16.67 %","   .00 %"," 56.06 %"," 19.23 %",""," 50.00 %","   .00 %"," ##.## %","-##.## %",""," 40.00 %"
"2020-04-06","  6.50 %","   .00 %","  7.69 %"," 16.67 %","","   .00 %","","  3.45 %","","   .00 %"," ##.## %","","","","   .00 %","   .00 %","   .00 %",""," 10.91 %","","   .00 %","","   .00 %","   .00 %"," 52.38 %","   .00 %"," 10.68 %","  3.23 %",""," 16.67 %","   .00 %","   .00 %","   .00 %","","   .00 %"
