"date","Washington/Adams","Washington/Asotin","Washington/Benton","Washington/Chelan","Washington/Clallam","Washington/Clark","Washington/Columbia","Washington/Cowlitz","Washington/Douglas","Washington/Ferry","Washington/Franklin","Washington/Garfield","Washington/Garfield County","Washington/Grant","Washington/Grays Harbor","Washington/Island","Washington/Jefferson","Washington/King","Washington/Kitsap","Washington/Kittitas","Washington/Klickitat","Washington/Lewis","Washington/Lincoln","Washington/Mason","Washington/Okanogan","Washington/Pacific","Washington/Pend Oreille","Washington/Pierce","Washington/San Juan","Washington/Skagit","Washington/Skamania","Washington/Snohomish","Washington/Spokane","Washington/Stevens","Washington/Thurston","Washington/Unassigned","Washington/Wahkiakum","Washington/Walla Walla","Washington/Walla Walla County","Washington/Whatcom","Washington/Whitman","Washington/Yakima"
"2020-03-22","0","0","2","0","0","3","0","0","0","0","0","","2","1","0","1","0","75","0","0","0","0","0","0","0","0","0","1","0","0","0","10","0","0","0","0","0","0","0","2","0","0"
"2020-03-23","0","0","3","0","0","3","0","0","0","0","0","0","","1","0","1","0","87","0","0","0","0","0","0","0","0","0","1","0","0","0","11","0","0","0","0","0","0","","2","0","0"
"2020-03-24","0","0","3","0","0","4","0","0","0","0","0","0","","1","0","1","0","87","0","0","0","0","0","0","0","0","0","1","0","1","0","16","0","0","0","0","0","0","","2","0","0"
"2020-03-25","0","0","3","1","0","4","0","0","0","0","0","0","","1","0","1","0","101","0","0","0","0","0","0","0","0","0","2","0","1","0","16","0","0","0","0","0","0","","2","0","1"
"2020-03-26","0","0","4","1","0","5","0","0","0","0","0","0","","1","0","1","0","109","0","0","0","0","0","0","0","0","0","4","0","1","0","18","0","0","0","0","0","0","","4","0","2"
"2020-03-27","0","0","4","1","0","6","0","0","0","0","0","0","","1","0","1","0","109","0","0","0","0","0","0","0","0","0","5","0","1","0","23","0","0","0","0","0","0","","4","0","2"
"2020-03-28","0","0","5","1","0","6","0","0","0","0","0","0","","1","0","1","0","136","1","0","0","0","0","0","0","0","0","5","0","1","0","23","2","0","0","0","0","0","","4","0","2"
"2020-03-29","0","0","5","1","0","6","0","0","0","0","0","0","","1","0","1","0","141","0","0","0","0","0","0","0","0","0","6","0","3","0","23","2","0","0","0","0","0","","7","0","2"
"2020-03-30","0","0","5","1","0","6","0","0","0","0","0","0","","1","0","1","0","144","0","0","1","0","0","0","0","0","0","6","0","3","0","23","4","0","0","0","0","0","","7","0","3"
"2020-03-31","0","","6","2","0","6","0","0","0","0","0","","","1","0","3","0","150","0","0","1","0","0","0","0","","","6","0","3","0","33","4","0","0","0","","0","","7","0","3"
