"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-12-07",54902,"2021-05-02",443,887,29105,55430,146,"1.69%"
"2020-12-08",55326,"2021-05-02",452,887,29170,55430,145,"1.66%"
"2020-12-09",55917,"2021-05-04",459,890,29177,56631,146,"1.57%"
"2020-12-10",56116,"2021-05-04",460,890,29178,56631,145,"1.57%"
"2020-12-11",56415,"2021-05-04",461,890,29487,56631,144,"1.58%"
"2020-12-12",56460,"2021-05-04",461,890,29487,56631,143,"1.58%"
"2020-12-13",56460,"2021-05-04",461,890,29487,56631,142,"1.58%"
"2020-12-14",56747,"2021-05-11",467,910,29496,58417,148,"1.53%"
"2020-12-15",56987,"2021-05-11",470,910,29499,58417,147,"1.52%"
"2020-12-16",57143,"2021-05-11",471,910,29500,58417,146,"1.52%"
"2020-12-17",57461,"2021-05-11",474,910,29503,58417,145,"1.51%"
"2020-12-18",57792,"2021-05-11",476,910,29826,58417,144,"1.52%"
"2020-12-19",58118,"2021-05-11",478,910,29828,58417,143,"1.51%"
"2020-12-20",58298,"2021-05-11",479,910,29829,58417,142,"1.51%"
"2020-12-21",58461,"2021-05-14",482,932,29832,58472,144,"1.57%"
"2020-12-22",58688,"2021-05-15",482,932,29834,58864,144,"1.55%"
"2020-12-23",58922,"2021-05-18",484,945,29922,58991,146,"1.59%"
"2020-12-24",59099,"2021-05-25",485,969,29923,60131,152,"1.6%"
"2020-12-25",59237,"2021-05-25",485,969,30200,60131,151,"1.62%"
"2020-12-26",59300,"2021-05-25",485,969,30200,60131,150,"1.62%"
"2020-12-27",59889,"2021-05-25",485,969,30200,60131,149,"1.62%"
"2020-12-28",60041,"2021-05-25",490,969,30205,60131,148,"1.6%"
