                                                        Germany
    date    | cases  | resolve_date | prior_deaths | deaths | prior_resolutions | resolutions | days_to_resolve | i_cfr 
------------+--------+--------------+--------------+--------+-------------------+-------------+-----------------+-------
 2020-05-28 | 180617 | 2020-06-13   |         8470 |   8793 |            171830 |      180763 |              16 | 3.62%
 2020-05-29 | 181154 | 2020-06-15   |         8504 |   8807 |            172749 |      181471 |              17 | 3.47%
 2020-05-30 | 181543 | 2020-06-16   |         8530 |   8820 |            173438 |      181655 |              17 | 3.53%
 2020-05-31 | 181835 | 2020-06-17   |         8540 |   8851 |            173892 |      182450 |              17 | 3.63%
 2020-06-01 | 182139 | 2020-06-17   |         8555 |   8851 |            174187 |      182450 |              16 | 3.58%
 2020-06-02 | 182365 | 2020-06-17   |         8562 |   8851 |            175171 |      182450 |              15 | 3.97%
 2020-06-03 | 182685 | 2020-06-18   |         8602 |   8875 |            176055 |      182722 |              15 | 4.09%
 2020-06-04 | 183130 | 2020-06-20   |         8635 |   8895 |            176544 |      183504 |              16 | 3.74%
 2020-06-05 | 183573 | 2020-06-21   |         8658 |   8895 |            177138 |      183635 |              16 | 3.65%
 2020-06-06 | 183835 | 2020-06-22   |         8673 |   8899 |            177631 |      184042 |              16 | 3.53%
 2020-06-07 | 184096 | 2020-06-23   |         8685 |   8914 |            177909 |      184739 |              16 | 3.35%
 2020-06-08 | 184313 | 2020-06-23   |         8695 |   8914 |            178251 |      184739 |              15 | 3.38%
 2020-06-09 | 184663 | 2020-06-23   |         8736 |   8914 |            178865 |      184739 |              14 | 3.03%
 2020-06-10 | 185073 | 2020-06-24   |         8752 |   8928 |            179382 |      185350 |              14 | 2.95%
 2020-06-11 | 185518 | 2020-06-25   |         8772 |   8940 |            179733 |      185704 |              14 | 2.81%
 2020-06-12 | 185836 | 2020-06-26   |         8783 |   8965 |            180318 |      186114 |              14 | 3.14%
 2020-06-13 | 186076 | 2020-06-26   |         8793 |   8965 |            180763 |      186114 |              13 | 3.21%
 2020-06-14 | 186319 | 2020-06-27   |         8801 |   8968 |            180890 |      186486 |              13 | 2.98%
 2020-06-15 | 186586 | 2020-06-28   |         8807 |   8968 |            181471 |      186625 |              13 | 3.12%
 2020-06-16 | 186934 | 2020-07-01   |         8820 |   8995 |            181655 |      187212 |              15 | 3.15%
 2020-06-17 | 187360 | 2020-07-02   |         8851 |   9006 |            182450 |      187899 |              15 | 2.84%
 2020-06-18 | 188630 | 2020-07-04   |         8875 |   9020 |            182722 |      189755 |              16 | 2.06%
 2020-06-19 | 189048 | 2020-07-04   |         8887 |   9020 |            182859 |      189755 |              15 | 1.93%
 2020-06-20 | 189298 | 2020-07-04   |         8895 |   9020 |            183504 |      189755 |              14 | 2.%
 2020-06-21 | 189992 | 2020-07-05   |         8895 |   9022 |            183635 |      190742 |              14 | 1.79%
 2020-06-22 | 190584 | 2020-07-05   |         8899 |   9022 |            184042 |      190742 |              13 | 1.84%
 2020-06-23 | 191012 | 2020-07-06   |         8914 |   9022 |            184739 |      191182 |              13 | 1.68%
 2020-06-24 | 191564 | 2020-07-07   |         8928 |   9032 |            185350 |      191693 |              13 | 1.64%
 2020-06-25 | 192218 | 2020-07-09   |         8940 |   9057 |            185704 |      192785 |              14 | 1.65%
