"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-10-11",3953,"2020-10-22",55,57,3786,3962,11,"1.14%"
"2020-10-12",3971,"2020-10-23",55,58,3792,3971,11,"1.68%"
"2020-10-13",3981,"2020-10-24",55,58,3805,3994,11,"1.59%"
"2020-10-14",3991,"2020-10-24",55,58,3819,3994,10,"1.71%"
"2020-10-15",4007,"2020-10-25",55,58,3840,4009,10,"1.78%"
"2020-10-16",4017,"2020-10-26",56,58,3855,4023,10,"1.19%"
"2020-10-17",4028,"2020-10-27",56,58,3872,4045,10,"1.16%"
"2020-10-18",4053,"2020-10-28",56,58,3892,4065,10,"1.16%"
"2020-10-19",4071,"2020-10-29",56,59,3916,4081,10,"1.82%"
"2020-10-20",4086,"2020-10-30",56,59,3926,4103,10,"1.69%"
"2020-10-21",4113,"2020-10-31",56,59,3937,4127,10,"1.58%"
"2020-10-22",4129,"2020-11-01",57,60,3962,4140,10,"1.69%"
"2020-10-23",4152,"2020-11-02",58,60,3971,4160,10,"1.06%"
"2020-10-24",4170,"2020-11-03",58,60,3994,4181,10,"1.07%"
"2020-10-25",4190,"2020-11-04",58,60,4009,4191,10,"1.1%"
"2020-10-26",4198,"2020-11-05",58,60,4023,4203,10,"1.11%"
"2020-10-27",4219,"2020-11-06",58,60,4045,4222,10,"1.13%"
"2020-10-28",4234,"2020-11-07",58,60,4065,4234,10,"1.18%"
"2020-10-29",4250,"2020-11-09",59,60,4081,4267,11,".54%"
"2020-10-30",4262,"2020-11-09",59,60,4103,4267,10,".61%"
"2020-10-31",4277,"2020-11-10",59,60,4127,4283,10,".64%"
"2020-11-01",4285,"2020-11-11",60,60,4140,4295,10,"0.%"
"2020-11-02",4297,"2020-11-12",60,61,4160,4311,10,".66%"
"2020-11-03",4317,"2020-11-13",60,61,4181,4333,10,".66%"
"2020-11-04",4334,"2020-11-14",60,61,4191,4344,10,".65%"
"2020-11-05",4348,"2020-11-15",60,61,4203,4359,10,".64%"
"2020-11-06",4365,"2020-11-16",60,61,4222,4375,10,".65%"
"2020-11-07",4386,"2020-11-17",60,61,4234,4392,10,".63%"
"2020-11-08",4395,"2020-11-18",60,61,4249,4407,10,".63%"
"2020-11-09",4408,"2020-11-19",60,61,4267,4427,10,".62%"
"2020-11-10",4422,"2020-11-19",60,61,4283,4427,9,".69%"
"2020-11-11",4439,"2020-11-21",60,61,4295,4457,10,".62%"
"2020-11-12",4452,"2020-11-21",61,61,4311,4457,9,"0.%"
"2020-11-13",4463,"2020-11-22",61,61,4333,4469,9,"0.%"
"2020-11-14",4472,"2020-11-23",61,61,4344,4482,9,"0.%"
"2020-11-15",4481,"2020-11-23",61,61,4359,4482,8,"0.%"
"2020-11-16",4502,"2020-11-25",61,61,4375,4508,9,"0.%"
"2020-11-17",4519,"2020-11-26",61,61,4392,4520,9,"0.%"
"2020-11-18",4538,"2020-11-28",61,61,4407,4547,10,"0.%"
"2020-11-19",4549,"2020-11-29",61,61,4427,4566,10,"0.%"
"2020-11-20",4562,"2020-11-29",61,61,4437,4566,9,"0.%"
"2020-11-21",4576,"2020-11-30",61,61,4457,4579,9,"0.%"
"2020-11-22",4586,"2020-12-01",61,61,4469,4595,9,"0.%"
"2020-11-23",4601,"2020-12-26",61,61,4482,4603,33,"0.%"
"2020-11-24",4612,"2020-12-27",61,61,4493,4612,33,"0.%"
"2020-11-25",4622,"2020-12-29",61,61,4508,4625,34,"0.%"
"2020-11-26",4627,"2020-12-30",61,61,4520,4634,34,"0.%"
"2020-11-27",4634,"2020-12-30",61,61,4537,4634,33,"0.%"
"2020-11-28",4643,"2021-01-01",61,61,4547,4644,34,"0.%"
"2020-11-29",4649,"2021-01-02",61,61,4566,4651,34,"0.%"
"2020-11-30",4655,"2021-01-03",61,61,4579,4660,34,"0.%"
"2020-12-01",4663,"2021-01-05",61,61,4595,4672,35,"0.%"
"2020-12-26",4663,"2021-01-05",61,61,4603,4672,10,"0.%"
"2020-12-27",4675,"2021-01-06",61,61,4612,4675,10,"0.%"
"2020-12-28",4680,"2021-01-07",61,61,4617,4680,10,"0.%"
"2020-12-29",4687,"2021-01-09",61,61,4625,4689,11,"0.%"
"2020-12-30",4692,"2021-01-11",61,61,4634,4700,12,"0.%"
"2020-12-31",4696,"2021-01-11",61,61,4640,4700,11,"0.%"
"2021-01-01",4697,"2021-01-11",61,61,4644,4700,10,"0.%"
"2021-01-02",4698,"2021-01-11",61,61,4651,4700,9,"0.%"
"2021-01-03",4699,"2021-01-11",61,61,4660,4700,8,"0.%"
"2021-01-04",4699,"2021-01-11",61,61,4662,4700,7,"0.%"
"2021-01-05",4700,"2021-01-11",61,61,4672,4700,6,"0.%"
"2021-01-06",4700,"2021-01-11",61,61,4675,4700,5,"0.%"
"2021-01-07",4709,"2021-01-15",61,61,4680,4711,8,"0.%"
"2021-01-08",4710,"2021-01-15",61,61,4682,4711,7,"0.%"
"2021-01-09",4710,"2021-01-15",61,61,4689,4711,6,"0.%"
"2021-01-10",4711,"2021-01-15",61,61,4691,4711,5,"0.%"
"2021-01-11",4714,"2021-01-20",61,61,4700,4716,9,"0.%"
"2021-01-12",4717,"2021-01-21",61,61,4702,4720,9,"0.%"
