"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-20",5483,"2020-07-30",70,101,3147,5859,10,"1.14%"
"2020-07-21",5941,"2020-07-31",76,110,3317,6254,10,"1.16%"
"2020-07-22",6266,"2020-08-01",76,116,4042,6987,10,"1.36%"
"2020-07-23",7282,"2020-08-02",77,118,4378,8115,10,"1.1%"
"2020-07-24",8266,"2020-08-03",77,120,4774,9579,10,".89%"
"2020-07-25",8989,"2020-08-03",77,120,4803,9579,9,".9%"
"2020-07-26",9723,"2020-08-04",79,126,4991,11056,9,".77%"
"2020-07-27",10247,"2020-08-04",82,126,5097,11056,8,".74%"
"2020-07-28",10987,"2020-08-04",85,126,5299,11056,7,".71%"
"2020-07-29",12358,"2020-08-05",93,128,5463,12781,7,".48%"
"2020-07-30",13312,"2020-08-06",101,138,5859,14387,7,".43%"
"2020-07-31",14699,"2020-08-07",110,147,6254,15629,7,".39%"
"2020-08-01",15827,"2020-08-08",116,158,6987,16306,7,".45%"
"2020-08-02",16523,"2020-08-09",118,166,8115,17079,7,".54%"
"2020-08-03",17476,"2020-08-10",120,171,9579,17754,7,".62%"
"2020-08-04",18801,"2020-08-11",126,184,11056,19246,7,".71%"
"2020-08-05",20061,"2020-08-13",128,199,12781,20874,8,".88%"
"2020-08-06",21173,"2020-08-14",138,205,14387,21708,8,".92%"
"2020-08-07",22273,"2020-08-15",147,212,15629,22635,8,".93%"
"2020-08-08",23249,"2020-08-16",158,220,16306,23528,8,".86%"
"2020-08-09",24107,"2020-08-17",166,225,17079,24511,8,".79%"
"2020-08-10",24738,"2020-08-18",171,234,17754,25438,8,".82%"
"2020-08-11",25697,"2020-08-19",184,242,19246,26022,8,".86%"
"2020-08-12",26478,"2020-08-20",191,250,19802,26790,8,".84%"
"2020-08-13",27334,"2020-08-21",199,258,20874,27611,8,".88%"
"2020-08-14",28096,"2020-08-22",205,269,21708,28331,8,".97%"
"2020-08-15",28947,"2020-08-24",212,278,22635,29502,9,".96%"
"2020-08-16",29527,"2020-08-25",220,289,23528,30296,9,"1.02%"
"2020-08-17",30062,"2020-08-25",225,289,24511,30296,8,"1.11%"
"2020-08-18",30507,"2020-08-26",234,295,25438,30953,8,"1.11%"
"2020-08-19",31630,"2020-08-27",242,301,26022,31833,8,"1.02%"
"2020-08-20",32603,"2020-08-28",250,306,26790,32786,8,".93%"
"2020-08-21",33307,"2020-08-29",258,312,27611,33518,8,".91%"
"2020-08-22",34327,"2020-08-31",269,326,28331,34915,9,".87%"
"2020-08-23",34793,"2020-08-31",272,326,28857,34915,8,".89%"
"2020-08-24",35726,"2020-09-01",278,333,29502,35783,8,".88%"
"2020-08-25",36220,"2020-09-02",289,337,30296,36375,8,".79%"
"2020-08-26",36948,"2020-09-03",295,344,30953,37056,8,".8%"
"2020-08-27",37763,"2020-09-04",301,347,31833,37805,8,".77%"
"2020-08-28",38596,"2020-09-06",306,363,32786,39262,9,".88%"
"2020-08-29",39460,"2020-09-07",312,367,33518,39880,9,".86%"
"2020-08-30",40155,"2020-09-08",319,375,34234,40602,9,".88%"
"2020-08-31",41128,"2020-09-09",326,381,34915,41711,9,".81%"
"2020-09-01",41584,"2020-09-09",333,381,35783,41711,8,".81%"
"2020-09-02",42394,"2020-09-10",337,387,36375,42564,8,".81%"
"2020-09-03",43248,"2020-09-11",344,393,37056,43506,8,".76%"
"2020-09-04",43998,"2020-09-12",347,396,37805,44238,8,".76%"
"2020-09-05",44547,"2020-09-13",355,403,38536,45000,8,".74%"
"2020-09-06",45300,"2020-09-14",363,410,39262,45763,8,".72%"
"2020-09-07",45884,"2020-09-15",367,416,39880,46568,8,".73%"
"2020-09-08",46325,"2020-09-15",375,416,40602,46568,7,".69%"
"2020-09-09",47126,"2020-09-16",381,421,41711,47225,7,".73%"
"2020-09-10",47548,"2020-09-17",387,425,42564,47803,7,".73%"
"2020-09-11",48105,"2020-09-18",393,430,43506,48520,7,".74%"
"2020-09-12",48785,"2020-09-19",396,435,44238,49222,7,".78%"
"2020-09-13",49306,"2020-09-20",403,442,45000,49784,7,".82%"
"2020-09-14",49789,"2020-09-21",410,447,45763,50328,7,".81%"
"2020-09-15",50088,"2020-09-21",416,447,46568,50328,6,".82%"
"2020-09-16",50813,"2020-09-22",421,453,47225,51072,6,".83%"
"2020-09-17",51358,"2020-09-23",425,456,47803,51658,6,".8%"
"2020-09-18",51821,"2020-09-24",430,462,48520,52286,6,".85%"
"2020-09-19",52298,"2020-09-25",435,468,49222,52796,6,".92%"
"2020-09-20",52837,"2020-09-26",442,470,49784,53447,6,".76%"
"2020-09-21",53342,"2020-09-26",447,470,50328,53447,5,".74%"
"2020-09-22",53651,"2020-09-27",453,473,51072,53954,5,".69%"
"2020-09-23",54263,"2020-09-28",456,475,51658,54364,5,".7%"
"2020-09-24",54760,"2020-09-29",462,479,52286,54911,5,".65%"
"2020-09-25",55216,"2020-09-30",468,483,52796,55419,5,".57%"
"2020-09-26",55729,"2020-10-01",470,487,53447,55879,5,".7%"
"2020-09-27",56209,"2020-10-02",473,491,53954,56411,5,".73%"
"2020-09-28",56519,"2020-10-03",475,493,54364,56899,5,".71%"
"2020-09-29",56795,"2020-10-03",479,493,54911,56899,4,".7%"
"2020-09-30",57375,"2020-10-05",483,502,55419,57785,5,".8%"
"2020-10-01",57708,"2020-10-05",487,502,55879,57785,4,".79%"
"2020-10-02",58041,"2020-10-07",491,509,56411,58148,5,"1.04%"
"2020-10-03",58323,"2020-10-08",493,513,56899,58444,5,"1.29%"
"2020-10-04",58734,"2020-10-10",498,518,57353,58905,6,"1.29%"
"2020-10-05",59005,"2020-10-11",502,520,57785,59156,6,"1.31%"
"2020-10-06",59214,"2020-10-12",505,523,57982,59370,6,"1.3%"
"2020-10-07",59638,"2020-10-14",509,528,58148,59721,7,"1.21%"
"2020-10-08",60000,"2020-10-16",513,529,58444,60125,8,".95%"
