"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-05-18",615,"2020-06-12",10,19,412,615,25,"4.43%"
"2020-05-19",615,"2020-06-12",11,19,413,615,24,"3.96%"
"2020-05-20",638,"2020-06-14",12,20,428,645,25,"3.69%"
"2020-05-27",673,"2020-06-17",12,22,510,681,21,"5.85%"
"2020-05-28",688,"2020-06-19",13,22,514,691,22,"5.08%"
"2020-05-29",695,"2020-06-20",14,24,530,722,22,"5.21%"
"2020-05-30",704,"2020-06-20",14,24,534,722,21,"5.32%"
"2020-05-31",723,"2020-06-21",14,25,542,726,21,"5.98%"
"2020-06-01",724,"2020-06-21",16,25,550,726,20,"5.11%"
"2020-06-02",728,"2020-06-22",16,26,551,757,20,"4.85%"
"2020-06-03",740,"2020-06-22",17,26,563,757,19,"4.64%"
"2020-06-04",745,"2020-06-22",18,26,567,757,18,"4.21%"
"2020-06-05",745,"2020-06-22",18,26,574,757,17,"4.37%"
"2020-06-06",762,"2020-06-23",18,29,578,775,17,"5.58%"
"2020-06-07",772,"2020-06-23",19,29,586,775,16,"5.29%"
"2020-06-08",776,"2020-06-24",19,33,591,809,16,"6.42%"
"2020-06-10",833,"2020-06-26",19,39,601,881,16,"7.14%"
"2020-06-11",849,"2020-06-26",19,39,608,881,15,"7.33%"
"2020-06-12",872,"2020-06-26",19,39,615,881,14,"7.52%"
"2020-06-13",925,"2020-06-27",19,43,622,943,14,"7.48%"
"2020-06-14",976,"2020-06-28",20,49,645,977,14,"8.73%"
"2020-06-15",1036,"2020-07-01",21,59,654,1083,16,"8.86%"
"2020-06-16",1092,"2020-07-03",21,64,667,1122,17,"9.45%"
"2020-06-17",1151,"2020-07-04",22,67,681,1183,17,"8.96%"
"2020-06-18",1201,"2020-07-05",22,72,686,1258,17,"8.74%"
"2020-06-19",1232,"2020-07-05",22,72,691,1258,16,"8.82%"
"2020-06-20",1247,"2020-07-05",24,72,722,1258,15,"8.96%"
"2020-06-21",1294,"2020-07-06",25,72,726,1308,15,"8.08%"
"2020-06-22",1354,"2020-07-07",26,76,757,1363,15,"8.25%"
"2020-06-23",1407,"2020-07-08",29,79,775,1621,15,"5.91%"
"2020-06-24",1483,"2020-07-08",33,79,809,1621,14,"5.67%"
"2020-06-25",1555,"2020-07-08",35,79,831,1621,13,"5.57%"
"2020-06-26",1615,"2020-07-08",39,79,881,1621,12,"5.41%"
"2020-06-27",1684,"2020-07-10",43,84,943,1796,13,"4.81%"
"2020-06-28",1787,"2020-07-10",49,84,977,1796,12,"4.27%"
"2020-06-29",1873,"2020-07-12",54,92,988,1945,13,"3.97%"
"2020-06-30",1955,"2020-07-13",56,96,1003,2047,13,"3.83%"
"2020-07-01",2045,"2020-07-13",59,96,1083,2047,12,"3.84%"
"2020-07-02",2120,"2020-07-14",60,99,1087,2173,12,"3.59%"
"2020-07-03",2236,"2020-07-15",64,104,1122,2306,12,"3.38%"
"2020-07-04",2354,"2020-07-16",67,105,1183,2359,12,"3.23%"
"2020-07-05",2451,"2020-07-18",72,107,1258,2503,13,"2.81%"
"2020-07-06",2587,"2020-07-19",72,114,1308,2686,13,"3.05%"
"2020-07-07",2671,"2020-07-19",76,114,1363,2686,12,"2.87%"
"2020-07-08",2722,"2020-07-20",79,117,1621,2840,12,"3.12%"
"2020-07-09",2795,"2020-07-20",82,117,1668,2840,11,"2.99%"
"2020-07-10",2939,"2020-07-21",84,121,1796,3109,11,"2.82%"
"2020-07-11",3168,"2020-07-22",88,126,1870,4727,11,"1.33%"
"2020-07-12",3405,"2020-07-22",92,126,1945,4727,10,"1.22%"
"2020-07-13",3654,"2020-07-22",96,126,2047,4727,9,"1.12%"
"2020-07-14",3823,"2020-07-22",99,126,2173,4727,8,"1.06%"
"2020-07-15",4226,"2020-07-22",104,126,2306,4727,7,".91%"
"2020-07-16",4816,"2020-07-23",105,133,2359,5181,7,".99%"
"2020-07-17",5131,"2020-07-23",107,133,2400,5181,6,".93%"
"2020-07-18",5681,"2020-07-25",107,147,2503,5790,7,"1.22%"
"2020-07-19",6045,"2020-07-26",114,153,2686,6157,7,"1.12%"
"2020-07-20",6604,"2020-07-28",117,165,2840,6998,8,"1.15%"
"2020-07-21",7119,"2020-07-29",121,170,3109,7316,8,"1.16%"
"2020-07-22",7797,"2020-07-31",126,186,4727,8232,9,"1.71%"
"2020-07-23",8701,"2020-08-01",133,192,5181,9455,9,"1.38%"
"2020-07-24",9615,"2020-08-02",141,198,5441,10218,9,"1.19%"
"2020-07-25",10357,"2020-08-03",147,201,5790,10889,9,"1.06%"
"2020-07-26",11570,"2020-08-04",153,209,6157,11746,9,"1.%"
"2020-07-27",12234,"2020-08-05",155,212,6549,12327,9,".99%"
"2020-07-28",13380,"2020-08-06",165,214,6998,13497,9,".75%"
"2020-07-29",14471,"2020-08-08",170,229,7316,16512,10,".64%"
"2020-07-30",15723,"2020-08-08",178,229,7757,16512,9,".58%"
"2020-07-31",16847,"2020-08-09",186,236,8232,18019,9,".51%"
"2020-08-01",18081,"2020-08-10",192,242,9455,18533,9,".55%"
"2020-08-02",19077,"2020-08-11",198,245,10218,19154,9,".53%"
"2020-08-03",19679,"2020-08-12",201,249,10889,19808,9,".54%"
"2020-08-04",20695,"2020-08-13",209,255,11746,21420,9,".48%"
"2020-08-05",22063,"2020-08-14",212,267,12327,22792,9,".53%"
"2020-08-06",23348,"2020-08-15",214,274,13497,23974,9,".57%"
"2020-08-07",24679,"2020-08-16",219,283,14126,25710,9,".55%"
"2020-08-08",26032,"2020-08-17",229,288,16512,26664,9,".58%"
"2020-08-09",27431,"2020-08-18",236,297,18019,27870,9,".62%"
"2020-08-10",28314,"2020-08-20",242,305,18533,29442,10,".58%"
"2020-08-11",29452,"2020-08-21",245,308,19154,30220,10,".57%"
"2020-08-12",30233,"2020-08-22",249,316,19808,31045,10,".6%"
"2020-08-13",31056,"2020-08-23",255,326,21420,32006,10,".67%"
"2020-08-14",32012,"2020-08-24",267,328,22792,32734,10,".61%"
"2020-08-15",32746,"2020-08-25",274,328,23974,33567,10,".56%"
"2020-08-16",33580,"2020-08-26",283,333,25710,33963,10,".61%"
"2020-08-17",33952,"2020-08-26",288,333,26664,33963,9,".62%"
"2020-08-18",34782,"2020-08-28",297,352,27870,35448,10,".73%"
"2020-08-19",35576,"2020-08-29",299,358,28302,36358,10,".73%"
"2020-08-20",36381,"2020-08-30",305,363,29442,37293,10,".74%"
"2020-08-21",37300,"2020-08-31",308,369,30220,38203,10,".76%"
"2020-08-22",38150,"2020-08-31",316,369,31045,38203,9,".74%"
"2020-08-23",38835,"2020-09-01",326,373,32006,38892,9,".68%"
"2020-08-24",39319,"2020-09-03",328,378,32734,39918,10,".7%"
"2020-08-25",40100,"2020-09-04",328,380,33567,40741,10,".72%"
"2020-08-26",40845,"2020-09-05",333,382,33963,41697,10,".63%"
"2020-08-27",41700,"2020-09-06",346,386,34665,42549,10,".51%"
"2020-08-28",42457,"2020-09-06",352,386,35448,42549,9,".48%"
"2020-08-29",43248,"2020-09-07",358,390,36358,43440,9,".45%"
"2020-08-30",44059,"2020-09-08",363,392,37293,44406,9,".41%"
"2020-08-31",44745,"2020-09-09",369,397,38203,44896,9,".42%"
"2020-09-01",45558,"2020-09-10",373,397,38892,45704,9,".35%"
"2020-09-02",46255,"2020-09-11",374,398,39318,46397,9,".34%"
"2020-09-03",46871,"2020-09-12",378,403,39918,46915,9,".36%"
"2020-09-04",47573,"2020-09-14",380,413,40741,47980,10,".46%"
"2020-09-05",48006,"2020-09-15",382,416,41697,48362,10,".51%"
"2020-09-06",48386,"2020-09-16",386,420,42549,48682,10,".55%"
"2020-09-07",48702,"2020-09-17",390,426,43440,49196,10,".63%"
"2020-09-08",49216,"2020-09-18",392,428,44406,49677,10,".68%"
"2020-09-09",49700,"2020-09-19",397,431,44896,50258,10,".63%"
"2020-09-10",50182,"2020-09-19",397,431,45704,50258,9,".75%"
"2020-09-11",50679,"2020-09-20",398,435,46397,50806,9,".84%"
"2020-09-12",51184,"2020-09-21",403,438,46915,51311,9,".8%"
"2020-09-13",51625,"2020-09-22",408,442,47537,51804,9,".8%"
"2020-09-14",51966,"2020-09-23",413,444,47980,52146,9,".74%"
"2020-09-15",52280,"2020-09-24",416,447,48362,52461,9,".76%"
"2020-09-16",52704,"2020-09-25",420,449,48682,52887,9,".69%"
"2020-09-17",53098,"2020-09-26",426,450,49196,53282,9,".59%"
"2020-09-18",53435,"2020-09-27",428,453,49677,53621,9,".63%"
"2020-09-19",53754,"2020-09-28",431,453,50258,53939,9,".6%"
"2020-09-20",54029,"2020-09-29",435,453,50806,54213,9,".53%"
"2020-09-21",54219,"2020-09-30",438,455,51311,54404,9,".55%"
"2020-09-22",54491,"2020-10-01",442,455,51804,54676,9,".45%"
"2020-09-23",54720,"2020-10-02",444,458,52146,54825,9,".52%"
"2020-09-24",55045,"2020-10-04",447,461,52461,55217,10,".51%"
"2020-09-25",55250,"2020-10-05",449,461,52887,55422,10,".47%"
"2020-09-26",55456,"2020-10-06",450,461,53282,55647,10,".47%"
"2020-09-27",55685,"2020-10-07",453,463,53621,55762,10,".47%"
"2020-09-28",55798,"2020-10-08",453,465,53939,55908,10,".61%"
"2020-09-29",55942,"2020-10-09",453,466,54213,56124,10,".68%"
"2020-09-30",56158,"2020-10-10",455,468,54404,56388,10,".66%"
"2020-10-01",56423,"2020-10-11",455,468,54676,56600,10,".68%"
"2020-10-02",56627,"2020-10-12",458,469,54825,56816,10,".55%"
"2020-10-03",56852,"2020-10-13",460,469,55016,57036,10,".45%"
"2020-10-04",57072,"2020-10-15",461,471,55217,57195,11,".51%"
"2020-10-05",57158,"2020-10-15",461,471,55422,57195,10,".56%"
"2020-10-06",57281,"2020-10-16",461,471,55647,57387,10,".57%"
"2020-10-07",57425,"2020-10-17",463,471,55762,57562,10,".44%"
"2020-10-08",57600,"2020-10-18",465,471,55908,57772,10,".32%"
"2020-10-09",57811,"2020-10-19",466,471,56124,57890,10,".28%"
"2020-10-10",57930,"2020-10-20",468,471,56388,58104,10,".17%"
"2020-10-11",58105,"2020-10-21",468,471,56600,58151,10,".19%"
"2020-10-12",58241,"2020-10-23",469,472,56816,58369,11,".19%"
"2020-10-13",58329,"2020-10-23",469,472,57036,58369,10,".23%"
"2020-10-14",58433,"2020-10-24",470,472,57071,58526,10,".14%"
"2020-10-15",58536,"2020-10-25",471,472,57195,58635,10,".07%"
"2020-10-16",58636,"2020-10-26",471,472,57387,58726,10,".07%"
"2020-10-17",58727,"2020-10-27",471,473,57562,58782,10,".16%"
"2020-10-18",58782,"2020-10-27",471,473,57772,58782,9,".2%"
"2020-10-19",58848,"2020-10-28",471,473,57890,58848,9,".21%"
"2020-10-20",58896,"2020-10-30",471,473,58104,58956,10,".23%"
"2020-10-21",58961,"2020-10-31",471,473,58151,59022,10,".23%"
"2020-10-22",59027,"2020-11-01",471,473,58239,59091,10,".23%"
"2020-10-23",59096,"2020-11-02",472,473,58369,59181,10,".12%"
"2020-10-24",59156,"2020-11-02",472,473,58526,59181,9,".15%"
"2020-10-25",59223,"2020-11-03",472,473,58635,59248,9,".16%"
"2020-10-26",59286,"2020-11-05",472,473,58726,59302,10,".17%"
"2020-10-27",59341,"2020-11-07",473,473,58782,59358,11,"0.%"
"2020-10-28",59373,"2020-11-08",473,473,58848,59394,11,"0.%"
"2020-10-29",59398,"2020-11-09",473,473,58891,59428,11,"0.%"
"2020-10-30",59434,"2020-11-10",473,473,58956,59468,11,"0.%"
"2020-10-31",59468,"2020-11-10",473,473,59022,59468,10,"0.%"
"2020-11-01",59508,"2020-11-12",473,473,59091,59525,11,"0.%"
"2020-11-02",59530,"2020-11-13",473,473,59181,59560,11,"0.%"
