"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-19",452,"2020-07-10",2,5,217,524,21,".98%"
"2020-06-20",458,"2020-07-10",2,5,222,524,20,".99%"
"2020-06-21",470,"2020-07-10",2,5,223,524,19,"1.%"
"2020-06-22",476,"2020-07-10",2,5,229,524,18,"1.02%"
"2020-06-23",483,"2020-07-10",2,5,262,524,17,"1.15%"
"2020-06-24",492,"2020-07-10",2,5,275,524,16,"1.2%"
"2020-06-25",521,"2020-07-10",2,5,286,524,15,"1.26%"
"2020-06-26",536,"2020-07-11",2,7,286,557,15,"1.85%"
"2020-06-27",560,"2020-07-12",2,8,307,615,15,"1.95%"
"2020-06-28",578,"2020-07-12",2,8,307,615,14,"1.95%"
"2020-06-29",602,"2020-07-12",4,8,330,615,13,"1.4%"
"2020-06-30",607,"2020-07-12",4,8,349,615,12,"1.5%"
"2020-07-01",640,"2020-07-15",4,11,349,696,14,"2.02%"
"2020-07-02",642,"2020-07-15",4,11,349,696,13,"2.02%"
"2020-07-03",657,"2020-07-15",4,11,356,696,12,"2.06%"
"2020-07-04",684,"2020-07-15",4,11,356,696,11,"2.06%"
"2020-07-05",729,"2020-07-16",4,14,364,756,11,"2.55%"
"2020-07-06",770,"2020-07-17",4,16,364,770,11,"2.96%"
"2020-07-07",809,"2020-07-20",4,19,385,955,13,"2.63%"
"2020-07-08",872,"2020-07-20",4,19,393,955,12,"2.67%"
"2020-07-09",903,"2020-07-20",4,19,415,955,11,"2.78%"
"2020-07-10",954,"2020-07-20",5,19,524,955,10,"3.25%"
"2020-07-11",1030,"2020-07-23",7,20,557,1912,12,".96%"
"2020-07-12",1154,"2020-07-23",8,20,615,1912,11,".93%"
"2020-07-13",1253,"2020-07-23",10,20,617,1912,10,".77%"
"2020-07-14",1418,"2020-07-23",10,20,637,1912,9,".78%"
"2020-07-15",1463,"2020-07-23",11,20,696,1912,8,".74%"
"2020-07-16",1589,"2020-07-23",14,20,756,1912,7,".52%"
"2020-07-17",1716,"2020-07-23",16,20,770,1912,6,".35%"
"2020-07-18",1994,"2020-07-30",19,36,785,2093,12,"1.3%"
"2020-07-19",2385,"2020-08-01",19,42,799,2655,13,"1.24%"
"2020-07-20",2485,"2020-08-01",19,42,955,2655,12,"1.35%"
"2020-07-21",2682,"2020-08-02",19,48,985,3259,12,"1.28%"
"2020-07-22",3009,"2020-08-02",20,48,986,3259,11,"1.23%"
"2020-07-23",3447,"2020-08-03",20,55,1912,3564,11,"2.12%"
"2020-07-24",3725,"2020-08-04",20,62,1912,4037,11,"1.98%"
"2020-07-25",4024,"2020-08-04",21,62,1913,4037,10,"1.93%"
"2020-07-26",4353,"2020-08-05",26,66,1918,4356,10,"1.64%"
"2020-07-27",4775,"2020-08-06",26,72,1918,5313,10,"1.35%"
"2020-07-28",5144,"2020-08-06",30,72,1922,5313,9,"1.24%"
"2020-07-29",5752,"2020-08-07",35,81,1927,5836,9,"1.18%"
"2020-07-30",6454,"2020-08-09",36,93,2093,6595,10,"1.27%"
"2020-07-31",7315,"2020-08-11",40,103,2212,7636,11,"1.16%"
"2020-08-01",7874,"2020-08-12",42,113,2655,8479,11,"1.22%"
