"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-20",59735,"2021-04-04",560,570,59130,59828,15,"1.43%"
"2021-03-21",59774,"2021-04-04",560,570,59152,59828,14,"1.48%"
"2021-03-22",59817,"2021-04-04",560,570,59167,59828,13,"1.51%"
"2021-03-23",59863,"2021-04-05",561,570,59187,60004,13,"1.1%"
"2021-03-24",59944,"2021-04-05",562,570,59220,60004,12,"1.02%"
"2021-03-25",60042,"2021-04-06",563,572,59228,60175,12,".95%"
"2021-03-26",60212,"2021-04-07",564,573,59277,60345,12,".84%"
"2021-03-27",60368,"2021-04-08",564,574,59314,60455,12,".88%"
"2021-03-28",60535,"2021-04-09",564,576,59334,60629,12,".93%"
"2021-03-29",60674,"2021-04-10",565,578,59371,60823,12,".9%"
"2021-03-30",60843,"2021-04-11",566,578,59453,61025,12,".76%"
"2021-03-31",61029,"2021-04-12",566,579,59507,61226,12,".76%"
"2021-04-01",61218,"2021-04-12",567,579,59543,61226,11,".71%"
"2021-04-02",61409,"2021-04-13",568,580,59623,61435,11,".66%"
"2021-04-03",61607,"2021-04-14",569,582,59732,61686,11,".67%"
"2021-04-04",61842,"2021-04-15",570,584,59828,61893,11,".68%"
"2021-04-05",62064,"2021-04-16",570,586,60004,62183,11,".73%"
"2021-04-06",62322,"2021-04-17",572,588,60175,62482,11,".69%"
"2021-04-07",62620,"2021-04-18",573,589,60345,62783,11,".66%"
"2021-04-08",62910,"2021-04-19",574,591,60455,63097,11,".64%"
"2021-04-09",63245,"2021-04-20",576,592,60629,63491,11,".56%"
"2021-04-10",63636,"2021-04-21",578,594,60823,63862,11,".53%"
"2021-04-11",64041,"2021-04-22",578,595,61025,64284,11,".52%"
"2021-04-12",64495,"2021-04-23",579,598,61226,64683,11,".55%"
"2021-04-13",64909,"2021-04-24",580,600,61435,65086,11,".55%"
"2021-04-14",65326,"2021-04-25",582,606,61686,65506,11,".63%"
"2021-04-15",65758,"2021-04-26",584,609,61893,65977,11,".61%"
"2021-04-16",66247,"2021-04-27",586,613,62183,66487,11,".63%"
"2021-04-17",66717,"2021-04-28",588,618,62482,67097,11,".65%"
"2021-04-18",67268,"2021-04-29",589,623,62783,67787,11,".68%"
"2021-04-19",67833,"2021-04-30",591,631,63097,68574,11,".73%"
"2021-04-20",68508,"2021-04-30",592,631,63491,68574,10,".77%"
"2021-04-21",69318,"2021-05-01",594,638,63862,69494,10,".78%"
"2021-04-22",70162,"2021-05-02",595,646,64284,70457,10,".83%"
"2021-04-23",71072,"2021-05-03",598,655,64683,71389,10,".85%"
"2021-04-24",72019,"2021-05-04",600,664,65086,72415,10,".87%"
"2021-04-25",73070,"2021-05-05",606,675,65506,73621,10,".85%"
"2021-04-26",74100,"2021-05-06",609,686,65977,74878,10,".87%"
"2021-04-27",75167,"2021-05-07",613,696,66487,76070,10,".87%"
"2021-04-28",76250,"2021-05-08",618,708,67097,77290,10,".88%"
"2021-04-29",77379,"2021-05-09",623,718,67787,78219,10,".91%"
"2021-04-30",78737,"2021-05-10",631,727,68574,79219,10,".9%"
"2021-05-01",80459,"2021-05-11",638,739,69494,80752,10,".9%"
"2021-05-02",82397,"2021-05-12",646,750,70457,82578,10,".86%"
"2021-05-03",84357,"2021-05-13",655,761,71389,84578,10,".8%"
"2021-05-04",86333,"2021-05-14",664,771,72415,86655,10,".75%"
"2021-05-05",88446,"2021-05-15",675,780,73621,88765,10,".69%"
"2021-05-06",90553,"2021-05-16",686,791,74878,90937,10,".65%"
"2021-05-07",92421,"2021-05-17",696,800,76070,92859,10,".62%"
"2021-05-08",94946,"2021-05-18",708,808,77290,95548,10,".55%"
"2021-05-09",97152,"2021-05-19",718,819,78219,97805,10,".52%"
"2021-05-10",98770,"2021-05-20",727,829,79219,99477,10,".5%"
"2021-05-11",101141,"2021-05-21",739,838,80752,101903,10,".47%"
"2021-05-12",103379,"2021-05-23",750,858,82578,105348,11,".47%"
"2021-05-13",105443,"2021-05-24",761,866,84578,107564,11,".46%"
"2021-05-14",107643,"2021-05-25",771,875,86655,109809,11,".45%"
"2021-05-15",109627,"2021-05-25",780,875,88765,109809,10,".45%"
"2021-05-16",111668,"2021-05-26",791,883,90937,112348,10,".43%"
"2021-05-17",113766,"2021-05-27",800,894,92859,114454,10,".44%"
"2021-05-18",116134,"2021-05-28",808,904,95548,116620,10,".46%"
"2021-05-19",118141,"2021-05-29",819,914,97805,118762,10,".45%"
"2021-05-20",120125,"2021-05-30",829,922,99477,121054,10,".43%"
"2021-05-21",122011,"2021-05-31",838,930,101903,122752,10,".44%"
"2021-05-22",124319,"2021-06-01",849,937,102550,124925,10,".39%"
"2021-05-23",125987,"2021-06-02",858,943,105348,126218,10,".41%"
"2021-05-24",127677,"2021-06-03",866,949,107564,127754,10,".41%"
"2021-05-25",129517,"2021-06-04",875,954,109809,129686,10,".4%"
"2021-05-26",131317,"2021-06-06",883,964,112348,132307,11,".41%"
