"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-09-25",41852,"2020-10-05",357,385,38392,42860,10,".63%"
"2020-09-26",42389,"2020-10-05",365,385,38960,42860,9,".51%"
"2020-09-27",42861,"2020-10-06",368,386,39587,42884,9,".55%"
"2020-09-28",43132,"2020-10-07",371,388,39864,43269,9,".5%"
"2020-09-29",43431,"2020-10-08",371,391,40171,43514,9,".6%"
"2020-09-30",43818,"2020-10-09",374,392,40441,43869,9,".53%"
"2020-10-01",44218,"2020-10-10",377,393,40660,44229,9,".45%"
"2020-10-02",44557,"2020-10-12",378,400,40926,44903,10,".55%"
"2020-10-03",45048,"2020-10-13",380,404,41226,45243,10,".6%"
"2020-10-04",45456,"2020-10-14",380,404,41682,45588,10,".61%"
"2020-10-05",45687,"2020-10-15",385,407,42860,45904,10,".72%"
"2020-10-06",46121,"2020-10-16",386,411,42884,46285,10,".74%"
"2020-10-07",46422,"2020-10-17",388,411,43269,46655,10,".68%"
"2020-10-08",46745,"2020-10-18",391,412,43514,47022,10,".6%"
"2020-10-09",47097,"2020-10-19",392,415,43869,47370,10,".66%"
"2020-10-10",47601,"2020-10-20",393,419,44229,47809,10,".73%"
"2020-10-11",48019,"2020-10-21",396,420,44536,48296,10,".64%"
"2020-10-12",48209,"2020-10-21",400,420,44903,48296,9,".59%"
"2020-10-13",48526,"2020-10-23",404,424,45243,48857,10,".55%"
"2020-10-14",48858,"2020-10-24",404,425,45588,49174,10,".59%"
"2020-10-15",49139,"2020-10-24",407,425,45904,49174,9,".55%"
"2020-10-16",49351,"2020-10-25",411,428,46285,49445,9,".54%"
"2020-10-17",49597,"2020-10-26",411,431,46655,49648,9,".67%"
"2020-10-18",49863,"2020-10-27",412,435,47022,49918,9,".79%"
"2020-10-19",50018,"2020-10-28",415,435,47370,50140,9,".72%"
"2020-10-20",50208,"2020-10-29",419,437,47809,50306,9,".72%"
"2020-10-21",50374,"2020-10-30",420,439,48296,50506,9,".86%"
"2020-10-22",50586,"2020-10-31",421,439,48516,50693,9,".83%"
"2020-10-23",50811,"2020-11-01",424,439,48857,50907,9,".73%"
"2020-10-24",51014,"2020-11-02",425,440,49174,51122,9,".77%"
"2020-10-25",51167,"2020-11-03",428,440,49445,51336,9,".63%"
"2020-10-26",51252,"2020-11-03",431,440,49648,51336,8,".53%"
"2020-10-27",51379,"2020-11-04",435,440,49918,51497,8,".32%"
"2020-10-28",51572,"2020-11-05",435,440,50140,51602,8,".34%"
"2020-10-29",51763,"2020-11-07",437,442,50306,51938,9,".31%"
"2020-10-30",51911,"2020-11-07",439,442,50506,51938,8,".21%"
"2020-10-31",52080,"2020-11-08",439,442,50693,52126,8,".21%"
"2020-11-01",52205,"2020-11-09",439,444,50907,52282,8,".36%"
"2020-11-02",52346,"2020-11-10",440,444,51122,52449,8,".3%"
"2020-11-03",52515,"2020-11-11",440,444,51336,52568,8,".32%"
"2020-11-04",52642,"2020-11-12",440,444,51497,52699,8,".33%"
"2020-11-05",52767,"2020-11-13",440,444,51602,52879,8,".31%"
"2020-11-06",52899,"2020-11-14",441,444,51745,52981,8,".24%"
"2020-11-07",53030,"2020-11-15",442,445,51938,53094,8,".26%"
