"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-02-08",1188,"2021-05-01",4,4,1178,1188,82,"0.%"
"2021-03-10",1189,"2021-05-02",4,4,1178,1192,53,"0.%"
"2021-03-22",1189,"2021-05-02",4,4,1179,1192,41,"0.%"
"2021-04-05",1190,"2021-05-02",4,4,1179,1192,27,"0.%"
"2021-04-10",1191,"2021-05-02",4,4,1179,1192,22,"0.%"
"2021-04-15",1191,"2021-05-02",4,4,1180,1192,17,"0.%"
"2021-04-18",1192,"2021-05-02",4,4,1180,1192,14,"0.%"
"2021-04-19",1193,"2021-05-03",4,4,1181,1197,14,"0.%"
"2021-04-21",1195,"2021-05-03",4,4,1181,1197,12,"0.%"
"2021-04-22",1201,"2021-05-04",4,4,1181,1203,12,"0.%"
"2021-04-23",1205,"2021-05-05",4,4,1181,1205,12,"0.%"
"2021-04-24",1209,"2021-05-06",4,4,1181,1211,12,"0.%"
"2021-04-25",1214,"2021-05-07",4,4,1181,1215,12,"0.%"
"2021-04-26",1217,"2021-05-08",4,4,1181,1219,12,"0.%"
"2021-04-27",1220,"2021-05-09",4,4,1182,1234,12,"0.%"
"2021-04-28",1227,"2021-05-09",4,4,1183,1234,11,"0.%"
"2021-04-29",1232,"2021-05-09",4,4,1184,1234,10,"0.%"
"2021-04-30",1246,"2021-05-10",4,4,1185,1249,10,"0.%"
"2021-05-01",1261,"2021-05-12",4,5,1188,1264,11,"1.32%"
"2021-05-02",1268,"2021-05-13",4,5,1192,1273,11,"1.23%"
"2021-05-03",1275,"2021-05-14",4,5,1197,1284,11,"1.15%"
"2021-05-04",1284,"2021-05-14",4,5,1203,1284,10,"1.23%"
"2021-05-05",1295,"2021-05-16",4,5,1205,1304,11,"1.01%"
"2021-05-06",1304,"2021-05-16",4,5,1211,1304,10,"1.08%"
"2021-05-07",1315,"2021-05-17",4,5,1215,1323,10,".93%"
"2021-05-08",1334,"2021-05-18",4,5,1219,1338,10,".84%"
"2021-05-09",1347,"2021-05-19",4,5,1234,1354,10,".83%"
"2021-05-10",1361,"2021-05-20",4,5,1249,1370,10,".83%"
"2021-05-11",1378,"2021-05-21",5,6,1257,1385,10,".78%"
"2021-05-12",1392,"2021-05-22",5,6,1264,1423,10,".63%"
"2021-05-13",1430,"2021-05-23",5,6,1273,1458,10,".54%"
"2021-05-14",1467,"2021-05-24",5,6,1284,1475,10,".52%"
"2021-05-15",1486,"2021-05-25",5,6,1293,1495,10,".5%"
"2021-05-16",1506,"2021-05-26",5,6,1304,1527,10,".45%"
"2021-05-17",1539,"2021-05-27",5,6,1323,1539,10,".46%"
"2021-05-18",1551,"2021-05-28",5,7,1338,1554,10,".93%"
"2021-05-19",1566,"2021-05-29",5,7,1354,1614,10,".77%"
"2021-05-20",1626,"2021-05-30",5,7,1370,1660,10,".69%"
"2021-05-21",1675,"2021-05-31",6,7,1385,1696,10,".32%"
"2021-05-22",1698,"2021-06-01",6,7,1423,1741,10,".31%"
"2021-05-23",1756,"2021-06-02",6,7,1458,1833,10,".27%"
"2021-05-24",1849,"2021-06-03",6,8,1475,1874,10,".5%"
"2021-05-25",1888,"2021-06-04",6,8,1495,1939,10,".45%"
"2021-05-26",1959,"2021-06-05",6,8,1527,1987,10,".43%"
"2021-05-27",2006,"2021-06-06",6,8,1539,2010,10,".42%"
"2021-05-28",2030,"2021-06-07",7,8,1554,2083,10,".19%"
"2021-05-29",2097,"2021-06-09",7,8,1614,2127,11,".19%"
"2021-05-30",2110,"2021-06-09",7,8,1660,2127,10,".21%"
"2021-05-31",2139,"2021-06-10",7,8,1696,2155,10,".22%"
"2021-06-01",2169,"2021-06-11",7,9,1741,2189,10,".45%"
"2021-06-02",2197,"2021-06-12",7,10,1833,2201,10,".82%"
"2021-06-03",2214,"2021-06-13",8,10,1874,2301,10,".47%"
"2021-06-04",2316,"2021-06-14",8,10,1939,2322,10,".52%"
"2021-06-05",2332,"2021-06-15",8,10,1987,2355,10,".54%"
"2021-06-06",2360,"2021-06-16",8,10,2010,2378,10,".54%"
"2021-06-07",2390,"2021-06-17",8,11,2083,2429,10,".87%"
"2021-06-08",2441,"2021-06-18",8,12,2095,2478,10,"1.04%"
"2021-06-09",2489,"2021-06-19",8,12,2127,2504,10,"1.06%"
"2021-06-10",2516,"2021-06-20",8,12,2155,2547,10,"1.02%"
"2021-06-11",2559,"2021-06-21",9,12,2189,2571,10,".79%"
"2021-06-12",2583,"2021-06-22",10,12,2201,2586,10,".52%"
"2021-06-13",2598,"2021-06-23",10,12,2301,2603,10,".66%"
"2021-06-14",2616,"2021-06-24",10,12,2322,2628,10,".65%"
"2021-06-15",2642,"2021-06-25",10,12,2355,2645,10,".69%"
"2021-06-16",2657,"2021-06-26",10,12,2378,2679,10,".66%"
"2021-06-17",2693,"2021-06-27",11,12,2429,2701,10,".37%"
"2021-06-18",2715,"2021-06-28",12,12,2478,2748,10,"0.%"
"2021-06-19",2742,"2021-06-28",12,12,2504,2748,9,"0.%"
"2021-06-20",2753,"2021-06-29",12,12,2547,2759,9,"0.%"
"2021-06-21",2772,"2021-06-30",12,12,2571,2777,9,"0.%"
"2021-06-22",2787,"2021-07-01",12,13,2586,2793,9,".48%"
"2021-06-23",2806,"2021-07-02",12,13,2603,2810,9,".48%"
"2021-06-24",2819,"2021-07-03",12,13,2628,2823,9,".51%"
"2021-06-25",2828,"2021-07-04",12,13,2645,2832,9,".53%"
"2021-06-26",2857,"2021-07-05",12,14,2679,2860,9,"1.1%"
"2021-06-27",2873,"2021-07-06",12,15,2701,2877,9,"1.7%"
"2021-06-28",2912,"2021-07-08",12,15,2748,2923,10,"1.71%"
"2021-06-29",2931,"2021-07-09",12,16,2759,2932,10,"2.31%"
"2021-06-30",2940,"2021-07-10",12,16,2777,2952,10,"2.29%"
"2021-07-01",2960,"2021-07-11",13,16,2793,2969,10,"1.7%"
"2021-07-02",2977,"2021-07-12",13,16,2810,2999,10,"1.59%"
"2021-07-03",3006,"2021-07-14",13,16,2823,3012,11,"1.59%"
"2021-07-04",3006,"2021-07-14",13,16,2832,3012,10,"1.67%"
"2021-07-05",3020,"2021-07-15",14,16,2860,3035,10,"1.14%"
"2021-07-06",3043,"2021-07-16",15,16,2877,3056,10,".56%"
"2021-07-07",3065,"2021-07-17",15,16,2903,3085,10,".55%"
"2021-07-08",3094,"2021-07-18",15,16,2923,3102,10,".56%"
"2021-07-09",3111,"2021-07-19",16,16,2932,3114,10,"0.%"
"2021-07-10",3123,"2021-07-21",16,16,2952,3145,11,"0.%"
"2021-07-11",3130,"2021-07-21",16,16,2969,3145,10,"0.%"
"2021-07-12",3154,"2021-07-22",16,16,2999,3181,10,"0.%"
"2021-07-13",3190,"2021-07-23",16,17,2999,3215,10,".46%"
"2021-07-14",3222,"2021-07-24",16,18,3012,3240,10,".88%"
"2021-07-15",3247,"2021-07-25",16,18,3035,3258,10,".9%"
"2021-07-16",3265,"2021-07-26",16,18,3056,3277,10,".9%"
"2021-07-17",3284,"2021-07-28",16,20,3085,3300,11,"1.86%"
"2021-07-18",3288,"2021-07-28",16,20,3102,3300,10,"2.02%"
"2021-07-19",3305,"2021-07-29",16,20,3114,3312,10,"2.02%"
"2021-07-20",3318,"2021-07-30",16,20,3122,3326,10,"1.96%"
"2021-07-21",3332,"2021-07-31",16,20,3145,3341,10,"2.04%"
"2021-07-22",3347,"2021-08-01",16,20,3181,3352,10,"2.34%"
"2021-07-23",3358,"2021-08-02",17,20,3215,3363,10,"2.03%"
"2021-07-24",3368,"2021-08-04",18,20,3240,3399,11,"1.26%"
"2021-07-25",3370,"2021-08-04",18,20,3258,3399,10,"1.42%"
