"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-19",34,"2020-08-13",,1,,101,25,"-"
"2020-07-22",49,"2020-08-13",,1,,101,22,"-"
"2020-07-25",51,"2020-08-13",,1,,101,19,"-"
"2020-07-26",52,"2020-08-13",,1,,101,18,"-"
"2020-07-27",52,"2020-08-13",,1,,101,17,"-"
"2020-07-28",55,"2020-08-13",,1,,101,16,"-"
"2020-07-29",56,"2020-08-13",,1,,101,15,"-"
"2020-07-30",57,"2020-08-13",,1,,101,14,"-"
"2020-07-31",71,"2020-08-13",,1,,101,13,"-"
"2020-08-01",81,"2020-08-13",,1,,101,12,"-"
"2020-08-02",84,"2020-08-13",,1,,101,11,"-"
"2020-08-03",98,"2020-08-13",,1,,101,10,"-"
"2020-08-04",102,"2020-08-15",,1,,104,11,"-"
"2020-08-05",114,"2020-08-19",,1,,123,14,"-"
"2020-08-06",114,"2020-08-19",,1,,123,13,"-"
"2020-08-07",135,"2020-08-29",,1,,135,22,"-"
"2020-08-08",138,"2020-09-01",,1,,142,24,"-"
"2020-08-09",143,"2020-09-02",,1,,176,24,"-"
"2020-08-10",149,"2020-09-02",,1,,176,23,"-"
"2020-08-11",155,"2020-09-02",,1,,176,22,"-"
"2020-08-12",162,"2020-09-02",,1,,176,21,"-"
"2020-08-13",174,"2020-09-02",1,1,101,176,20,"0.%"
"2020-08-14",183,"2020-09-06",1,1,101,188,23,"0.%"
"2020-08-15",185,"2020-09-06",1,1,104,188,22,"0.%"
"2020-08-16",188,"2020-09-06",1,1,104,188,21,"0.%"
"2020-08-17",190,"2020-09-07",1,1,104,192,21,"0.%"
"2020-08-18",191,"2020-09-07",1,1,111,192,20,"0.%"
"2020-08-19",194,"2020-09-09",1,1,123,229,21,"0.%"
"2020-08-20",213,"2020-09-09",1,1,124,229,20,"0.%"
"2020-08-21",218,"2020-09-09",1,1,124,229,19,"0.%"
"2020-08-22",220,"2020-09-09",1,1,127,229,18,"0.%"
"2020-08-23",221,"2020-09-09",1,1,128,229,17,"0.%"
"2020-08-24",224,"2020-09-09",1,1,130,229,16,"0.%"
"2020-08-25",240,"2020-09-10",1,1,130,241,16,"0.%"
"2020-08-26",264,"2020-09-15",1,1,131,267,20,"0.%"
"2020-08-27",267,"2020-09-15",1,1,132,267,19,"0.%"
"2020-08-28",275,"2020-09-17",1,1,133,283,20,"0.%"
"2020-08-29",285,"2020-09-19",1,1,135,300,21,"0.%"
"2020-08-30",294,"2020-09-19",1,1,136,300,20,"0.%"
"2020-08-31",298,"2020-09-19",1,1,136,300,19,"0.%"
"2020-09-01",304,"2020-09-20",1,1,142,319,19,"0.%"
"2020-09-02",307,"2020-09-20",1,1,176,319,18,"0.%"
"2020-09-03",313,"2020-09-20",1,1,176,319,17,"0.%"
"2020-09-04",318,"2020-09-20",1,1,177,319,16,"0.%"
"2020-09-05",320,"2020-09-21",1,1,177,359,16,"0.%"
"2020-09-06",327,"2020-09-21",1,1,188,359,15,"0.%"
"2020-09-07",341,"2020-09-21",1,1,192,359,14,"0.%"
"2020-09-08",362,"2020-09-22",1,1,192,374,14,"0.%"
"2020-09-09",373,"2020-09-22",1,1,229,374,13,"0.%"
"2020-09-10",385,"2020-09-24",1,1,241,386,14,"0.%"
"2020-09-11",395,"2020-09-26",1,1,247,405,15,"0.%"
"2020-09-12",401,"2020-09-26",1,1,250,405,14,"0.%"
"2020-09-13",407,"2020-09-27",1,1,255,410,14,"0.%"
"2020-09-14",417,"2020-09-30",1,1,263,418,16,"0.%"
"2020-09-15",422,"2020-10-01",1,1,267,427,16,"0.%"
"2020-09-16",434,"2020-10-03",1,2,270,449,17,".56%"
"2020-09-17",438,"2020-10-03",1,2,283,449,16,".6%"
"2020-09-19",445,"2020-10-03",1,2,300,449,14,".67%"
"2020-09-20",445,"2020-10-03",1,2,319,449,13,".77%"
"2020-09-21",453,"2020-10-04",1,2,359,456,13,"1.03%"
"2020-09-22",461,"2020-10-05",1,3,374,464,13,"2.22%"
"2020-09-23",474,"2020-10-06",1,3,380,485,13,"1.9%"
"2020-09-24",484,"2020-10-06",1,3,386,485,12,"2.02%"
"2020-09-25",490,"2020-10-08",1,3,393,503,13,"1.82%"
"2020-09-26",511,"2020-10-09",1,3,405,516,13,"1.8%"
"2020-09-27",519,"2020-10-10",1,3,410,526,13,"1.72%"
"2020-09-28",531,"2020-10-11",1,3,413,531,13,"1.69%"
"2020-09-29",543,"2020-10-14",1,4,416,546,15,"2.31%"
