"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-11-10",345,"2021-04-27",1,1,315,345,168,"0.%"
"2020-11-12",345,"2021-04-27",1,1,327,345,166,"0.%"
"2020-11-13",345,"2021-04-27",1,1,329,345,165,"0.%"
"2020-11-14",346,"2021-04-29",1,1,333,349,166,"0.%"
"2020-11-15",346,"2021-04-29",1,1,337,349,165,"0.%"
"2020-11-18",346,"2021-04-29",1,1,338,349,162,"0.%"
"2020-11-19",347,"2021-04-29",1,1,338,349,161,"0.%"
"2020-11-20",348,"2021-04-29",1,1,340,349,160,"0.%"
"2020-11-24",348,"2021-04-29",1,1,341,349,156,"0.%"
"2020-11-25",349,"2021-04-29",1,1,341,349,155,"0.%"
"2020-11-28",350,"2021-04-30",1,1,341,354,153,"0.%"
"2020-11-29",350,"2021-04-30",1,1,343,354,152,"0.%"
"2020-11-30",350,"2021-04-30",1,1,344,354,151,"0.%"
"2021-04-17",351,"2021-04-30",1,1,344,354,13,"0.%"
"2021-04-19",355,"2021-05-02",1,1,344,360,13,"0.%"
"2021-04-20",356,"2021-05-02",1,1,344,360,12,"0.%"
"2021-04-22",363,"2021-05-04",1,1,344,368,12,"0.%"
"2021-04-23",366,"2021-05-04",1,1,344,368,11,"0.%"
"2021-04-24",371,"2021-05-06",1,1,344,375,12,"0.%"
"2021-04-26",378,"2021-05-07",1,1,344,389,11,"0.%"
