"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-22",1189,"2021-03-24",4,25,1179,5970,2,".44%"
"2021-03-24",6411,"2021-04-07",25,29,5970,6825,14,".47%"
"2021-03-26",427,"2021-04-02",,4,,954,7,"-"
"2021-03-27",429,"2021-04-02",,4,,954,6,"-"
"2021-04-02",6412,"2021-04-07",25,29,5970,6825,5,".47%"
"2021-04-03",984,"2021-04-05",4,4,954,1179,2,"0.%"
"2021-04-05",1620,"2021-04-06",4,25,1179,5971,1,".44%"
"2021-04-06",7271,"2021-04-10",27,33,6385,7420,4,".58%"
"2021-04-07",8708,"2021-04-15",33,36,7227,9004,8,".17%"
"2021-04-08",7545,"2021-04-10",29,33,6374,8004,2,".25%"
"2021-04-09",6857,"2021-04-10",25,29,5971,7016,1,".38%"
"2021-04-10",8949,"2021-04-15",33,36,8004,9004,5,".3%"
"2021-04-11",7320,"2021-04-13",29,33,6825,7420,2,".67%"
"2021-04-12",7296,"2021-04-13",27,33,6387,7420,1,".58%"
"2021-04-13",8901,"2021-04-15",33,36,7420,9004,2,".19%"
"2021-04-14",7946,"2021-04-15",29,36,7016,8276,1,".56%"
"2021-04-15",10259,"2021-04-19",36,43,9004,10267,4,".55%"
"2021-04-16",9879,"2021-04-19",37,40,8276,9912,3,".18%"
"2021-04-17",10973,"2021-04-22",40,48,9041,11717,5,".3%"
"2021-04-18",10101,"2021-04-19",37,40,9055,10220,1,".26%"
"2021-04-19",12205,"2021-04-24",43,50,10267,12333,5,".34%"
"2021-04-20",11949,"2021-04-24",40,50,10220,12333,4,".47%"
"2021-04-21",11817,"2021-04-23",42,48,9951,11868,2,".31%"
"2021-04-22",13961,"2021-05-10",48,62,11722,14577,18,".49%"
"2021-04-23",14229,"2021-05-10",48,62,11902,14577,17,".52%"
"2021-04-24",15115,"2021-05-11",50,67,12333,15582,17,".52%"
"2021-04-25",11888,"2021-04-27",42,50,9912,12463,2,".31%"
"2021-04-26",14992,"2021-05-11",49,62,11868,15021,15,".41%"
"2021-04-27",15595,"2021-05-11",50,70,12463,15652,14,".63%"
"2021-04-28",16810,"2021-05-20",52,83,12893,16825,22,".79%"
"2021-04-29",16164,"2021-05-17",53,80,12940,16317,18,".8%"
"2021-04-30",16403,"2021-05-18",53,82,12988,16490,18,".83%"
"2021-05-01",16202,"2021-05-17",51,80,12624,16317,16,".79%"
"2021-05-02",14738,"2021-05-11",48,62,11717,15021,9,".42%"
"2021-05-03",17247,"2021-05-22",53,89,13208,17364,19,".87%"
"2021-05-04",17920,"2021-05-25",54,98,13459,18335,21,".9%"
"2021-05-05",17852,"2021-05-25",53,98,13413,18335,20,".91%"
"2021-05-06",18399,"2021-05-26",56,101,13876,18522,20,".97%"
"2021-05-07",18115,"2021-05-25",54,98,13659,18335,18,".94%"
"2021-05-08",18721,"2021-05-27",54,104,13773,18865,19,".98%"
"2021-05-09",17380,"2021-05-23",52,91,13389,17815,14,".88%"
"2021-05-10",19543,"2021-05-30",62,110,14577,19788,20,".92%"
"2021-05-11",19830,"2021-05-31",70,110,15652,20108,20,".9%"
"2021-05-12",19140,"2021-05-29",62,107,15021,19189,17,"1.08%"
"2021-05-13",19311,"2021-05-30",67,110,15582,19788,17,"1.02%"
"2021-05-14",20341,"2021-06-02",71,112,15668,20579,19,".83%"
"2021-05-15",20404,"2021-06-02",72,112,15843,20579,18,".84%"
"2021-05-16",20317,"2021-06-02",72,112,16006,20579,17,".87%"
"2021-05-17",20912,"2021-06-03",80,114,16317,21000,17,".73%"
"2021-05-18",21241,"2021-06-04",82,116,16490,21375,17,".7%"
"2021-05-19",21064,"2021-06-04",83,116,16628,21375,16,".7%"
"2021-05-20",21721,"2021-06-06",83,116,16825,22095,17,".63%"
"2021-05-21",22287,"2021-06-07",86,120,17021,22561,17,".61%"
"2021-05-22",22132,"2021-06-07",89,116,17364,22206,16,".56%"
"2021-05-23",22682,"2021-06-09",91,122,17837,23071,17,".59%"
"2021-05-24",23235,"2021-06-10",94,128,17815,23397,17,".61%"
"2021-05-25",23760,"2021-06-12",98,138,18335,24070,18,".7%"
"2021-05-26",24039,"2021-06-12",101,138,18522,24070,17,".67%"
"2021-05-27",24944,"2021-06-15",104,150,18865,25042,19,".74%"
"2021-05-28",24927,"2021-06-15",104,150,18662,25042,18,".72%"
