"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-06",83,"2020-07-19",,1,,337,43,"-"
"2020-06-07",83,"2020-07-19",,1,,337,42,"-"
"2020-06-08",90,"2020-07-19",,1,,337,41,"-"
"2020-06-09",91,"2020-07-19",,1,,337,40,"-"
"2020-06-14",92,"2020-07-19",,1,,337,35,"-"
"2020-06-17",96,"2020-07-19",,1,,337,32,"-"
"2020-06-18",99,"2020-07-19",,1,,337,31,"-"
"2020-07-13",352,"2020-07-26",,1,,800,13,"-"
"2020-07-19",677,"2020-07-26",1,1,337,800,7,"0.%"
"2020-07-24",781,"2020-07-26",1,1,337,800,2,"0.%"
"2020-07-26",1183,"2020-08-04",1,4,800,1502,9,".43%"
"2020-07-29",1183,"2020-08-04",2,4,801,1502,6,".29%"
"2020-07-31",1323,"2020-08-04",2,4,801,1502,4,".29%"
"2020-08-01",1323,"2020-08-04",4,4,803,1502,3,"0.%"
