"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-05-28",6,"2020-07-13",,0,,157,46,"-"
"2020-05-29",5,"2020-07-13",,0,,157,45,"-"
"2020-05-30",18,"2020-07-13",,0,,157,44,"-"
"2020-06-01",32,"2020-07-13",,0,,157,42,"-"
"2020-06-03",42,"2020-07-13",,0,,157,40,"-"
"2020-06-05",42,"2020-07-13",,0,,157,38,"-"
"2020-06-06",50,"2020-07-13",,0,,157,37,"-"
"2020-06-07",50,"2020-07-13",,0,,157,36,"-"
"2020-06-08",52,"2020-07-13",,0,,157,35,"-"
"2020-06-09",55,"2020-07-13",,0,,157,34,"-"
"2020-06-11",56,"2020-07-13",,0,,157,32,"-"
"2020-06-15",57,"2020-07-13",,0,,157,28,"-"
"2020-06-17",63,"2020-07-13",,0,,157,26,"-"
"2020-06-18",72,"2020-07-13",,0,,157,25,"-"
"2020-06-25",77,"2020-07-13",,0,,157,18,"-"
"2020-07-13",334,"2020-07-26",1,2,157,552,13,".25%"
"2020-07-19",619,"2020-08-04",0,7,206,1493,16,".54%"
"2020-07-21",619,"2020-08-04",1,7,207,1493,14,".47%"
"2020-07-26",1146,"2020-08-04",2,7,552,1493,9,".53%"
"2020-07-27",1146,"2020-08-04",3,7,553,1493,8,".43%"
"2020-07-31",1263,"2020-08-04",4,7,554,1493,4,".32%"
"2020-08-01",1399,"2020-08-04",4,7,554,1493,3,".32%"
"2020-08-03",1681,"2020-08-12",5,17,555,2426,9,".64%"
"2020-08-04",1996,"2020-08-12",7,17,1493,2426,8,"1.07%"
"2020-08-05",2173,"2020-08-12",8,17,1494,2426,7,".97%"
"2020-08-06",2301,"2020-08-12",9,17,1495,2426,6,".86%"
"2020-08-07",2301,"2020-08-12",10,17,1496,2426,5,".75%"
"2020-08-08",2443,"2020-08-24",11,34,1497,2443,16,"2.43%"
"2020-08-09",2443,"2020-08-24",12,34,1498,2443,15,"2.33%"
