"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-30",153,"2020-07-19",,3,,308,19,"-"
"2020-07-12",153,"2020-07-19",1,3,55,308,7,".79%"
"2020-07-13",236,"2020-07-19",1,3,111,308,6,"1.02%"
"2020-07-18",236,"2020-07-19",2,3,112,308,1,".51%"
"2020-07-19",806,"2020-08-04",3,10,308,1579,16,".55%"
"2020-07-22",806,"2020-08-04",4,10,309,1579,13,".47%"
"2020-07-26",1416,"2020-08-04",4,10,695,1579,9,".68%"
"2020-07-27",1416,"2020-08-04",5,10,696,1579,8,".57%"
"2020-07-29",1416,"2020-08-04",7,10,698,1579,6,".34%"
"2020-07-31",1521,"2020-08-04",8,10,699,1579,4,".23%"
"2020-08-02",1521,"2020-08-04",9,10,700,1579,2,".11%"
