"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-07",215,"2020-07-26",1,5,21,322,19,"1.33%"
"2020-07-13",215,"2020-07-26",2,5,64,322,13,"1.16%"
"2020-07-19",215,"2020-07-26",3,5,155,322,7,"1.2%"
"2020-07-21",215,"2020-07-26",5,5,157,322,5,"0.%"
"2020-07-26",474,"2020-08-04",5,5,322,1012,9,"0.%"
"2020-07-28",695,"2020-08-04",5,5,322,1012,7,"0.%"
"2020-07-29",822,"2020-08-04",5,5,322,1012,6,"0.%"
"2020-07-30",1032,"2020-08-12",5,8,322,2081,13,".17%"
"2020-07-31",1234,"2020-08-12",5,8,322,2081,12,".17%"
"2020-08-03",1426,"2020-08-12",5,8,322,2081,9,".17%"
"2020-08-04",1720,"2020-08-12",5,8,1012,2081,8,".28%"
"2020-08-05",1843,"2020-08-12",5,8,1012,2081,7,".28%"
