"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-05-29",12,"2020-07-09",,1,,185,41,"-"
"2020-05-31",19,"2020-07-09",,1,,185,39,"-"
"2020-06-01",24,"2020-07-09",,1,,185,38,"-"
"2020-06-03",26,"2020-07-09",,1,,185,36,"-"
"2020-06-04",62,"2020-07-09",,1,,185,35,"-"
"2020-06-05",65,"2020-07-09",,1,,185,34,"-"
"2020-06-07",65,"2020-07-09",,1,,185,32,"-"
"2020-06-09",85,"2020-07-09",,1,,185,30,"-"
"2020-06-14",89,"2020-07-09",,1,,185,25,"-"
"2020-06-16",92,"2020-07-09",,1,,185,23,"-"
"2020-06-17",94,"2020-07-09",,1,,185,22,"-"
"2020-06-18",100,"2020-07-09",,1,,185,21,"-"
"2020-06-21",105,"2020-07-09",,1,,185,18,"-"
"2020-07-08",105,"2020-07-09",1,1,3,185,1,"0.%"
"2020-07-09",227,"2020-07-19",1,1,185,227,10,"0.%"
"2020-07-10",234,"2020-07-26",1,1,198,262,16,"0.%"
"2020-07-12",236,"2020-07-26",1,1,211,262,14,"0.%"
"2020-07-19",273,"2020-08-04",1,1,227,418,16,"0.%"
"2020-07-26",370,"2020-08-04",1,1,262,418,9,"0.%"
"2020-08-04",509,"2020-08-12",1,1,418,667,8,"0.%"
