"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-11-14",6748,"2020-11-24",19,21,6570,6759,10,"1.06%"
"2020-11-15",6749,"2020-11-24",20,21,6593,6759,9,".6%"
"2020-11-16",6768,"2020-11-26",21,21,6609,6768,10,"0.%"
"2020-11-17",6776,"2020-11-27",21,21,6641,6786,10,"0.%"
"2020-11-18",6786,"2020-11-27",21,21,6657,6786,9,"0.%"
"2020-11-19",6800,"2020-11-28",21,21,6666,6808,9,"0.%"
"2020-11-20",6810,"2020-11-29",21,21,6687,6827,9,"0.%"
"2020-11-21",6816,"2020-11-29",21,21,6695,6827,8,"0.%"
"2020-11-22",6835,"2020-11-30",21,22,6726,6847,8,".83%"
"2020-11-23",6841,"2020-11-30",21,22,6743,6847,7,".96%"
"2020-11-24",6844,"2020-11-30",21,22,6759,6847,6,"1.14%"
"2020-11-25",6854,"2020-12-01",21,22,6763,6860,6,"1.03%"
"2020-11-26",6881,"2021-01-01",21,22,6768,6886,36,".85%"
"2020-11-27",6906,"2021-01-04",21,22,6786,6906,38,".83%"
"2020-11-28",6925,"2021-01-08",21,22,6808,6925,41,".85%"
"2020-11-29",6937,"2021-01-13",21,22,6827,6941,45,".88%"
"2020-11-30",6945,"2021-01-16",22,22,6847,6945,47,"0.%"
"2020-12-01",6950,"2021-01-19",22,22,6860,6953,49,"0.%"
"2020-12-26",6963,"2021-01-28",22,22,6862,6981,33,"0.%"
"2020-12-27",6968,"2021-01-28",22,22,6863,6981,32,"0.%"
"2020-12-28",6969,"2021-01-28",22,22,6873,6981,31,"0.%"
"2020-12-29",6977,"2021-01-28",22,22,6873,6981,30,"0.%"
"2020-12-30",6980,"2021-01-28",22,22,6874,6981,29,"0.%"
"2020-12-31",6986,"2021-01-29",22,22,6877,6991,29,"0.%"
"2021-01-01",6990,"2021-01-29",22,22,6886,6991,28,"0.%"
"2021-01-02",6990,"2021-01-29",22,22,6897,6991,27,"0.%"
"2021-01-03",6994,"2021-01-30",22,22,6903,7003,27,"0.%"
"2021-01-04",6994,"2021-01-30",22,22,6906,7003,26,"0.%"
"2021-01-06",7000,"2021-01-30",22,22,6914,7003,24,"0.%"
"2021-01-07",7002,"2021-01-30",22,22,6916,7003,23,"0.%"
"2021-01-08",7008,"2021-02-02",22,22,6925,7009,25,"0.%"
"2021-01-09",7010,"2021-02-03",22,22,6930,7010,25,"0.%"
"2021-01-11",7015,"2021-02-09",22,22,6934,7017,29,"0.%"
"2021-01-12",7016,"2021-02-09",22,22,6934,7017,28,"0.%"
"2021-01-13",7017,"2021-02-09",22,22,6941,7017,27,"0.%"
"2021-01-14",7018,"2021-02-16",22,22,6941,7019,33,"0.%"
"2021-01-15",7024,"2021-02-25",22,22,6941,7024,41,"0.%"
"2021-01-16",7034,"2021-03-09",22,22,6945,7034,52,"0.%"
"2021-01-17",7034,"2021-03-09",22,22,6947,7034,51,"0.%"
"2021-01-18",7036,"2021-03-19",22,22,6947,7036,60,"0.%"
"2021-01-19",7036,"2021-03-19",22,22,6953,7036,59,"0.%"
"2021-01-21",7042,"2021-03-24",22,22,6958,7044,62,"0.%"
"2021-01-22",7055,"2021-04-02",22,22,6958,7058,70,"0.%"
"2021-01-23",7056,"2021-04-02",22,22,6960,7058,69,"0.%"
"2021-01-25",7059,"2021-04-03",22,22,6960,7090,68,"0.%"
"2021-01-26",7062,"2021-04-03",22,22,6960,7090,67,"0.%"
"2021-01-27",7062,"2021-04-03",22,22,6958,7090,66,"0.%"
"2021-01-28",7063,"2021-04-03",22,22,6981,7090,65,"0.%"
"2021-01-29",7069,"2021-04-03",22,22,6991,7090,64,"0.%"
"2021-01-30",7070,"2021-04-03",22,22,7003,7090,63,"0.%"
"2021-02-01",7070,"2021-04-03",22,22,7004,7090,61,"0.%"
"2021-02-02",7072,"2021-04-03",22,22,7009,7090,60,"0.%"
"2021-02-03",7072,"2021-04-03",22,22,7010,7090,59,"0.%"
"2021-02-05",7072,"2021-04-03",22,22,7013,7090,57,"0.%"
"2021-02-08",7072,"2021-04-03",22,22,7014,7090,54,"0.%"
"2021-02-09",7075,"2021-04-03",22,22,7017,7090,53,"0.%"
"2021-02-14",7077,"2021-04-03",22,22,7017,7090,48,"0.%"
"2021-02-16",7080,"2021-04-03",22,22,7019,7090,46,"0.%"
"2021-02-17",7081,"2021-04-03",22,22,7019,7090,45,"0.%"
"2021-02-18",7082,"2021-04-03",22,22,7019,7090,44,"0.%"
"2021-02-21",7083,"2021-04-03",22,22,7019,7090,41,"0.%"
"2021-02-24",7086,"2021-04-03",22,22,7019,7090,38,"0.%"
"2021-02-25",7088,"2021-04-03",22,22,7024,7090,37,"0.%"
"2021-02-27",7089,"2021-04-03",22,22,7025,7090,35,"0.%"
"2021-03-02",7090,"2021-04-03",22,22,7025,7090,32,"0.%"
"2021-03-07",7090,"2021-04-03",22,22,7032,7090,27,"0.%"
"2021-03-08",7090,"2021-04-03",22,22,7033,7090,26,"0.%"
"2021-03-09",7090,"2021-04-03",22,22,7034,7090,25,"0.%"
"2021-03-10",7091,"2021-04-04",22,22,7034,7114,25,"0.%"
"2021-03-18",7092,"2021-04-04",22,22,7034,7114,17,"0.%"
"2021-03-19",7095,"2021-04-04",22,22,7036,7114,16,"0.%"
"2021-03-20",7095,"2021-04-04",22,22,7037,7114,15,"0.%"
"2021-03-21",7101,"2021-04-04",22,22,7038,7114,14,"0.%"
"2021-03-22",7103,"2021-04-04",22,22,7038,7114,13,"0.%"
"2021-03-24",7113,"2021-04-04",22,22,7044,7114,11,"0.%"
"2021-03-25",7163,"2021-04-12",22,22,7044,7173,18,"0.%"
"2021-03-27",7166,"2021-04-12",22,22,7044,7173,16,"0.%"
"2021-03-28",7184,"2021-04-13",22,23,7044,7185,16,".71%"
"2021-03-29",7188,"2021-04-15",22,23,7046,7188,17,".7%"
"2021-03-30",7188,"2021-04-15",22,23,7048,7188,16,".71%"
"2021-03-31",7194,"2021-04-16",22,23,7053,7214,16,".62%"
"2021-04-01",7196,"2021-04-16",22,23,7054,7214,15,".62%"
"2021-04-02",7204,"2021-04-16",22,23,7058,7214,14,".64%"
"2021-04-03",7207,"2021-04-16",22,23,7090,7214,13,".81%"
"2021-04-04",7214,"2021-04-16",22,23,7114,7214,12,"1.%"
"2021-04-05",7220,"2021-04-17",22,23,7125,7245,12,".83%"
"2021-04-06",7232,"2021-04-17",22,23,7136,7245,11,".92%"
"2021-04-07",7238,"2021-04-17",22,23,7137,7245,10,".93%"
"2021-04-08",7280,"2021-04-18",22,23,7144,7290,10,".68%"
"2021-04-09",7305,"2021-04-19",22,23,7144,7314,10,".59%"
"2021-04-10",7332,"2021-04-20",22,23,7149,7339,10,".53%"
"2021-04-11",7354,"2021-04-21",22,24,7157,7386,10,".87%"
"2021-04-12",7384,"2021-04-21",22,24,7173,7386,9,".94%"
"2021-04-13",7426,"2021-04-22",23,24,7185,7472,9,".35%"
"2021-04-14",7459,"2021-04-22",23,24,7186,7472,8,".35%"
"2021-04-15",7509,"2021-04-24",23,25,7188,7513,9,".62%"
"2021-04-16",7565,"2021-04-25",23,26,7214,7579,9,".82%"
"2021-04-17",7636,"2021-04-26",23,26,7245,7649,9,".74%"
"2021-04-18",7695,"2021-04-27",23,26,7290,7746,9,".66%"
"2021-04-19",7738,"2021-04-27",23,26,7314,7746,8,".69%"
"2021-04-20",7827,"2021-04-29",23,26,7339,7855,9,".58%"
"2021-04-21",7924,"2021-04-30",24,27,7386,8001,9,".49%"
"2021-04-22",8070,"2021-05-01",24,27,7472,8100,9,".48%"
"2021-04-23",8188,"2021-05-02",24,27,7480,8220,9,".41%"
"2021-04-24",8329,"2021-05-03",25,27,7513,8332,9,".24%"
"2021-04-25",8440,"2021-05-04",26,27,7579,8540,9,".1%"
"2021-04-26",8540,"2021-05-04",26,27,7649,8540,8,".11%"
"2021-04-27",8712,"2021-05-07",26,29,7746,8869,10,".27%"
"2021-04-28",8832,"2021-05-07",26,29,7799,8869,9,".28%"
"2021-04-29",8993,"2021-05-08",26,32,7855,9058,9,".5%"
"2021-04-30",9212,"2021-05-09",27,32,8001,9259,9,".4%"
"2021-05-01",9448,"2021-05-11",27,35,8100,9741,10,".49%"
"2021-05-02",9666,"2021-05-11",27,35,8220,9741,9,".53%"
