"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-01",226,"2020-07-11",2,4,158,252,10,"2.13%"
"2020-07-02",239,"2020-07-11",3,4,159,252,9,"1.08%"
"2020-07-03",246,"2020-07-11",3,4,159,252,8,"1.08%"
"2020-07-04",266,"2020-07-12",3,4,161,297,8,".74%"
"2020-07-05",269,"2020-07-12",3,4,192,297,7,".95%"
"2020-07-06",274,"2020-07-12",3,4,194,297,6,".97%"
"2020-07-07",281,"2020-07-12",3,4,203,297,5,"1.06%"
"2020-07-08",283,"2020-07-12",3,4,210,297,4,"1.15%"
"2020-07-09",285,"2020-07-12",3,4,219,297,3,"1.28%"
"2020-07-10",285,"2020-07-12",3,4,225,297,2,"1.39%"
"2020-07-11",292,"2020-07-12",4,4,252,297,1,"0.%"
"2020-07-12",332,"2020-07-15",4,4,297,341,3,"0.%"
"2020-07-13",365,"2020-07-18",4,4,317,369,5,"0.%"
"2020-07-14",411,"2020-07-21",4,7,322,445,7,"2.44%"
"2020-07-15",425,"2020-07-21",4,7,341,445,6,"2.88%"
"2020-07-16",479,"2020-07-22",4,7,346,510,6,"1.83%"
"2020-07-17",534,"2020-07-25",4,7,362,599,8,"1.27%"
"2020-07-18",584,"2020-07-25",4,7,369,599,7,"1.3%"
"2020-07-19",670,"2020-07-26",4,7,371,688,7,".95%"
"2020-07-20",746,"2020-07-28",5,7,376,764,8,".52%"
"2020-07-21",777,"2020-07-29",7,7,445,870,8,"0.%"
"2020-07-22",799,"2020-07-29",7,7,510,870,7,"0.%"
"2020-07-23",829,"2020-07-29",7,7,514,870,6,"0.%"
"2020-07-24",863,"2020-07-29",7,7,527,870,5,"0.%"
"2020-07-25",980,"2020-07-30",7,11,599,1018,5,".95%"
"2020-07-26",1082,"2020-08-01",7,12,688,1114,6,"1.17%"
"2020-07-27",1159,"2020-08-03",7,12,727,1197,7,"1.06%"
"2020-07-28",1245,"2020-08-05",7,14,764,1297,8,"1.31%"
"2020-07-29",1406,"2020-08-08",7,16,870,1449,10,"1.55%"
"2020-07-30",1482,"2020-08-09",11,16,1018,1524,10,".99%"
"2020-07-31",1564,"2020-08-10",12,16,1055,1589,10,".75%"
"2020-08-01",1616,"2020-08-11",12,17,1114,1655,10,".92%"
"2020-08-02",1666,"2020-08-12",12,18,1152,1672,10,"1.15%"
"2020-08-03",1750,"2020-08-13",12,18,1197,1795,10,"1.%"
"2020-08-04",1813,"2020-08-14",13,18,1232,1867,10,".79%"
"2020-08-05",1903,"2020-08-15",14,19,1297,1962,10,".75%"
"2020-08-06",1993,"2020-08-16",14,20,1333,2041,10,".85%"
"2020-08-07",2068,"2020-08-17",15,20,1382,2127,10,".67%"
"2020-08-08",2187,"2020-08-18",16,21,1449,2233,10,".64%"
"2020-08-09",2296,"2020-08-19",16,21,1524,2337,10,".62%"
"2020-08-10",2379,"2020-08-20",16,21,1589,2433,10,".59%"
"2020-08-11",2457,"2020-08-21",17,21,1655,2578,10,".43%"
"2020-08-12",2552,"2020-08-21",18,21,1672,2578,9,".33%"
"2020-08-13",2624,"2020-08-23",18,21,1795,2661,10,".35%"
"2020-08-14",2705,"2020-08-24",18,22,1867,2758,10,".45%"
"2020-08-15",2776,"2020-08-25",19,24,1962,2822,10,".58%"
"2020-08-16",2828,"2020-08-26",20,24,2041,2880,10,".48%"
"2020-08-17",2866,"2020-08-26",20,24,2127,2880,9,".53%"
"2020-08-18",2932,"2020-08-28",21,24,2233,2985,10,".4%"
"2020-08-19",2990,"2020-08-29",21,24,2337,3041,10,".43%"
"2020-08-20",3051,"2020-08-30",21,24,2433,3108,10,".44%"
"2020-08-21",3076,"2020-08-30",21,24,2578,3108,9,".57%"
"2020-08-22",3144,"2020-08-31",21,25,2599,3165,9,".71%"
"2020-08-23",3215,"2020-09-02",21,25,2661,3260,10,".67%"
"2020-08-24",3264,"2020-09-03",22,26,2758,3312,10,".72%"
"2020-08-25",3284,"2020-09-03",24,26,2822,3312,9,".41%"
"2020-08-26",3340,"2020-09-04",24,27,2880,3357,9,".63%"
"2020-08-27",3369,"2020-09-05",24,27,2927,3390,9,".65%"
"2020-08-28",3400,"2020-09-06",24,28,2985,3437,9,".88%"
"2020-08-29",3425,"2020-09-06",24,28,3041,3437,8,"1.01%"
"2020-08-30",3504,"2020-09-08",24,28,3108,3539,9,".93%"
"2020-08-31",3547,"2020-09-09",25,28,3165,3581,9,".72%"
"2020-09-01",3568,"2020-09-09",25,28,3193,3581,8,".77%"
"2020-09-02",3622,"2020-09-11",25,29,3260,3636,9,"1.06%"
"2020-09-03",3636,"2020-09-11",26,29,3312,3636,8,".93%"
"2020-09-04",3666,"2020-09-13",27,29,3357,3684,9,".61%"
"2020-09-05",3685,"2020-09-14",27,29,3390,3712,9,".62%"
"2020-09-06",3711,"2020-09-14",28,29,3437,3712,8,".36%"
"2020-09-07",3732,"2020-09-15",28,29,3490,3743,8,".4%"
