"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-02-09",3926,"2021-02-27",19,19,3923,3926,18,"0.%"
"2021-02-17",3926,"2021-02-27",19,19,3925,3926,10,"0.%"
"2021-02-25",3927,"2021-03-11",19,19,3925,3927,14,"0.%"
"2021-02-27",3927,"2021-03-11",19,19,3926,3927,12,"0.%"
"2021-03-06",3928,"2021-03-19",19,19,3926,3928,13,"0.%"
"2021-03-11",3928,"2021-03-19",19,19,3927,3928,8,"0.%"
"2021-03-16",3929,"2021-03-24",19,19,3927,3929,8,"0.%"
"2021-03-19",3929,"2021-03-24",19,19,3928,3929,5,"0.%"
"2021-03-23",3930,"2021-03-26",19,19,3928,3932,3,"0.%"
"2021-03-24",3932,"2021-03-26",19,19,3929,3932,2,"0.%"
"2021-03-25",3934,"2021-03-29",19,19,3929,3937,4,"0.%"
"2021-03-26",3936,"2021-03-29",19,19,3932,3937,3,"0.%"
"2021-03-27",3937,"2021-03-29",19,19,3932,3937,2,"0.%"
"2021-03-28",3942,"2021-04-03",19,19,3932,3942,6,"0.%"
"2021-03-29",3943,"2021-04-05",19,19,3937,3947,7,"0.%"
"2021-03-31",3954,"2021-04-07",19,19,3937,3955,7,"0.%"
"2021-04-01",3956,"2021-04-08",19,19,3937,3959,7,"0.%"
"2021-04-02",3963,"2021-04-09",19,19,3937,3969,7,"0.%"
"2021-04-03",3967,"2021-04-09",19,19,3942,3969,6,"0.%"
"2021-04-04",3974,"2021-04-12",19,19,3942,3985,8,"0.%"
"2021-04-05",3980,"2021-04-12",19,19,3947,3985,7,"0.%"
"2021-04-06",3994,"2021-04-13",19,19,3952,4007,7,"0.%"
"2021-04-07",3998,"2021-04-13",19,19,3955,4007,6,"0.%"
"2021-04-08",4009,"2021-04-14",19,19,3959,4034,6,"0.%"
"2021-04-09",4034,"2021-04-14",19,19,3969,4034,5,"0.%"
"2021-04-10",4065,"2021-04-18",19,19,3972,4174,8,"0.%"
"2021-04-11",4095,"2021-04-18",19,19,3972,4174,7,"0.%"
"2021-04-12",4157,"2021-04-18",19,19,3985,4174,6,"0.%"
"2021-04-13",4268,"2021-04-23",19,20,4007,4382,10,".27%"
"2021-04-14",4365,"2021-04-23",19,20,4034,4382,9,".29%"
"2021-04-15",4447,"2021-04-24",19,22,4034,4491,9,".66%"
"2021-04-16",4476,"2021-04-24",19,22,4061,4491,8,".7%"
"2021-04-17",4579,"2021-04-26",19,22,4061,4684,9,".48%"
"2021-04-18",4806,"2021-04-27",19,22,4174,4871,9,".43%"
"2021-04-19",4886,"2021-04-28",19,23,4174,5076,9,".44%"
"2021-04-20",5123,"2021-04-29",19,24,4174,5160,9,".51%"
"2021-04-21",5286,"2021-04-30",20,24,4192,5338,9,".35%"
"2021-04-22",5417,"2021-05-01",20,24,4200,5456,9,".32%"
"2021-04-23",5611,"2021-05-03",20,24,4382,5719,10,".3%"
"2021-04-24",5782,"2021-05-04",22,24,4491,5932,10,".14%"
