"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-20",4150,"2021-04-07",39,39,4082,4153,18,"0.%"
"2021-03-21",4151,"2021-04-07",39,39,4082,4153,17,"0.%"
"2021-03-22",4153,"2021-04-07",39,39,4082,4153,16,"0.%"
"2021-03-24",4156,"2021-04-08",39,40,4087,4167,15,"1.25%"
"2021-03-25",4159,"2021-04-08",39,40,4087,4167,14,"1.25%"
"2021-03-26",4161,"2021-04-08",39,40,4087,4167,13,"1.25%"
"2021-03-27",4163,"2021-04-08",39,40,4087,4167,12,"1.25%"
"2021-03-28",4167,"2021-04-08",39,40,4091,4167,11,"1.32%"
"2021-03-29",4172,"2021-04-09",39,40,4097,4180,11,"1.2%"
"2021-03-30",4174,"2021-04-09",39,40,4099,4180,10,"1.23%"
"2021-03-31",4178,"2021-04-09",39,40,4105,4180,9,"1.33%"
"2021-04-01",4183,"2021-04-10",39,40,4118,4203,9,"1.18%"
"2021-04-02",4189,"2021-04-10",39,40,4121,4203,8,"1.22%"
"2021-04-03",4196,"2021-04-10",39,40,4127,4203,7,"1.32%"
"2021-04-04",4213,"2021-04-11",39,40,4128,4225,7,"1.03%"
"2021-04-05",4223,"2021-04-11",39,40,4138,4225,6,"1.15%"
"2021-04-06",4250,"2021-04-14",39,41,4142,4264,8,"1.64%"
"2021-04-07",4264,"2021-04-14",39,41,4153,4264,7,"1.8%"
"2021-04-08",4279,"2021-04-16",40,43,4167,4295,8,"2.34%"
"2021-04-09",4303,"2021-04-19",40,51,4180,4360,10,"6.11%"
"2021-04-10",4353,"2021-04-19",40,51,4203,4360,9,"7.01%"
"2021-04-11",4388,"2021-04-22",40,61,4225,4405,11,"11.67%"
"2021-04-12",4413,"2021-04-23",40,64,4232,4426,11,"12.37%"
"2021-04-13",4436,"2021-04-24",40,65,4242,4444,11,"12.38%"
"2021-04-14",4460,"2021-04-26",41,75,4264,4479,12,"15.81%"
"2021-04-15",4493,"2021-04-27",43,81,4272,4540,12,"14.18%"
"2021-04-16",4549,"2021-04-28",43,85,4295,4611,12,"13.29%"
"2021-04-17",4609,"2021-04-28",46,85,4298,4611,11,"12.46%"
"2021-04-18",4668,"2021-04-29",48,89,4300,4674,11,"10.96%"
"2021-04-19",4742,"2021-04-30",51,93,4360,4783,11,"9.93%"
"2021-04-20",4823,"2021-05-01",53,95,4362,4933,11,"7.36%"
"2021-04-21",4929,"2021-05-01",57,95,4371,4933,10,"6.76%"
"2021-04-22",5041,"2021-05-03",61,102,4405,5200,11,"5.16%"
"2021-04-23",5139,"2021-05-03",64,102,4426,5200,10,"4.91%"
"2021-04-24",5276,"2021-05-04",65,110,4444,5371,10,"4.85%"
"2021-04-25",5426,"2021-05-05",68,112,4458,5465,10,"4.37%"
"2021-04-26",5511,"2021-05-06",75,118,4479,5583,10,"3.89%"
"2021-04-27",5688,"2021-05-07",81,121,4540,5731,10,"3.36%"
"2021-04-28",5828,"2021-05-08",85,125,4611,5901,10,"3.1%"
"2021-04-29",5944,"2021-05-09",89,127,4674,6077,10,"2.71%"
"2021-04-30",6157,"2021-05-10",93,131,4783,6272,10,"2.55%"
"2021-05-01",6384,"2021-05-11",95,134,4933,6411,10,"2.64%"
"2021-05-02",6509,"2021-05-12",100,138,5035,6587,10,"2.45%"
"2021-05-03",6648,"2021-05-13",102,141,5200,6726,10,"2.56%"
"2021-05-04",6938,"2021-05-14",110,144,5371,6972,10,"2.12%"
"2021-05-05",7103,"2021-05-15",112,146,5465,7131,10,"2.04%"
"2021-05-06",7279,"2021-05-16",118,149,5583,7493,10,"1.62%"
"2021-05-07",7458,"2021-05-16",121,149,5731,7493,9,"1.59%"
"2021-05-08",7608,"2021-05-19",125,157,5901,7735,11,"1.74%"
"2021-05-09",7729,"2021-05-19",127,157,6077,7735,10,"1.81%"
"2021-05-10",7883,"2021-05-20",131,159,6272,7898,10,"1.72%"
"2021-05-11",7999,"2021-05-21",134,162,6411,8342,10,"1.45%"
"2021-05-12",8138,"2021-05-21",138,162,6587,8342,9,"1.37%"
"2021-05-13",8239,"2021-05-21",141,162,6726,8342,8,"1.3%"
"2021-05-14",8354,"2021-05-22",144,164,6972,8507,8,"1.3%"
"2021-05-15",8445,"2021-05-22",146,164,7131,8507,7,"1.31%"
"2021-05-16",8572,"2021-05-23",149,168,7493,8664,7,"1.62%"
"2021-05-17",8678,"2021-05-24",152,169,7518,8792,7,"1.33%"
"2021-05-18",8786,"2021-05-24",154,169,7561,8792,6,"1.22%"
"2021-05-19",8881,"2021-05-25",157,171,7735,8950,6,"1.15%"
