"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-10-17",4728,"2020-10-25",3,7,4473,4844,8,"1.08%"
"2020-10-18",4755,"2020-10-25",3,7,4509,4844,7,"1.19%"
"2020-10-19",4774,"2020-10-25",3,7,4525,4844,6,"1.25%"
"2020-10-20",4811,"2020-10-25",5,7,4547,4844,5,".67%"
"2020-10-21",4822,"2020-10-25",5,7,4574,4844,4,".74%"
"2020-10-22",4860,"2020-10-26",6,7,4590,4920,4,".3%"
"2020-10-23",4904,"2020-10-26",6,7,4701,4920,3,".46%"
"2020-10-24",5053,"2020-11-02",7,7,4708,5076,9,"0.%"
"2020-10-25",5060,"2020-11-02",7,7,4844,5076,8,"0.%"
"2020-10-26",5071,"2020-11-02",7,7,4920,5076,7,"0.%"
"2020-10-27",5087,"2020-11-03",7,7,4955,5099,7,"0.%"
"2020-10-28",5105,"2020-11-04",7,8,4978,5136,7,".63%"
"2020-10-29",5114,"2020-11-04",7,8,5006,5136,6,".77%"
"2020-10-30",5126,"2020-11-04",7,8,5006,5136,5,".77%"
"2020-10-31",5146,"2020-11-11",7,13,5038,5146,11,"5.56%"
"2020-11-01",5158,"2020-11-19",7,13,5043,5268,18,"2.67%"
"2020-11-02",5163,"2020-11-19",7,13,5076,5268,17,"3.12%"
"2020-11-03",5172,"2020-11-19",7,13,5099,5268,16,"3.55%"
"2020-11-04",5179,"2020-11-19",8,13,5136,5268,15,"3.79%"
"2020-11-05",5187,"2020-11-19",9,13,5137,5268,14,"3.05%"
"2020-11-06",5201,"2020-11-19",9,13,5140,5268,13,"3.12%"
"2020-11-07",5218,"2020-11-19",11,13,5142,5268,12,"1.59%"
"2020-11-08",5227,"2020-11-19",11,13,5142,5268,11,"1.59%"
"2020-11-09",5238,"2020-11-19",11,13,5143,5268,10,"1.6%"
"2020-11-10",5242,"2020-11-19",12,13,5145,5268,9,".81%"
"2020-11-11",5243,"2020-11-19",13,13,5146,5268,8,"0.%"
"2020-11-12",5256,"2020-11-19",13,13,5146,5268,7,"0.%"
"2020-11-13",5270,"2020-11-22",13,13,5147,5271,9,"0.%"
"2020-11-14",5290,"2020-11-26",13,13,5147,5322,12,"0.%"
"2020-11-15",5290,"2020-11-26",13,13,5148,5322,11,"0.%"
"2020-11-16",5294,"2020-11-26",13,13,5153,5322,10,"0.%"
"2020-11-17",5301,"2020-11-26",13,13,5155,5322,9,"0.%"
"2020-11-18",5319,"2020-11-26",13,13,5156,5322,8,"0.%"
"2020-11-19",5345,"2020-12-26",13,13,5268,5375,37,"0.%"
"2020-11-20",5346,"2020-12-26",13,13,5268,5375,36,"0.%"
"2020-11-21",5346,"2020-12-26",13,13,5269,5375,35,"0.%"
"2020-11-22",5347,"2020-12-26",13,13,5271,5375,34,"0.%"
"2020-11-23",5351,"2020-12-26",13,13,5271,5375,33,"0.%"
"2020-11-24",5356,"2020-12-26",13,13,5272,5375,32,"0.%"
"2020-11-25",5359,"2020-12-26",13,13,5275,5375,31,"0.%"
"2020-11-26",5363,"2020-12-26",13,13,5322,5375,30,"0.%"
"2020-11-27",5364,"2020-12-26",13,13,5322,5375,29,"0.%"
"2020-11-28",5374,"2020-12-26",13,13,5322,5375,28,"0.%"
"2020-11-29",5387,"2021-01-02",13,13,5322,5403,34,"0.%"
"2020-11-30",5388,"2021-01-02",13,13,5322,5403,33,"0.%"
"2020-12-01",5390,"2021-01-02",13,13,5332,5403,32,"0.%"
"2020-12-26",5390,"2021-01-02",13,13,5375,5403,7,"0.%"
"2020-12-27",5396,"2021-01-02",13,13,5377,5403,6,"0.%"
"2020-12-28",5399,"2021-01-02",13,13,5379,5403,5,"0.%"
"2020-12-29",5410,"2021-01-08",13,13,5379,5412,10,"0.%"
