"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-11-18",3937,"2020-11-26",11,11,3861,3945,8,"0.%"
"2020-11-19",3955,"2020-11-28",11,11,3869,3973,9,"0.%"
"2020-11-20",3961,"2020-11-28",11,11,3880,3973,8,"0.%"
"2020-11-21",3963,"2020-11-28",11,11,3898,3973,7,"0.%"
"2020-11-22",3969,"2020-11-28",11,11,3925,3973,6,"0.%"
"2020-11-23",3974,"2020-11-29",11,11,3928,3978,6,"0.%"
"2020-11-24",3994,"2020-12-27",11,12,3931,3998,33,"1.49%"
"2020-11-25",4000,"2020-12-28",11,12,3936,4004,33,"1.47%"
"2020-11-26",4006,"2020-12-29",11,12,3945,4006,33,"1.64%"
"2020-11-27",4013,"2021-01-08",11,12,3953,4039,42,"1.16%"
"2020-11-28",4026,"2021-01-08",11,12,3973,4039,41,"1.52%"
"2020-11-29",4035,"2021-01-08",11,12,3978,4039,40,"1.64%"
"2020-11-30",4040,"2021-01-10",12,12,3986,4040,41,"0.%"
"2020-12-01",4053,"2021-01-21",12,12,3989,4132,51,"0.%"
"2020-12-26",4056,"2021-01-21",12,12,3993,4132,26,"0.%"
"2020-12-27",4061,"2021-01-21",12,12,3998,4132,25,"0.%"
"2020-12-28",4062,"2021-01-21",12,12,4004,4132,24,"0.%"
"2020-12-29",4070,"2021-01-21",12,12,4006,4132,23,"0.%"
"2020-12-30",4072,"2021-01-21",12,12,4006,4132,22,"0.%"
"2020-12-31",4079,"2021-01-21",12,12,4009,4132,21,"0.%"
"2021-01-01",4082,"2021-01-21",12,12,4009,4132,20,"0.%"
"2021-01-05",4084,"2021-01-21",12,12,4009,4132,16,"0.%"
"2021-01-06",4085,"2021-01-21",12,12,4010,4132,15,"0.%"
"2021-01-07",4093,"2021-01-21",12,12,4010,4132,14,"0.%"
"2021-01-08",4095,"2021-01-21",12,12,4039,4132,13,"0.%"
"2021-01-09",4097,"2021-01-21",12,12,4039,4132,12,"0.%"
"2021-01-10",4099,"2021-01-21",12,12,4040,4132,11,"0.%"
"2021-01-11",4101,"2021-01-21",12,12,4040,4132,10,"0.%"
"2021-01-13",4103,"2021-01-21",12,12,4044,4132,8,"0.%"
"2021-01-16",4104,"2021-01-21",12,12,4044,4132,5,"0.%"
"2021-01-18",4104,"2021-01-21",12,12,4045,4132,3,"0.%"
"2021-01-19",4105,"2021-01-21",12,12,4045,4132,2,"0.%"
"2021-01-21",4105,"2021-01-21",12,12,4132,4132,0,"-"
"2021-01-22",4105,"2021-01-22",12,12,4146,4146,0,"-"
