"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-10-07",3580,"2020-10-17",9,10,3220,3604,10,".26%"
"2020-10-08",3609,"2020-10-18",9,10,3239,3632,10,".25%"
"2020-10-09",3645,"2020-10-19",9,10,3291,3676,10,".26%"
"2020-10-10",3683,"2020-10-20",10,10,3339,3710,10,"0.%"
"2020-10-11",3740,"2020-10-21",10,10,3385,3771,10,"0.%"
"2020-10-12",3777,"2020-10-22",10,10,3420,3791,10,"0.%"
"2020-10-13",3804,"2020-10-23",10,10,3443,3841,10,"0.%"
"2020-10-14",3856,"2020-10-24",10,10,3487,3879,10,"0.%"
"2020-10-15",3901,"2020-10-25",10,10,3508,3924,10,"0.%"
"2020-10-16",3925,"2020-10-26",10,10,3556,3968,10,"0.%"
"2020-10-17",3968,"2020-10-26",10,10,3604,3968,9,"0.%"
"2020-10-18",3994,"2020-10-28",10,11,3632,4022,10,".26%"
"2020-10-19",4030,"2020-10-29",10,11,3676,4057,10,".26%"
"2020-10-20",4082,"2020-10-30",10,12,3710,4097,10,".52%"
"2020-10-21",4123,"2020-10-31",10,12,3771,4125,10,".56%"
"2020-10-22",4135,"2020-11-01",10,12,3791,4157,10,".55%"
"2020-10-23",4152,"2020-11-01",10,12,3841,4157,9,".63%"
"2020-10-24",4185,"2020-11-03",10,12,3879,4201,10,".62%"
"2020-10-25",4197,"2020-11-03",10,12,3924,4201,9,".72%"
"2020-10-26",4211,"2020-11-04",10,12,3968,4215,9,".81%"
"2020-10-27",4227,"2020-11-05",11,12,3991,4228,9,".42%"
"2020-10-28",4248,"2020-11-07",11,13,4022,4273,10,".8%"
"2020-10-29",4264,"2020-11-07",11,13,4057,4273,9,".93%"
"2020-10-30",4283,"2020-11-08",12,13,4097,4285,9,".53%"
"2020-10-31",4294,"2020-11-09",12,14,4125,4295,9,"1.18%"
"2020-11-01",4305,"2020-11-10",12,14,4157,4308,9,"1.32%"
"2020-11-02",4311,"2020-11-11",12,14,4176,4327,9,"1.32%"
"2020-11-03",4327,"2020-11-11",12,14,4201,4327,8,"1.59%"
"2020-11-04",4351,"2020-11-13",12,14,4215,4365,9,"1.33%"
"2020-11-05",4365,"2020-11-13",12,14,4228,4365,8,"1.46%"
"2020-11-06",4382,"2020-11-14",13,14,4244,4386,8,".7%"
"2020-11-07",4396,"2020-11-15",13,14,4273,4401,8,".78%"
"2020-11-08",4407,"2020-11-16",13,14,4285,4413,8,".78%"
"2020-11-09",4419,"2020-11-19",14,14,4295,4427,10,"0.%"
"2020-11-10",4433,"2020-11-20",14,14,4308,4442,10,"0.%"
"2020-11-11",4443,"2020-11-21",14,14,4327,4448,10,"0.%"
"2020-11-12",4460,"2020-11-22",14,15,4338,4464,10,".79%"
"2020-11-13",4472,"2020-11-23",14,15,4365,4474,10,".92%"
"2020-11-14",4484,"2020-11-24",14,15,4386,4484,10,"1.02%"
"2020-11-15",4490,"2020-11-25",14,15,4401,4509,10,".93%"
"2020-11-16",4497,"2020-11-25",14,15,4413,4509,9,"1.04%"
"2020-11-17",4504,"2020-11-25",14,15,4416,4509,8,"1.08%"
"2020-11-18",4522,"2020-11-27",14,15,4418,4529,9,".9%"
"2020-11-19",4533,"2020-11-28",14,15,4427,4535,9,".93%"
"2020-11-20",4541,"2020-11-29",14,15,4442,4549,9,".93%"
"2020-11-21",4548,"2020-11-29",14,15,4448,4549,8,".99%"
"2020-11-22",4561,"2020-12-01",15,15,4464,4566,9,"0.%"
"2020-11-23",4571,"2020-12-26",15,15,4474,4576,33,"0.%"
"2020-11-24",4584,"2020-12-29",15,15,4484,4592,35,"0.%"
"2020-11-25",4595,"2020-12-30",15,15,4509,4605,35,"0.%"
"2020-11-26",4602,"2020-12-30",15,15,4513,4605,34,"0.%"
"2020-11-27",4614,"2021-01-01",15,15,4529,4614,35,"0.%"
"2020-11-28",4626,"2021-01-04",15,15,4535,4626,37,"0.%"
"2020-11-29",4633,"2021-01-06",15,15,4549,4633,38,"0.%"
"2020-11-30",4643,"2021-01-09",15,15,4551,4645,40,"0.%"
"2020-12-01",4654,"2021-01-14",15,15,4566,4654,44,"0.%"
"2020-12-26",4661,"2021-01-19",15,15,4576,4662,24,"0.%"
