"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-12",4130,"2021-03-31",55,55,4101,4130,19,"0.%"
"2021-03-13",4132,"2021-04-02",55,55,4101,4132,20,"0.%"
"2021-03-14",4134,"2021-04-03",55,55,4101,4141,20,"0.%"
"2021-03-15",4136,"2021-04-03",55,55,4101,4141,19,"0.%"
"2021-03-16",4138,"2021-04-03",55,55,4101,4141,18,"0.%"
"2021-03-17",4140,"2021-04-03",55,55,4101,4141,17,"0.%"
"2021-03-18",4144,"2021-04-04",55,55,4104,4154,17,"0.%"
"2021-03-19",4148,"2021-04-04",55,55,4105,4154,16,"0.%"
"2021-03-20",4151,"2021-04-04",55,55,4105,4154,15,"0.%"
"2021-03-21",4154,"2021-04-04",55,55,4107,4154,14,"0.%"
"2021-03-22",4156,"2021-04-05",55,55,4111,4157,14,"0.%"
"2021-03-23",4157,"2021-04-05",55,55,4114,4157,13,"0.%"
"2021-03-24",4158,"2021-04-06",55,55,4114,4163,13,"0.%"
"2021-03-25",4163,"2021-04-06",55,55,4114,4163,12,"0.%"
"2021-03-26",4167,"2021-04-07",55,56,4116,4178,12,"1.61%"
"2021-03-27",4170,"2021-04-07",55,56,4118,4178,11,"1.67%"
"2021-03-28",4177,"2021-04-07",55,56,4121,4178,10,"1.75%"
"2021-03-29",4180,"2021-04-08",55,56,4124,4180,10,"1.79%"
"2021-03-30",4183,"2021-04-09",55,56,4126,4191,10,"1.54%"
"2021-03-31",4192,"2021-04-10",55,56,4130,4218,10,"1.14%"
"2021-04-01",4204,"2021-04-10",55,56,4130,4218,9,"1.14%"
"2021-04-02",4208,"2021-04-10",55,56,4132,4218,8,"1.16%"
"2021-04-03",4224,"2021-04-11",55,56,4141,4233,8,"1.09%"
"2021-04-04",4249,"2021-04-13",55,56,4154,4291,9,".73%"
"2021-04-05",4254,"2021-04-13",55,56,4157,4291,8,".75%"
"2021-04-06",4272,"2021-04-13",55,56,4163,4291,7,".78%"
"2021-04-07",4304,"2021-04-14",56,57,4178,4312,7,".75%"
"2021-04-08",4365,"2021-04-16",56,58,4180,4398,8,".92%"
"2021-04-09",4435,"2021-04-18",56,61,4191,4479,9,"1.74%"
"2021-04-10",4486,"2021-04-19",56,63,4218,4594,9,"1.86%"
"2021-04-11",4588,"2021-04-19",56,63,4233,4594,8,"1.94%"
"2021-04-12",4642,"2021-04-20",56,66,4241,4752,8,"1.96%"
"2021-04-13",4738,"2021-04-20",56,66,4291,4752,7,"2.17%"
"2021-04-14",4835,"2021-04-22",57,70,4312,4953,8,"2.03%"
"2021-04-15",4982,"2021-04-23",58,70,4321,5068,8,"1.61%"
"2021-04-16",5155,"2021-04-25",58,72,4398,5270,9,"1.61%"
"2021-04-17",5410,"2021-04-26",60,74,4400,5615,9,"1.15%"
"2021-04-18",5640,"2021-04-27",61,78,4479,5963,9,"1.15%"
"2021-04-19",5989,"2021-04-28",63,78,4594,6263,9,".9%"
"2021-04-20",6306,"2021-04-29",66,80,4752,6391,9,".85%"
"2021-04-21",6536,"2021-04-30",67,81,4810,6644,9,".76%"
"2021-04-22",6775,"2021-05-01",70,83,4953,6901,9,".67%"
"2021-04-23",7158,"2021-05-02",70,84,5068,7162,9,".67%"
"2021-04-24",7549,"2021-05-04",71,88,5142,7606,10,".69%"
"2021-04-25",7799,"2021-05-05",72,89,5270,7923,10,".64%"
"2021-04-26",8063,"2021-05-06",74,92,5615,8147,10,".71%"
"2021-04-27",8321,"2021-05-07",78,95,5963,8429,10,".69%"
"2021-04-28",8593,"2021-05-08",78,97,6263,8729,10,".77%"
"2021-04-29",8750,"2021-05-09",80,98,6391,8933,10,".71%"
"2021-04-30",8941,"2021-05-10",81,101,6644,9267,10,".76%"
"2021-05-01",9108,"2021-05-10",83,101,6901,9267,9,".76%"
"2021-05-02",9242,"2021-05-10",84,101,7162,9267,8,".81%"
"2021-05-03",9417,"2021-05-11",87,102,7459,9530,8,".72%"
"2021-05-04",9588,"2021-05-12",88,104,7606,9818,8,".72%"
"2021-05-05",9968,"2021-05-13",89,104,7923,10014,8,".72%"
"2021-05-06",10416,"2021-05-15",92,107,8147,10990,9,".53%"
"2021-05-07",11019,"2021-05-16",95,110,8429,11283,9,".53%"
"2021-05-08",11261,"2021-05-16",97,110,8729,11283,8,".51%"
"2021-05-09",11560,"2021-05-17",98,112,8933,11560,8,".53%"
"2021-05-10",11864,"2021-05-18",101,112,9267,11989,8,".4%"
"2021-05-11",12169,"2021-05-19",102,116,9530,12270,8,".51%"
"2021-05-12",12445,"2021-05-20",104,121,9818,12478,8,".64%"
"2021-05-13",12637,"2021-05-21",104,122,10014,12710,8,".67%"
"2021-05-14",12868,"2021-05-22",106,126,10343,12878,8,".79%"
"2021-05-15",13081,"2021-05-24",107,128,10990,13123,9,".98%"
"2021-05-16",13236,"2021-05-25",110,131,11283,13282,9,"1.05%"
"2021-05-17",13302,"2021-05-26",112,132,11560,13464,9,"1.05%"
"2021-05-18",13437,"2021-05-26",112,132,11989,13464,8,"1.36%"
"2021-05-19",13554,"2021-05-27",116,132,12270,13570,8,"1.23%"
"2021-05-20",13738,"2021-05-29",121,132,12478,13746,9,".87%"
"2021-05-21",13855,"2021-05-31",122,135,12710,13924,10,"1.07%"
"2021-05-22",13969,"2021-06-02",126,137,12878,14081,11,".91%"
"2021-05-23",14007,"2021-06-02",127,137,12992,14081,10,".92%"
"2021-05-24",14082,"2021-06-03",128,137,13123,14109,10,".91%"
"2021-05-25",14129,"2021-06-04",131,137,13282,14150,10,".69%"
"2021-05-26",14168,"2021-06-05",132,137,13464,14190,10,".69%"
"2021-05-27",14201,"2021-06-06",132,144,13570,14229,10,"1.82%"
"2021-05-28",14224,"2021-06-06",132,144,13657,14229,9,"2.1%"
"2021-05-29",14269,"2021-06-08",132,154,13746,14327,10,"3.79%"
"2021-05-30",14328,"2021-06-09",134,154,13845,14420,10,"3.48%"
"2021-05-31",14365,"2021-06-09",135,154,13924,14420,9,"3.83%"
"2021-06-01",14422,"2021-06-10",136,154,13962,14487,9,"3.43%"
"2021-06-02",14502,"2021-06-11",137,154,14081,14555,9,"3.59%"
"2021-06-03",14577,"2021-06-12",137,154,14109,14616,9,"3.35%"
"2021-06-04",14608,"2021-06-12",137,154,14150,14616,8,"3.65%"
"2021-06-05",14675,"2021-06-14",137,154,14190,14677,9,"3.49%"
"2021-06-06",14704,"2021-06-16",144,154,14229,14734,10,"1.98%"
"2021-06-07",14732,"2021-06-16",151,154,14253,14734,9,".62%"
"2021-06-08",14755,"2021-06-17",154,154,14327,14762,9,"0.%"
"2021-06-09",14774,"2021-06-18",154,154,14420,14782,9,"0.%"
"2021-06-10",14798,"2021-06-20",154,154,14487,14802,10,"0.%"
"2021-06-11",14823,"2021-06-26",154,154,14555,14824,15,"0.%"
"2021-06-12",14826,"2021-06-27",154,154,14616,14827,15,"0.%"
"2021-06-13",14827,"2021-06-27",154,154,14652,14827,14,"0.%"
"2021-06-14",14830,"2021-06-28",154,154,14677,14835,14,"0.%"
"2021-06-15",14831,"2021-06-28",154,154,14701,14835,13,"0.%"
"2021-06-16",14841,"2021-06-30",154,155,14734,14847,14,".88%"
