"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-01",311,"2020-07-04",3,4,256,323,3,"1.49%"
"2020-07-02",363,"2020-07-07",4,5,263,368,5,".95%"
"2020-07-03",397,"2020-07-11",4,5,266,436,8,".59%"
"2020-07-04",441,"2020-07-12",4,6,323,512,8,"1.06%"
"2020-07-05",486,"2020-07-12",4,6,339,512,7,"1.16%"
"2020-07-06",493,"2020-07-12",5,6,343,512,6,".59%"
"2020-07-07",508,"2020-07-12",5,6,368,512,5,".69%"
"2020-07-08",525,"2020-07-13",5,6,370,547,5,".56%"
"2020-07-09",564,"2020-07-14",5,6,381,575,5,".52%"
"2020-07-10",598,"2020-07-16",5,8,385,604,6,"1.37%"
"2020-07-11",636,"2020-07-17",5,8,436,647,6,"1.42%"
"2020-07-12",708,"2020-07-19",6,8,512,781,7,".74%"
"2020-07-13",784,"2020-07-20",6,8,547,876,7,".61%"
"2020-07-14",838,"2020-07-20",6,8,575,876,6,".66%"
"2020-07-15",897,"2020-07-21",6,9,595,1057,6,".65%"
"2020-07-16",965,"2020-07-21",8,9,604,1057,5,".22%"
"2020-07-17",993,"2020-07-21",8,9,647,1057,4,".24%"
"2020-07-18",1079,"2020-07-22",8,9,704,1098,4,".25%"
"2020-07-19",1148,"2020-07-23",8,9,781,1154,4,".27%"
"2020-07-20",1153,"2020-07-23",8,9,876,1154,3,".36%"
"2020-07-21",1264,"2020-07-25",9,11,1057,1292,4,".85%"
"2020-07-22",1379,"2020-07-28",9,11,1098,1411,6,".64%"
"2020-07-23",1412,"2020-07-29",9,11,1154,1413,6,".77%"
"2020-07-24",1511,"2020-08-01",11,13,1224,1543,8,".63%"
"2020-07-25",1565,"2020-08-03",11,13,1292,1621,9,".61%"
"2020-07-26",1688,"2020-08-04",11,13,1361,1962,9,".33%"
"2020-07-27",1741,"2020-08-04",11,13,1373,1962,8,".34%"
"2020-07-28",1940,"2020-08-04",11,13,1411,1962,7,".36%"
"2020-07-29",1974,"2020-08-05",11,15,1413,2030,7,".65%"
"2020-07-30",1995,"2020-08-05",11,15,1437,2030,6,".67%"
"2020-07-31",2120,"2020-08-07",11,15,1439,2228,7,".51%"
"2020-08-01",2456,"2020-08-10",13,17,1543,2508,9,".41%"
"2020-08-02",2515,"2020-08-11",13,18,1564,2594,9,".49%"
"2020-08-03",2597,"2020-08-12",13,18,1621,2664,9,".48%"
"2020-08-04",2794,"2020-08-14",13,21,1962,2869,10,".88%"
"2020-08-05",2886,"2020-08-15",15,21,2030,2946,10,".66%"
"2020-08-06",3004,"2020-08-16",15,21,2115,3080,10,".62%"
"2020-08-07",3113,"2020-08-17",15,21,2228,3215,10,".61%"
"2020-08-08",3231,"2020-08-18",16,22,2369,3323,10,".63%"
"2020-08-09",3359,"2020-08-19",16,22,2389,3433,10,".57%"
"2020-08-10",3473,"2020-08-20",17,22,2508,3555,10,".48%"
"2020-08-11",3597,"2020-08-21",18,22,2594,3713,10,".36%"
"2020-08-12",3757,"2020-08-22",18,25,2664,3849,10,".59%"
"2020-08-13",3845,"2020-08-22",19,25,2735,3849,9,".54%"
"2020-08-14",3978,"2020-08-24",21,25,2869,4176,10,".31%"
"2020-08-15",4144,"2020-08-24",21,25,2946,4176,9,".33%"
"2020-08-16",4241,"2020-08-25",21,25,3080,4346,9,".32%"
"2020-08-17",4384,"2020-08-26",21,25,3215,4445,9,".33%"
"2020-08-18",4520,"2020-08-27",22,26,3323,4582,9,".32%"
"2020-08-19",4693,"2020-08-28",22,26,3433,4716,9,".31%"
"2020-08-20",4867,"2020-08-30",22,27,3555,4935,10,".36%"
"2020-08-21",5030,"2020-08-31",22,27,3713,5087,10,".36%"
"2020-08-22",5091,"2020-09-01",25,28,3849,5156,10,".23%"
"2020-08-23",5218,"2020-09-02",25,28,3977,5247,10,".24%"
"2020-08-24",5295,"2020-09-03",25,28,4176,5346,10,".26%"
"2020-08-25",5375,"2020-09-04",25,28,4346,5426,10,".28%"
"2020-08-26",5503,"2020-09-05",25,28,4445,5540,10,".27%"
"2020-08-27",5607,"2020-09-06",26,28,4582,5638,10,".19%"
"2020-08-28",5693,"2020-09-07",26,28,4716,5716,10,".2%"
"2020-08-29",5792,"2020-09-08",27,28,4819,5840,10,".1%"
"2020-08-30",5876,"2020-09-09",27,28,4935,5941,10,".1%"
"2020-08-31",5949,"2020-09-10",27,28,5087,6010,10,".11%"
"2020-09-01",6032,"2020-09-11",28,28,5156,6138,10,"0.%"
"2020-09-02",6110,"2020-09-11",28,28,5247,6138,9,"0.%"
"2020-09-03",6223,"2020-09-12",28,29,5346,6249,9,".11%"
"2020-09-04",6357,"2020-09-14",28,31,5426,6467,10,".29%"
"2020-09-05",6483,"2020-09-15",28,31,5540,6587,10,".29%"
"2020-09-06",6546,"2020-09-15",28,31,5638,6587,9,".32%"
"2020-09-07",6589,"2020-09-16",28,31,5716,6673,9,".31%"
"2020-09-08",6655,"2020-09-16",28,31,5840,6673,8,".36%"
"2020-09-09",6723,"2020-09-17",28,31,5941,6728,8,".38%"
"2020-09-10",6795,"2020-09-18",28,31,6010,6801,8,".38%"
"2020-09-11",6884,"2020-09-20",28,31,6138,6932,9,".38%"
"2020-09-12",6951,"2020-09-21",29,31,6249,7004,9,".26%"
"2020-09-13",7040,"2020-09-23",29,31,6342,7093,10,".27%"
"2020-09-14",7119,"2020-09-24",31,31,6467,7147,10,"0.%"
"2020-09-15",7176,"2020-09-25",31,31,6587,7199,10,"0.%"
"2020-09-16",7245,"2020-09-26",31,32,6673,7263,10,".17%"
"2020-09-17",7312,"2020-09-27",31,32,6728,7363,10,".16%"
"2020-09-18",7353,"2020-09-27",31,32,6801,7363,9,".18%"
"2020-09-19",7402,"2020-09-28",31,32,6879,7426,9,".18%"
"2020-09-20",7503,"2020-09-29",31,32,6932,7603,9,".15%"
"2020-09-21",7628,"2020-09-30",31,32,7004,7727,9,".14%"
"2020-09-22",7738,"2020-10-01",31,32,7039,7784,9,".13%"
"2020-09-23",7827,"2020-10-02",31,32,7093,7848,9,".13%"
"2020-09-24",7892,"2020-10-03",31,32,7147,7906,9,".13%"
"2020-09-25",7964,"2020-10-04",31,32,7199,7989,9,".13%"
"2020-09-26",8028,"2020-10-05",32,32,7263,8068,9,"0.%"
"2020-09-27",8124,"2020-10-07",32,32,7363,8158,10,"0.%"
"2020-09-28",8189,"2020-10-08",32,32,7426,8200,10,"0.%"
"2020-09-29",8236,"2020-10-09",32,32,7603,8249,10,"0.%"
"2020-09-30",8298,"2020-10-11",32,32,7727,8329,11,"0.%"
"2020-10-01",8343,"2020-10-12",32,33,7784,8394,11,".16%"
"2020-10-02",8403,"2020-10-13",32,33,7848,8424,11,".17%"
"2020-10-03",8436,"2020-10-14",32,34,7906,8486,11,".34%"
"2020-10-04",8500,"2020-10-15",32,34,7989,8522,11,".38%"
"2020-10-05",8535,"2020-10-16",32,34,8068,8564,11,".4%"
"2020-10-06",8579,"2020-10-17",32,34,8097,8617,11,".38%"
"2020-10-07",8636,"2020-10-18",32,34,8158,8701,11,".37%"
"2020-10-08",8688,"2020-10-18",32,34,8200,8701,10,".4%"
"2020-10-09",8759,"2020-10-19",32,35,8249,8767,10,".58%"
"2020-10-10",8809,"2020-10-21",32,36,8287,8853,11,".71%"
"2020-10-11",8850,"2020-10-21",32,36,8329,8853,10,".76%"
"2020-10-12",8875,"2020-10-22",33,36,8394,8877,10,".62%"
"2020-10-13",8935,"2020-10-23",33,37,8424,8935,10,".78%"
"2020-10-14",8966,"2020-10-24",34,38,8486,8966,10,".83%"
"2020-10-15",9014,"2020-10-25",34,38,8522,9017,10,".81%"
"2020-10-16",9056,"2020-10-26",34,38,8564,9069,10,".79%"
"2020-10-17",9114,"2020-10-27",34,38,8617,9145,10,".76%"
"2020-10-18",9174,"2020-10-28",34,38,8701,9198,10,".8%"
"2020-10-19",9222,"2020-10-29",35,38,8767,9248,10,".62%"
"2020-10-20",9277,"2020-10-30",36,39,8804,9307,10,".6%"
"2020-10-21",9346,"2020-10-31",36,39,8853,9371,10,".58%"
"2020-10-22",9412,"2020-11-01",36,40,8877,9434,10,".72%"
"2020-10-23",9508,"2020-11-02",37,40,8935,9513,10,".52%"
"2020-10-24",9556,"2020-11-03",38,41,8966,9563,10,".5%"
"2020-10-25",9616,"2020-11-04",38,41,9017,9616,10,".5%"
"2020-10-26",9638,"2020-11-06",38,42,9069,9666,11,".67%"
"2020-10-27",9667,"2020-11-07",38,42,9145,9702,11,".72%"
