"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-01-29",7948,"2021-02-01",58,58,7942,7949,3,"0.%"
"2021-01-30",7951,"2021-02-02",58,58,7945,7952,3,"0.%"
"2021-01-31",7952,"2021-02-02",58,58,7947,7952,2,"0.%"
"2021-02-01",7956,"2021-02-06",58,58,7949,7956,5,"0.%"
"2021-02-02",7958,"2021-02-08",58,58,7952,7961,6,"0.%"
"2021-02-03",7960,"2021-02-08",58,58,7953,7961,5,"0.%"
"2021-02-04",7961,"2021-02-08",58,58,7955,7961,4,"0.%"
"2021-02-06",7962,"2021-02-09",58,58,7956,7963,3,"0.%"
"2021-02-07",7963,"2021-02-09",58,58,7956,7963,2,"0.%"
"2021-02-08",7963,"2021-02-09",58,58,7961,7963,1,"0.%"
"2021-02-09",7963,"2021-02-09",58,58,7963,7963,0,"-"
"2021-02-10",7968,"2021-02-12",58,58,7967,7968,2,"0.%"
"2021-02-12",7968,"2021-02-12",58,58,7968,7968,0,"-"
"2021-02-13",7969,"2021-02-13",58,58,7970,7970,0,"-"
"2021-02-14",7971,"2021-02-14",58,58,7973,7973,0,"-"
"2021-02-15",7976,"2021-02-15",58,58,7977,7977,0,"-"
"2021-02-16",7979,"2021-02-16",58,58,7979,7979,0,"-"
"2021-02-17",7979,"2021-02-17",58,58,7980,7980,0,"-"
"2021-02-18",7979,"2021-02-18",59,59,7985,7985,0,"-"
"2021-02-19",7981,"2021-02-19",59,59,7988,7988,0,"-"
"2021-02-20",7982,"2021-02-20",59,59,7988,7988,0,"-"
"2021-02-21",7985,"2021-02-21",59,59,7990,7990,0,"-"
"2021-02-22",7988,"2021-02-22",59,59,7991,7991,0,"-"
"2021-02-23",7990,"2021-02-23",59,59,7993,7993,0,"-"
"2021-02-24",7994,"2021-02-27",59,59,7993,7994,3,"0.%"
"2021-02-26",7995,"2021-02-28",59,59,7993,7995,2,"0.%"
"2021-02-27",7998,"2021-03-01",59,59,7994,7998,2,"0.%"
"2021-02-28",7998,"2021-03-01",59,59,7995,7998,1,"0.%"
"2021-03-01",7999,"2021-03-02",59,59,7998,7999,1,"0.%"
"2021-03-02",7999,"2021-03-02",59,59,7999,7999,0,"-"
"2021-03-03",8000,"2021-03-03",59,59,8002,8002,0,"-"
"2021-03-04",8000,"2021-03-04",59,59,8003,8003,0,"-"
"2021-03-05",8000,"2021-03-05",59,59,8005,8005,0,"-"
"2021-03-06",8002,"2021-03-06",59,59,8005,8005,0,"-"
"2021-03-07",8002,"2021-03-07",59,59,8006,8006,0,"-"
"2021-03-08",8003,"2021-03-08",59,59,8006,8006,0,"-"
"2021-03-09",8003,"2021-03-09",59,59,8010,8010,0,"-"
"2021-03-10",8005,"2021-03-10",59,59,8010,8010,0,"-"
"2021-03-14",8006,"2021-03-14",59,59,8014,8014,0,"-"
"2021-03-16",8009,"2021-03-16",59,59,8016,8016,0,"-"
"2021-03-17",8011,"2021-03-17",59,59,8017,8017,0,"-"
"2021-03-18",8018,"2021-03-18",59,59,8021,8021,0,"-"
"2021-03-19",8021,"2021-03-19",59,59,8023,8023,0,"-"
"2021-03-20",8022,"2021-03-20",59,59,8023,8023,0,"-"
