"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-01-07",3917,"2021-01-23",19,20,3862,3917,16,"1.82%"
"2021-01-08",3917,"2021-01-23",20,20,3871,3917,15,"0.%"
"2021-01-09",3920,"2021-01-24",20,20,3877,3928,15,"0.%"
"2021-01-10",3920,"2021-01-24",20,20,3883,3928,14,"0.%"
"2021-01-11",3923,"2021-01-24",20,20,3890,3928,13,"0.%"
"2021-01-12",3932,"2021-01-27",20,20,3891,4009,15,"0.%"
"2021-01-13",3941,"2021-01-27",20,20,3893,4009,14,"0.%"
"2021-01-14",3944,"2021-01-27",20,20,3898,4009,13,"0.%"
"2021-01-15",3947,"2021-01-27",20,20,3900,4009,12,"0.%"
"2021-01-16",3948,"2021-01-27",20,20,3901,4009,11,"0.%"
"2021-01-17",3949,"2021-01-27",20,20,3904,4009,10,"0.%"
"2021-01-18",3949,"2021-01-27",20,20,3909,4009,9,"0.%"
"2021-01-19",3950,"2021-01-27",20,20,3910,4009,8,"0.%"
"2021-01-20",3950,"2021-01-27",20,20,3913,4009,7,"0.%"
"2021-01-21",3950,"2021-01-27",20,20,3914,4009,6,"0.%"
"2021-01-22",3950,"2021-01-27",20,20,3915,4009,5,"0.%"
"2021-01-23",3955,"2021-01-27",20,20,3917,4009,4,"0.%"
"2021-01-24",3967,"2021-01-27",20,20,3928,4009,3,"0.%"
"2021-01-25",3967,"2021-01-27",20,20,3930,4009,2,"0.%"
"2021-01-26",3968,"2021-01-27",20,20,3930,4009,1,"0.%"
"2021-01-27",3968,"2021-01-27",20,20,4009,4009,0,"-"
"2021-01-29",3968,"2021-01-29",20,20,4012,4012,0,"-"
"2021-01-30",3968,"2021-01-30",20,20,4014,4014,0,"-"
"2021-02-02",3975,"2021-02-02",20,20,4020,4020,0,"-"
"2021-02-05",3976,"2021-02-05",20,20,4020,4020,0,"-"
"2021-02-06",3977,"2021-02-06",20,20,4021,4021,0,"-"
"2021-02-07",3977,"2021-02-07",20,20,4023,4023,0,"-"
"2021-02-08",3977,"2021-02-08",20,20,4024,4024,0,"-"
"2021-02-10",3977,"2021-02-10",21,21,4025,4025,0,"-"
"2021-02-15",3982,"2021-02-15",21,21,4031,4031,0,"-"
"2021-02-16",3983,"2021-02-16",21,21,4031,4031,0,"-"
"2021-02-17",3986,"2021-02-17",21,21,4034,4034,0,"-"
"2021-02-18",3992,"2021-02-18",21,21,4037,4037,0,"-"
"2021-02-19",3997,"2021-02-19",21,21,4043,4043,0,"-"
"2021-02-20",4005,"2021-02-20",21,21,4043,4043,0,"-"
"2021-02-21",4014,"2021-02-21",21,21,4043,4043,0,"-"
"2021-02-22",4028,"2021-02-22",21,21,4043,4043,0,"-"
"2021-02-23",4032,"2021-02-23",21,21,4050,4050,0,"-"
"2021-02-24",4040,"2021-02-24",21,21,4059,4059,0,"-"
"2021-02-25",4042,"2021-02-25",21,21,4067,4067,0,"-"
"2021-02-26",4043,"2021-02-26",21,21,4076,4076,0,"-"
"2021-02-27",4043,"2021-02-27",21,21,4083,4083,0,"-"
"2021-03-02",4054,"2021-03-02",21,21,4091,4091,0,"-"
"2021-03-03",4060,"2021-03-03",21,21,4092,4092,0,"-"
"2021-03-05",4060,"2021-03-05",21,21,4094,4094,0,"-"
"2021-03-07",4060,"2021-03-07",22,22,4095,4095,0,"-"
"2021-03-08",4060,"2021-03-08",22,22,4098,4098,0,"-"
"2021-03-09",4063,"2021-03-09",22,22,4102,4102,0,"-"
"2021-03-10",4063,"2021-03-10",22,22,4105,4105,0,"-"
"2021-03-11",4063,"2021-03-11",22,22,4107,4107,0,"-"
"2021-03-12",4063,"2021-03-12",22,22,4108,4108,0,"-"
"2021-03-13",4065,"2021-03-13",22,22,4114,4114,0,"-"
"2021-03-16",4065,"2021-03-16",22,22,4116,4116,0,"-"
"2021-03-17",4065,"2021-03-17",22,22,4117,4117,0,"-"
"2021-03-18",4067,"2021-03-18",22,22,4117,4117,0,"-"
"2021-03-19",4070,"2021-03-19",22,22,4117,4117,0,"-"
"2021-03-20",4077,"2021-03-20",22,22,4121,4121,0,"-"
"2021-03-21",4082,"2021-03-21",22,22,4122,4122,0,"-"
"2021-03-22",4082,"2021-03-22",22,22,4124,4124,0,"-"
"2021-03-23",4083,"2021-03-23",22,22,4124,4124,0,"-"
"2021-03-25",4086,"2021-03-25",22,22,4124,4124,0,"-"
"2021-03-26",4093,"2021-03-26",22,22,4139,4139,0,"-"
"2021-03-27",4100,"2021-03-27",22,22,4141,4141,0,"-"
"2021-03-31",4101,"2021-03-31",22,22,4141,4141,0,"-"
"2021-04-01",4105,"2021-04-01",22,22,4141,4141,0,"-"
"2021-04-02",4119,"2021-04-02",23,23,4145,4145,0,"-"
"2021-04-03",4133,"2021-04-03",23,23,4148,4148,0,"-"
"2021-04-04",4139,"2021-04-04",23,23,4148,4148,0,"-"
"2021-04-05",4151,"2021-04-07",23,23,4148,4162,2,"0.%"
"2021-04-06",4164,"2021-04-10",23,24,4149,4177,4,"3.57%"
"2021-04-07",4185,"2021-04-11",23,24,4162,4209,4,"2.13%"
"2021-04-08",4190,"2021-04-11",23,24,4162,4209,3,"2.13%"
"2021-04-09",4225,"2021-04-13",24,25,4163,4329,4,".6%"
"2021-04-10",4265,"2021-04-13",24,25,4177,4329,3,".66%"
"2021-04-11",4305,"2021-04-13",24,25,4209,4329,2,".83%"
"2021-04-12",4317,"2021-04-13",24,25,4209,4329,1,".83%"
"2021-04-13",4400,"2021-04-19",25,26,4329,4401,6,"1.39%"
"2021-04-14",4444,"2021-04-20",26,27,4330,4474,6,".69%"
"2021-04-15",4485,"2021-04-21",26,27,4330,4623,6,".34%"
"2021-04-16",4586,"2021-04-21",26,27,4330,4623,5,".34%"
"2021-04-17",4701,"2021-04-24",26,34,4330,4704,7,"2.14%"
"2021-04-18",4823,"2021-04-26",26,34,4334,4873,8,"1.48%"
"2021-04-19",4959,"2021-04-27",26,34,4401,5097,8,"1.15%"
"2021-04-20",5109,"2021-04-28",27,38,4474,5204,8,"1.51%"
"2021-04-21",5377,"2021-04-30",27,39,4623,5546,9,"1.3%"
"2021-04-22",5550,"2021-05-01",30,39,4673,5810,9,".79%"
"2021-04-23",5626,"2021-05-01",31,39,4700,5810,8,".72%"
"2021-04-24",5787,"2021-05-01",34,39,4704,5810,7,".45%"
"2021-04-25",6009,"2021-05-03",34,45,4772,6295,8,".72%"
"2021-04-26",6142,"2021-05-03",34,45,4873,6295,7,".77%"
"2021-04-27",6455,"2021-05-04",34,45,5097,6578,7,".74%"
"2021-04-28",6664,"2021-05-05",38,47,5204,6682,7,".61%"
"2021-04-29",6877,"2021-05-07",39,50,5348,7041,8,".65%"
"2021-04-30",7027,"2021-05-07",39,50,5546,7041,7,".74%"
"2021-05-01",7319,"2021-05-09",39,52,5810,7437,8,".8%"
"2021-05-02",7450,"2021-05-10",44,56,5964,7638,8,".72%"
"2021-05-03",7574,"2021-05-10",45,56,6295,7638,7,".82%"
"2021-05-04",7861,"2021-05-12",45,60,6578,8013,8,"1.05%"
"2021-05-05",7990,"2021-05-12",47,60,6682,8013,7,".98%"
"2021-05-06",8219,"2021-05-13",48,64,6830,8250,7,"1.13%"
"2021-05-07",8350,"2021-05-14",50,66,7041,8377,7,"1.2%"
"2021-05-08",8500,"2021-05-15",51,66,7242,8561,7,"1.14%"
"2021-05-09",8628,"2021-05-16",52,70,7437,8732,7,"1.39%"
"2021-05-10",8703,"2021-05-16",56,70,7638,8732,6,"1.28%"
"2021-05-11",8798,"2021-05-17",57,70,7826,8854,6,"1.26%"
"2021-05-12",8923,"2021-05-18",60,72,8013,8986,6,"1.23%"
"2021-05-13",9035,"2021-05-19",64,73,8250,9088,6,"1.07%"
"2021-05-14",9103,"2021-05-20",66,74,8377,9190,6,".98%"
"2021-05-15",9199,"2021-05-21",66,75,8561,9269,6,"1.27%"
"2021-05-16",9263,"2021-05-21",70,75,8732,9269,5,".93%"
"2021-05-17",9302,"2021-05-22",70,76,8854,9365,5,"1.17%"
"2021-05-18",9370,"2021-05-23",72,78,8986,9438,5,"1.33%"
"2021-05-19",9439,"2021-05-24",73,80,9088,9480,5,"1.79%"
"2021-05-20",9479,"2021-05-24",74,80,9190,9480,4,"2.07%"
"2021-05-21",9516,"2021-05-26",75,84,9269,9532,5,"3.42%"
"2021-05-22",9568,"2021-05-27",76,89,9365,9610,5,"5.31%"
"2021-05-23",9606,"2021-05-27",78,89,9438,9610,4,"6.4%"
"2021-05-24",9635,"2021-05-28",80,92,9480,9642,4,"7.41%"
"2021-05-25",9654,"2021-05-29",81,93,9508,9689,4,"6.63%"
"2021-05-26",9669,"2021-05-29",84,93,9532,9689,3,"5.73%"
"2021-05-27",9697,"2021-05-30",89,94,9610,9716,3,"4.72%"
"2021-05-28",9703,"2021-05-30",92,94,9642,9716,2,"2.7%"
"2021-05-29",9717,"2021-05-31",93,96,9689,9725,2,"8.33%"
"2021-05-30",9733,"2021-06-02",94,99,9716,9743,3,"18.52%"
"2021-05-31",9745,"2021-06-03",96,100,9725,9752,3,"14.81%"
"2021-06-01",9760,"2021-06-04",96,101,9725,9783,3,"8.62%"
"2021-06-02",9770,"2021-06-04",99,101,9743,9783,2,"5.%"
"2021-06-03",9780,"2021-06-04",100,101,9752,9783,1,"3.23%"
"2021-06-04",9821,"2021-06-05",101,103,9783,9836,1,"3.77%"
"2021-06-05",9870,"2021-06-08",103,104,9836,9873,3,"2.7%"
"2021-06-06",9879,"2021-06-10",104,170,9846,9889,4,"##.##%"
"2021-06-07",9883,"2021-06-10",104,170,9866,9889,3,"##.##%"
