"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-12-26",6459,"2021-01-03",43,43,6411,6465,8,"0.%"
"2020-12-27",6463,"2021-01-03",43,43,6415,6465,7,"0.%"
"2020-12-28",6465,"2021-01-03",43,43,6436,6465,6,"0.%"
"2020-12-29",6469,"2021-01-04",43,43,6442,6475,6,"0.%"
"2020-12-30",6473,"2021-01-04",43,43,6447,6475,5,"0.%"
"2020-12-31",6480,"2021-01-06",43,43,6448,6481,6,"0.%"
"2021-01-01",6486,"2021-01-08",43,43,6453,6488,7,"0.%"
"2021-01-02",6488,"2021-01-08",43,43,6456,6488,6,"0.%"
"2021-01-03",6494,"2021-01-11",43,43,6465,6496,8,"0.%"
"2021-01-04",6496,"2021-01-11",43,43,6475,6496,7,"0.%"
"2021-01-05",6503,"2021-01-13",43,43,6476,6516,8,"0.%"
"2021-01-06",6514,"2021-01-13",43,43,6481,6516,7,"0.%"
"2021-01-07",6519,"2021-01-15",43,43,6485,6526,8,"0.%"
"2021-01-08",6520,"2021-01-15",43,43,6488,6526,7,"0.%"
"2021-01-09",6539,"2021-01-17",43,43,6491,6539,8,"0.%"
"2021-01-10",6551,"2021-01-18",43,43,6493,6554,8,"0.%"
"2021-01-11",6552,"2021-01-18",43,43,6496,6554,7,"0.%"
"2021-01-12",6564,"2021-01-21",43,43,6497,6566,9,"0.%"
"2021-01-13",6573,"2021-01-22",43,43,6516,6574,9,"0.%"
"2021-01-14",6579,"2021-01-23",43,43,6516,6584,9,"0.%"
"2021-01-15",6582,"2021-01-23",43,43,6526,6584,8,"0.%"
"2021-01-16",6587,"2021-01-25",43,43,6528,6590,9,"0.%"
"2021-01-17",6589,"2021-01-25",43,43,6539,6590,8,"0.%"
"2021-01-18",6592,"2021-01-27",43,43,6554,6602,9,"0.%"
"2021-01-19",6598,"2021-01-27",43,43,6559,6602,8,"0.%"
"2021-01-20",6605,"2021-01-28",43,43,6562,6611,8,"0.%"
"2021-01-21",6606,"2021-01-28",43,43,6566,6611,7,"0.%"
"2021-01-22",6606,"2021-01-28",43,43,6574,6611,6,"0.%"
"2021-01-23",6610,"2021-01-28",43,43,6584,6611,5,"0.%"
"2021-01-24",6611,"2021-01-28",43,43,6586,6611,4,"0.%"
"2021-01-25",6611,"2021-01-28",43,43,6590,6611,3,"0.%"
