"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-09-14",4115,"2020-09-23",7,7,3623,4119,9,"0.%"
"2020-09-15",4157,"2020-09-25",7,7,3623,4228,10,"0.%"
"2020-09-16",4266,"2020-09-26",7,7,3694,4361,10,"0.%"
"2020-09-17",4354,"2020-09-26",7,7,3807,4361,9,"0.%"
"2020-09-18",4414,"2020-09-28",7,7,3833,4499,10,"0.%"
"2020-09-19",4473,"2020-09-28",7,7,3896,4499,9,"0.%"
"2020-09-20",4509,"2020-09-29",7,7,3951,4534,9,"0.%"
"2020-09-21",4542,"2020-09-30",7,7,4042,4544,9,"0.%"
"2020-09-22",4555,"2020-10-02",7,7,4051,4613,10,"0.%"
"2020-09-23",4612,"2020-10-02",7,7,4119,4613,9,"0.%"
"2020-09-24",4655,"2020-10-03",7,7,4149,4668,9,"0.%"
"2020-09-25",4689,"2020-10-05",7,7,4228,4758,10,"0.%"
"2020-09-26",4772,"2020-10-06",7,7,4361,4794,10,"0.%"
"2020-09-27",4776,"2020-10-06",7,7,4361,4794,9,"0.%"
"2020-09-28",4799,"2020-10-07",7,7,4499,4800,9,"0.%"
"2020-09-29",4864,"2020-10-09",7,7,4534,4872,10,"0.%"
"2020-09-30",4871,"2020-10-09",7,7,4544,4872,9,"0.%"
"2020-10-01",4895,"2020-10-11",7,7,4553,4920,10,"0.%"
"2020-10-02",4913,"2020-10-11",7,7,4613,4920,9,"0.%"
"2020-10-03",4937,"2020-10-12",7,7,4668,4969,9,"0.%"
"2020-10-04",4946,"2020-10-12",7,7,4681,4969,8,"0.%"
"2020-10-05",4968,"2020-10-12",7,7,4758,4969,7,"0.%"
"2020-10-06",5003,"2020-10-15",7,8,4794,5039,9,".41%"
"2020-10-07",5044,"2020-10-16",7,8,4800,5070,9,".37%"
"2020-10-08",5077,"2020-10-17",7,8,4821,5088,9,".37%"
"2020-10-09",5100,"2020-10-18",7,8,4872,5101,9,".44%"
"2020-10-10",5169,"2020-10-19",7,8,4894,5201,9,".33%"
"2020-10-11",5189,"2020-10-19",7,8,4920,5201,8,".36%"
"2020-10-12",5216,"2020-10-20",7,8,4969,5243,8,".36%"
"2020-10-13",5255,"2020-10-21",7,8,4993,5268,8,".36%"
"2020-10-14",5270,"2020-10-22",8,8,5000,5283,8,"0.%"
"2020-10-15",5336,"2020-10-24",8,8,5039,5360,9,"0.%"
"2020-10-16",5408,"2020-10-27",8,8,5070,5421,11,"0.%"
"2020-10-17",5444,"2020-10-28",8,8,5088,5467,11,"0.%"
"2020-10-18",5459,"2020-10-28",8,8,5101,5467,10,"0.%"
"2020-10-19",5492,"2020-10-29",8,8,5201,5502,10,"0.%"
"2020-10-20",5558,"2020-10-30",8,8,5243,5558,10,"0.%"
"2020-10-21",5599,"2020-10-31",8,8,5268,5604,10,"0.%"
"2020-10-22",5637,"2020-11-02",8,8,5283,5663,11,"0.%"
"2020-10-23",5656,"2020-11-02",8,8,5287,5663,10,"0.%"
"2020-10-24",5710,"2020-11-05",8,8,5360,5725,12,"0.%"
"2020-10-25",5717,"2020-11-05",8,8,5362,5725,11,"0.%"
"2020-10-26",5738,"2020-11-07",8,8,5389,5750,12,"0.%"
"2020-10-27",5753,"2020-11-08",8,9,5421,5791,12,".27%"
"2020-10-28",5803,"2020-11-09",8,9,5467,5817,12,".29%"
"2020-10-29",5819,"2020-11-10",8,9,5502,5831,12,".3%"
"2020-10-30",5852,"2020-11-11",8,9,5558,5898,12,".29%"
"2020-10-31",5890,"2020-11-11",8,9,5604,5898,11,".34%"
"2020-11-01",5904,"2020-11-13",8,9,5634,5934,12,".33%"
"2020-11-02",5910,"2020-11-13",8,9,5663,5934,11,".37%"
"2020-11-03",5986,"2020-11-16",8,9,5691,6020,13,".3%"
"2020-11-04",6005,"2020-11-16",8,9,5702,6020,12,".31%"
"2020-11-05",6024,"2020-11-17",8,9,5725,6026,12,".33%"
"2020-11-06",6042,"2020-11-18",8,9,5736,6046,12,".32%"
"2020-11-07",6076,"2020-11-21",8,11,5750,6082,14,".9%"
"2020-11-08",6097,"2020-11-22",9,11,5791,6110,14,".63%"
"2020-11-09",6098,"2020-11-22",9,11,5817,6110,13,".68%"
"2020-11-10",6098,"2020-11-22",9,11,5831,6110,12,".72%"
"2020-11-11",6150,"2020-11-25",9,11,5898,6163,14,".75%"
"2020-11-12",6157,"2020-11-25",9,11,5899,6163,13,".76%"
"2020-11-13",6174,"2020-11-26",9,11,5934,6177,13,".82%"
"2020-11-14",6183,"2020-11-28",9,11,5961,6200,14,".84%"
"2020-11-15",6183,"2020-11-28",9,11,5982,6200,13,".92%"
"2020-11-16",6218,"2020-11-29",9,11,6020,6222,13,".99%"
"2020-11-17",6222,"2020-11-29",9,11,6026,6222,12,"1.02%"
"2020-11-18",6240,"2020-12-01",9,11,6046,6245,13,"1.01%"
"2020-11-19",6252,"2020-12-26",10,11,6048,6257,37,".48%"
"2020-11-20",6268,"2020-12-28",11,11,6072,6269,38,"0.%"
"2020-11-21",6274,"2020-12-30",11,11,6082,6274,39,"0.%"
"2020-11-22",6291,"2021-01-01",11,11,6110,6295,40,"0.%"
"2020-11-23",6309,"2021-01-03",11,11,6124,6310,41,"0.%"
"2020-11-24",6318,"2021-01-05",11,11,6149,6324,42,"0.%"
"2020-11-25",6340,"2021-01-07",11,11,6163,6341,43,"0.%"
"2020-11-26",6347,"2021-01-10",11,11,6177,6359,45,"0.%"
"2020-11-27",6372,"2021-01-14",11,11,6181,6376,48,"0.%"
"2020-11-28",6396,"2021-01-17",11,11,6200,6405,50,"0.%"
"2020-11-29",6405,"2021-01-17",11,11,6222,6405,49,"0.%"
"2020-11-30",6434,"2021-01-27",11,11,6237,6449,58,"0.%"
"2020-12-01",6436,"2021-01-27",11,11,6245,6449,57,"0.%"
"2020-12-26",6444,"2021-01-27",11,11,6257,6449,32,"0.%"
"2020-12-27",6452,"2021-01-30",11,11,6257,6453,34,"0.%"
"2020-12-28",6466,"2021-02-03",11,11,6269,6466,37,"0.%"
"2020-12-29",6475,"2021-02-16",11,11,6272,6480,49,"0.%"
"2020-12-30",6484,"2021-02-20",11,11,6274,6486,52,"0.%"
