"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-10-29",6098,"2020-11-07",38,41,5926,6107,9,"1.66%"
"2020-10-30",6121,"2020-11-08",38,42,5957,6121,9,"2.44%"
"2020-10-31",6132,"2020-11-09",38,44,5984,6136,9,"3.95%"
"2020-11-01",6160,"2020-11-10",38,44,6012,6167,9,"3.87%"
"2020-11-02",6171,"2020-11-11",38,45,6029,6190,9,"4.35%"
"2020-11-03",6188,"2020-11-11",38,45,6051,6190,8,"5.04%"
"2020-11-04",6199,"2020-11-12",39,45,6067,6204,8,"4.38%"
"2020-11-05",6219,"2020-11-14",39,45,6080,6222,9,"4.23%"
"2020-11-06",6230,"2020-11-15",39,45,6093,6236,9,"4.2%"
"2020-11-07",6242,"2020-11-16",41,45,6107,6244,9,"2.92%"
"2020-11-08",6260,"2020-11-17",42,45,6121,6264,9,"2.1%"
"2020-11-09",6263,"2020-11-17",44,45,6136,6264,8,".78%"
"2020-11-10",6284,"2020-11-20",44,47,6167,6299,10,"2.27%"
"2020-11-11",6304,"2020-11-21",45,47,6190,6310,10,"1.67%"
"2020-11-12",6312,"2020-11-22",45,48,6204,6327,10,"2.44%"
"2020-11-13",6323,"2020-11-22",45,48,6214,6327,9,"2.65%"
"2020-11-14",6337,"2020-11-24",45,48,6222,6347,10,"2.4%"
"2020-11-15",6342,"2020-11-24",45,48,6236,6347,9,"2.7%"
"2020-11-16",6349,"2020-11-25",45,48,6244,6358,9,"2.63%"
"2020-11-17",6358,"2020-11-25",45,48,6264,6358,8,"3.19%"
"2020-11-18",6370,"2020-11-27",45,48,6280,6381,9,"2.97%"
"2020-11-19",6382,"2020-11-28",47,48,6282,6395,9,".88%"
"2020-11-20",6397,"2020-11-29",47,48,6299,6409,9,".91%"
"2020-11-21",6410,"2020-11-30",47,48,6310,6430,9,".83%"
"2020-11-22",6425,"2020-11-30",48,48,6327,6430,8,"0.%"
"2020-11-23",6436,"2020-12-01",48,48,6334,6438,8,"0.%"
"2020-11-24",6466,"2020-12-27",48,48,6347,6491,33,"0.%"
"2020-11-25",6479,"2020-12-27",48,48,6358,6491,32,"0.%"
"2020-11-26",6500,"2020-12-28",48,48,6362,6538,32,"0.%"
"2020-11-27",6525,"2020-12-28",48,48,6381,6538,31,"0.%"
"2020-11-28",6535,"2020-12-28",48,48,6395,6538,30,"0.%"
"2020-11-29",6552,"2020-12-29",48,48,6409,6557,30,"0.%"
"2020-11-30",6574,"2020-12-30",48,49,6430,6576,30,".68%"
"2020-12-01",6576,"2020-12-30",48,49,6438,6576,29,".72%"
"2020-12-26",6588,"2021-01-01",48,51,6458,6602,6,"2.08%"
"2020-12-27",6615,"2021-01-02",48,51,6491,6624,6,"2.26%"
"2020-12-28",6626,"2021-01-03",48,51,6538,6646,6,"2.78%"
"2020-12-29",6647,"2021-01-04",48,51,6557,6674,6,"2.56%"
"2020-12-30",6678,"2021-01-05",49,51,6576,6686,6,"1.82%"
"2020-12-31",6691,"2021-01-06",50,51,6582,6704,6,".82%"
"2021-01-01",6700,"2021-01-06",51,51,6602,6704,5,"0.%"
