"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-06-06",68,"2020-06-16",2,2,35,72,10,"0.%"
"2020-06-07",78,"2020-06-17",2,2,35,101,10,"0.%"
"2020-06-10",86,"2020-06-17",2,2,37,101,7,"0.%"
"2020-06-11",87,"2020-06-17",2,2,37,101,6,"0.%"
"2020-06-12",90,"2020-06-17",2,2,60,101,5,"0.%"
"2020-06-13",95,"2020-06-17",2,2,65,101,4,"0.%"
"2020-06-14",119,"2020-06-29",2,2,65,127,15,"0.%"
"2020-06-15",120,"2020-06-29",2,2,65,127,14,"0.%"
"2020-06-16",120,"2020-06-29",2,2,72,127,13,"0.%"
"2020-06-17",120,"2020-06-29",2,2,101,127,12,"0.%"
"2020-06-18",120,"2020-06-29",2,2,102,127,11,"0.%"
"2020-06-19",121,"2020-06-29",2,2,102,127,10,"0.%"
"2020-06-21",129,"2020-07-01",2,3,110,129,10,"5.26%"
"2020-06-23",129,"2020-07-01",2,3,116,129,8,"7.69%"
"2020-06-24",130,"2020-07-07",2,3,116,131,13,"6.67%"
"2020-06-25",130,"2020-07-07",2,3,118,131,12,"7.69%"
"2020-06-28",132,"2020-07-10",2,3,118,146,12,"3.57%"
"2020-06-29",133,"2020-07-10",2,3,127,146,11,"5.26%"
"2020-06-30",142,"2020-07-10",2,3,128,146,10,"5.56%"
"2020-07-01",144,"2020-07-10",3,3,129,146,9,"0.%"
"2020-07-02",146,"2020-07-10",3,3,129,146,8,"0.%"
"2020-07-03",149,"2020-07-14",3,3,129,149,11,"0.%"
"2020-07-04",150,"2020-07-16",3,3,129,151,12,"0.%"
"2020-07-05",153,"2020-07-17",3,3,129,164,12,"0.%"
"2020-07-06",154,"2020-07-17",3,3,129,164,11,"0.%"
"2020-07-07",167,"2020-07-18",3,3,131,170,11,"0.%"
"2020-07-09",168,"2020-07-18",3,3,131,170,9,"0.%"
"2020-07-10",168,"2020-07-18",3,3,146,170,8,"0.%"
"2020-07-12",181,"2020-07-21",3,3,147,189,9,"0.%"
"2020-07-13",187,"2020-07-21",3,3,148,189,8,"0.%"
"2020-07-14",192,"2020-07-22",3,3,149,195,8,"0.%"
"2020-07-15",196,"2020-07-23",3,3,149,207,8,"0.%"
"2020-07-16",196,"2020-07-23",3,3,151,207,7,"0.%"
"2020-07-17",205,"2020-07-23",3,3,164,207,6,"0.%"
"2020-07-18",227,"2020-07-24",3,3,170,232,6,"0.%"
"2020-07-19",245,"2020-07-25",3,3,172,247,6,"0.%"
"2020-07-20",250,"2020-07-26",3,4,180,288,6,".93%"
"2020-07-21",277,"2020-07-26",3,4,189,288,5,"1.01%"
"2020-07-22",331,"2020-07-31",3,4,195,338,9,".7%"
"2020-07-23",337,"2020-07-31",3,4,207,338,8,".76%"
"2020-07-24",354,"2020-08-02",3,4,232,370,9,".72%"
"2020-07-25",380,"2020-08-04",3,4,247,388,10,".71%"
"2020-07-26",396,"2020-08-05",4,4,288,412,10,"0.%"
"2020-07-27",415,"2020-08-06",4,5,309,455,10,".68%"
