"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-14",761,"2020-07-26",6,7,477,1052,12,".17%"
"2020-07-15",851,"2020-07-26",6,7,500,1052,11,".18%"
"2020-07-16",914,"2020-07-26",6,7,502,1052,10,".18%"
"2020-07-17",1060,"2020-07-27",6,7,503,1088,10,".17%"
"2020-07-18",1089,"2020-07-28",6,7,532,1090,10,".18%"
"2020-07-19",1097,"2020-07-30",6,7,580,1115,11,".19%"
"2020-07-20",1102,"2020-07-30",7,7,610,1115,10,"0.%"
"2020-07-21",1116,"2020-07-31",7,7,644,1173,10,"0.%"
"2020-07-22",1138,"2020-07-31",7,7,715,1173,9,"0.%"
"2020-07-23",1155,"2020-07-31",7,7,715,1173,8,"0.%"
"2020-07-24",1199,"2020-08-01",7,8,715,1225,8,".2%"
"2020-07-25",1214,"2020-08-01",7,8,716,1225,7,".2%"
"2020-07-26",1259,"2020-08-04",7,8,1052,1264,9,".47%"
"2020-07-27",1288,"2020-08-05",7,8,1088,1291,9,".49%"
"2020-07-28",1336,"2020-08-07",7,8,1090,1352,10,".38%"
"2020-07-29",1389,"2020-08-09",7,8,1093,1440,11,".29%"
"2020-07-30",1429,"2020-08-09",7,8,1115,1440,10,".31%"
"2020-07-31",1493,"2020-08-11",7,10,1173,1557,11,".78%"
"2020-08-01",1553,"2020-08-11",8,10,1225,1557,10,".6%"
"2020-08-02",1612,"2020-08-12",8,10,1225,1615,10,".51%"
"2020-08-03",1669,"2020-08-13",8,10,1243,1714,10,".42%"
"2020-08-04",1722,"2020-08-14",8,10,1264,1737,10,".42%"
"2020-08-05",1770,"2020-08-15",8,12,1291,1816,10,".76%"
"2020-08-06",1862,"2020-08-16",8,13,1307,1879,10,".87%"
"2020-08-07",1922,"2020-08-17",8,13,1352,1960,10,".82%"
"2020-08-08",2029,"2020-08-19",8,13,1387,2101,11,".7%"
"2020-08-09",2080,"2020-08-19",8,13,1440,2101,10,".76%"
"2020-08-10",2137,"2020-08-20",10,13,1489,2216,10,".41%"
"2020-08-11",2231,"2020-08-21",10,13,1557,2252,10,".43%"
"2020-08-12",2285,"2020-08-22",10,13,1615,2322,10,".42%"
"2020-08-13",2339,"2020-08-24",10,15,1714,2360,11,".77%"
"2020-08-14",2373,"2020-08-25",10,15,1737,2434,11,".72%"
"2020-08-15",2437,"2020-08-26",12,15,1816,2440,11,".48%"
"2020-08-16",2465,"2020-08-27",13,15,1879,2525,11,".31%"
"2020-08-17",2533,"2020-08-28",13,15,1960,2533,11,".35%"
"2020-08-18",2565,"2020-08-29",13,15,2025,2617,11,".34%"
"2020-08-19",2625,"2020-08-31",13,15,2101,2675,12,".35%"
"2020-08-20",2668,"2020-08-31",13,15,2216,2675,11,".44%"
"2020-08-21",2716,"2020-09-01",13,15,2252,2746,11,".4%"
"2020-08-22",2776,"2020-09-03",13,19,2322,2803,12,"1.25%"
"2020-08-23",2819,"2020-09-04",13,19,2322,2823,12,"1.2%"
"2020-08-24",2837,"2020-09-06",15,19,2360,2851,13,".81%"
"2020-08-25",2848,"2020-09-06",15,19,2434,2851,12,".96%"
"2020-08-26",2877,"2020-09-07",15,19,2440,2886,12,".9%"
"2020-08-27",2886,"2020-09-07",15,19,2525,2886,11,"1.11%"
"2020-08-28",2922,"2020-09-09",15,19,2533,2929,12,"1.01%"
"2020-08-29",2948,"2020-09-10",15,19,2617,2966,12,"1.15%"
"2020-08-30",2965,"2020-09-10",15,19,2618,2966,11,"1.15%"
"2020-08-31",2989,"2020-09-12",15,19,2675,3008,12,"1.2%"
"2020-09-01",3016,"2020-09-13",15,19,2746,3031,12,"1.4%"
"2020-09-02",3051,"2020-09-14",19,19,2751,3061,12,"0.%"
"2020-09-03",3080,"2020-09-15",19,19,2803,3084,12,"0.%"
"2020-09-04",3098,"2020-09-16",19,19,2823,3121,12,"0.%"
"2020-09-05",3115,"2020-09-16",19,19,2835,3121,11,"0.%"
"2020-09-06",3146,"2020-09-19",19,19,2851,3163,13,"0.%"
"2020-09-07",3163,"2020-09-19",19,19,2886,3163,12,"0.%"
"2020-09-08",3197,"2020-09-21",19,19,2910,3198,13,"0.%"
"2020-09-09",3221,"2020-09-23",19,19,2929,3231,14,"0.%"
"2020-09-10",3238,"2020-09-24",19,19,2966,3249,14,"0.%"
"2020-09-11",3260,"2020-09-25",19,19,2988,3260,14,"0.%"
"2020-09-12",3285,"2020-09-26",19,19,3008,3313,14,"0.%"
"2020-09-13",3301,"2020-09-26",19,19,3031,3313,13,"0.%"
"2020-09-14",3319,"2020-09-27",19,19,3061,3320,13,"0.%"
"2020-09-15",3339,"2020-09-28",19,19,3084,3357,13,"0.%"
"2020-09-16",3363,"2020-09-29",19,19,3121,3378,13,"0.%"
"2020-09-17",3398,"2020-09-30",19,19,3127,3402,13,"0.%"
"2020-09-18",3408,"2020-10-01",19,19,3145,3432,13,"0.%"
"2020-09-19",3430,"2020-10-01",19,19,3163,3432,12,"0.%"
"2020-09-20",3457,"2020-10-03",19,19,3189,3457,13,"0.%"
"2020-09-21",3474,"2020-10-05",19,19,3198,3486,14,"0.%"
"2020-09-22",3501,"2020-10-06",19,19,3216,3532,14,"0.%"
"2020-09-23",3513,"2020-10-06",19,19,3231,3532,13,"0.%"
"2020-09-24",3529,"2020-10-06",19,19,3249,3532,12,"0.%"
"2020-09-25",3542,"2020-10-07",19,19,3260,3547,12,"0.%"
"2020-09-26",3564,"2020-10-09",19,19,3313,3578,13,"0.%"
"2020-09-27",3600,"2020-10-11",19,19,3320,3611,14,"0.%"
"2020-09-28",3616,"2020-10-12",19,19,3357,3652,14,"0.%"
"2020-09-29",3631,"2020-10-12",19,19,3378,3652,13,"0.%"
"2020-09-30",3648,"2020-10-12",19,19,3402,3652,12,"0.%"
"2020-10-01",3676,"2020-10-13",19,19,3432,3685,12,"0.%"
"2020-10-02",3720,"2020-10-15",19,19,3437,3732,13,"0.%"
"2020-10-03",3736,"2020-10-16",19,19,3457,3753,13,"0.%"
"2020-10-04",3749,"2020-10-16",19,19,3472,3753,12,"0.%"
"2020-10-05",3774,"2020-10-20",19,20,3486,3800,15,".32%"
"2020-10-06",3805,"2020-10-21",19,20,3532,3816,15,".35%"
"2020-10-07",3833,"2020-10-23",19,20,3547,3841,16,".34%"
"2020-10-08",3839,"2020-10-23",19,20,3555,3841,15,".35%"
"2020-10-09",3849,"2020-10-24",19,20,3578,3852,15,".36%"
"2020-10-10",3866,"2020-10-25",19,20,3584,3867,15,".35%"
"2020-10-11",3885,"2020-10-26",19,20,3611,3886,15,".36%"
"2020-10-12",3895,"2020-10-27",19,20,3652,3908,15,".39%"
"2020-10-13",3913,"2020-10-28",19,21,3685,3925,15,".83%"
"2020-10-14",3935,"2020-10-30",19,22,3716,3959,16,"1.23%"
"2020-10-15",3944,"2020-10-30",19,22,3732,3959,15,"1.32%"
"2020-10-16",3952,"2020-10-30",19,22,3753,3959,14,"1.46%"
"2020-10-17",3978,"2020-10-31",20,22,3760,3984,14,".89%"
"2020-10-18",3993,"2020-11-01",20,22,3763,3997,14,".85%"
"2020-10-19",4002,"2020-11-02",20,23,3772,4005,14,"1.29%"
"2020-10-20",4033,"2020-11-06",20,23,3800,4034,17,"1.28%"
"2020-10-21",4061,"2020-11-09",20,24,3816,4062,19,"1.63%"
"2020-10-22",4072,"2020-11-11",20,24,3825,4085,20,"1.54%"
"2020-10-23",4082,"2020-11-11",20,24,3841,4085,19,"1.64%"
"2020-10-24",4090,"2020-11-13",20,24,3852,4099,20,"1.62%"
"2020-10-25",4094,"2020-11-13",20,24,3867,4099,19,"1.72%"
"2020-10-26",4103,"2020-11-15",20,24,3886,4114,20,"1.75%"
"2020-10-27",4111,"2020-11-15",20,24,3908,4114,19,"1.94%"
"2020-10-28",4125,"2020-11-17",21,24,3925,4144,20,"1.37%"
"2020-10-29",4131,"2020-11-17",22,24,3934,4144,19,".95%"
"2020-10-30",4138,"2020-11-17",22,24,3959,4144,18,"1.08%"
"2020-10-31",4150,"2020-11-18",22,24,3984,4160,18,"1.14%"
"2020-11-01",4158,"2020-11-18",22,24,3997,4160,17,"1.23%"
"2020-11-02",4168,"2020-11-19",23,24,4005,4169,17,".61%"
"2020-11-03",4171,"2020-11-20",23,24,4018,4182,17,".61%"
"2020-11-04",4172,"2020-11-20",23,24,4020,4182,16,".62%"
"2020-11-05",4184,"2020-11-22",23,26,4026,4192,17,"1.81%"
"2020-11-06",4200,"2020-11-23",23,26,4034,4201,17,"1.8%"
"2020-11-07",4211,"2020-11-26",23,27,4049,4211,19,"2.47%"
"2020-11-08",4230,"2020-11-29",24,27,4056,4232,21,"1.7%"
"2020-11-09",4243,"2020-12-01",24,27,4062,4313,22,"1.2%"
"2020-11-10",4253,"2020-12-01",24,27,4069,4313,21,"1.23%"
"2020-11-11",4261,"2020-12-01",24,27,4085,4313,20,"1.32%"
"2020-11-12",4269,"2020-12-01",24,27,4088,4313,19,"1.33%"
"2020-11-13",4277,"2020-12-01",24,27,4099,4313,18,"1.4%"
"2020-11-14",4284,"2020-12-01",24,27,4100,4313,17,"1.41%"
"2020-11-15",4284,"2020-12-01",24,27,4114,4313,16,"1.51%"
"2020-11-16",4287,"2020-12-01",24,27,4124,4313,15,"1.59%"
"2020-11-17",4291,"2020-12-01",24,27,4144,4313,14,"1.78%"
"2020-11-18",4300,"2020-12-01",24,27,4160,4313,13,"1.96%"
"2020-11-19",4309,"2020-12-01",24,27,4169,4313,12,"2.08%"
"2020-11-20",4313,"2020-12-01",24,27,4182,4313,11,"2.29%"
"2020-11-21",4313,"2020-12-01",25,27,4183,4313,10,"1.54%"
"2020-11-22",4323,"2020-12-26",26,27,4192,4338,34,".68%"
"2020-11-23",4326,"2020-12-26",26,27,4201,4338,33,".73%"
"2020-11-24",4334,"2020-12-26",26,27,4204,4338,32,".75%"
"2020-11-25",4348,"2020-12-28",26,27,4206,4361,33,".65%"
"2020-11-26",4355,"2020-12-28",27,27,4211,4361,32,"0.%"
"2020-11-27",4360,"2020-12-28",27,27,4217,4361,31,"0.%"
"2020-11-28",4369,"2020-12-29",27,27,4227,4369,31,"0.%"
"2020-11-29",4377,"2020-12-31",27,27,4232,4380,32,"0.%"
"2020-11-30",4384,"2021-01-01",27,28,4238,4386,32,".68%"
"2020-12-01",4394,"2021-01-02",27,28,4313,4398,32,"1.18%"
"2020-12-26",4400,"2021-01-03",27,28,4338,4410,8,"1.39%"
"2020-12-27",4411,"2021-01-04",27,28,4346,4417,8,"1.41%"
"2020-12-28",4413,"2021-01-04",27,28,4361,4417,7,"1.79%"
"2020-12-29",4426,"2021-01-06",27,28,4369,4431,8,"1.61%"
"2020-12-30",4435,"2021-01-07",27,28,4373,4441,8,"1.47%"
"2020-12-31",4440,"2021-01-07",27,28,4380,4441,7,"1.64%"
"2021-01-01",4444,"2021-01-08",28,28,4386,4448,7,"0.%"
"2021-01-02",4446,"2021-01-08",28,28,4398,4448,6,"0.%"
"2021-01-03",4450,"2021-01-09",28,28,4410,4455,6,"0.%"
"2021-01-04",4453,"2021-01-09",28,28,4417,4455,5,"0.%"
