"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-08-17",106494,"2020-08-26",541,652,77188,107358,9,".37%"
"2020-08-18",109751,"2020-08-27",557,661,81238,110298,9,".36%"
"2020-08-19",112635,"2020-08-28",567,673,85086,113059,9,".38%"
"2020-08-20",115086,"2020-08-29",573,678,88677,115693,9,".39%"
"2020-08-21",117547,"2020-08-30",587,687,92369,117933,9,".39%"
"2020-08-22",119785,"2020-08-31",600,693,95913,120206,9,".38%"
"2020-08-23",122032,"2020-09-01",609,708,99004,122250,9,".43%"
"2020-08-24",123259,"2020-09-02",626,721,101929,124066,9,".43%"
"2020-08-25",124703,"2020-09-03",643,727,105115,125644,9,".41%"
"2020-08-26",126866,"2020-09-04",652,740,107358,127092,9,".45%"
"2020-08-27",128726,"2020-09-05",661,749,110298,129066,9,".47%"
"2020-08-28",130724,"2020-09-06",673,753,113059,130994,9,".45%"
"2020-08-29",132811,"2020-09-07",678,760,115693,132846,9,".48%"
"2020-08-30",134889,"2020-09-09",687,774,117933,136506,10,".47%"
"2020-08-31",136213,"2020-09-09",693,774,120206,136506,9,".5%"
"2020-09-01",138141,"2020-09-11",708,796,122250,140195,10,".49%"
"2020-09-02",140110,"2020-09-11",721,796,124066,140195,9,".47%"
"2020-09-03",142032,"2020-09-13",727,821,125644,143815,10,".52%"
"2020-09-04",144010,"2020-09-14",740,827,127092,145520,10,".47%"
"2020-09-05",145737,"2020-09-14",749,830,129066,145790,9,".48%"
"2020-09-06",147534,"2020-09-16",753,847,130994,149045,10,".52%"
"2020-09-07",148903,"2020-09-16",760,847,132846,149045,9,".54%"
"2020-09-08",150570,"2020-09-18",764,858,134794,152199,10,".54%"
"2020-09-09",152068,"2020-09-18",774,858,136506,152199,9,".54%"
"2020-09-10",153611,"2020-09-19",784,860,137996,153757,9,".48%"
"2020-09-11",155321,"2020-09-21",796,869,140195,156634,10,".44%"
"2020-09-12",156742,"2020-09-22",807,872,141906,157869,10,".41%"
"2020-09-13",158265,"2020-09-23",821,873,143815,159360,10,".33%"
"2020-09-14",159402,"2020-09-24",830,877,145790,160518,10,".32%"
"2020-09-15",158976,"2020-09-23",827,873,145520,159360,8,".33%"
"2020-09-16",162508,"2020-09-26",847,885,149045,163958,10,".25%"
"2020-09-17",164100,"2020-09-27",854,887,150517,165365,10,".22%"
"2020-09-18",165247,"2020-09-27",858,887,152199,165365,9,".22%"
"2020-09-19",166863,"2020-09-28",860,891,153757,167020,9,".23%"
"2020-09-20",168418,"2020-09-29",863,893,155247,168724,9,".22%"
"2020-09-21",169732,"2020-09-30",869,903,156634,170469,9,".25%"
"2020-09-22",171341,"2020-10-01",872,905,157869,171713,9,".24%"
"2020-09-23",172939,"2020-10-02",873,909,159360,173214,9,".26%"
"2020-09-24",174142,"2020-10-03",877,911,160518,174647,9,".24%"
"2020-09-25",175774,"2020-10-04",880,914,162331,175964,9,".25%"
"2020-09-26",177231,"2020-10-05",885,923,163958,177538,9,".28%"
"2020-09-27",178758,"2020-10-06",887,924,165365,178794,9,".28%"
"2020-09-28",179908,"2020-10-07",891,926,167020,180218,9,".27%"
"2020-09-29",181347,"2020-10-09",893,933,168724,182141,10,".3%"
"2020-09-30",182782,"2020-10-10",903,943,170469,183891,10,".3%"
"2020-10-01",184152,"2020-10-11",905,945,171713,185110,10,".3%"
"2020-10-02",185583,"2020-10-12",909,954,173214,186488,10,".34%"
"2020-10-03",186566,"2020-10-13",911,960,174647,187524,10,".38%"
"2020-10-04",187827,"2020-10-14",914,966,175964,188905,10,".4%"
"2020-10-05",188734,"2020-10-14",923,966,177538,188905,9,".38%"
"2020-10-06",189999,"2020-10-16",924,980,178794,190354,10,".48%"
"2020-10-07",191303,"2020-10-17",926,989,180218,192286,10,".52%"
"2020-10-08",192547,"2020-10-18",928,995,181226,192832,10,".58%"
"2020-10-09",193702,"2020-10-19",933,1002,182655,194732,10,".57%"
"2020-10-10",194842,"2020-10-20",943,1010,183891,195840,10,".56%"
"2020-10-11",196144,"2020-10-21",945,1018,185110,197167,10,".61%"
"2020-10-12",196876,"2020-10-21",954,1018,186488,197167,9,".6%"
"2020-10-13",198099,"2020-10-22",960,1025,187524,198159,9,".61%"
"2020-10-14",199425,"2020-10-24",966,1041,188905,200503,10,".65%"
"2020-10-15",200701,"2020-10-25",971,1048,189714,201909,10,".63%"
"2020-10-16",201763,"2020-10-25",980,1048,191177,201909,9,".63%"
"2020-10-17",202936,"2020-10-26",989,1057,192445,203005,9,".64%"
"2020-10-18",204088,"2020-10-27",995,1064,193530,204249,9,".64%"
"2020-10-19",205000,"2020-10-28",1002,1068,194732,205326,9,".62%"
"2020-10-20",206837,"2020-10-30",1010,1083,195840,207649,10,".62%"
"2020-10-21",208114,"2020-10-31",1018,1089,197167,208412,10,".63%"
"2020-10-22",209172,"2020-11-01",1025,1096,198159,209821,10,".61%"
"2020-10-23",210265,"2020-11-03",1033,1107,199411,211159,11,".63%"
"2020-10-24",211319,"2020-11-03",1041,1107,200503,211682,10,".59%"
"2020-10-25",212068,"2020-11-05",1048,1120,201909,213359,11,".63%"
"2020-10-26",212581,"2020-11-05",1057,1120,203005,213359,10,".61%"
"2020-10-27",213259,"2020-11-05",1064,1120,204249,213359,9,".61%"
"2020-10-28",214039,"2020-11-07",1068,1135,205326,214347,10,".74%"
"2020-10-29",214822,"2020-11-07",1075,1135,206401,214987,9,".7%"
"2020-10-30",215840,"2020-11-10",1083,1155,207649,217697,11,".72%"
"2020-10-31",216640,"2020-11-10",1089,1155,208841,217697,10,".75%"
"2020-11-01",217417,"2020-11-10",1096,1155,210043,217697,9,".77%"
"2020-11-02",216760,"2020-11-10",1099,1155,209821,217697,8,".71%"
"2020-11-03",218840,"2020-11-12",1107,1166,211903,219065,9,".82%"
"2020-11-04",218143,"2020-11-11",1111,1161,211682,218524,7,".73%"
"2020-11-05",220122,"2020-11-14",1120,1178,213359,220369,9,".83%"
"2020-11-06",220868,"2020-11-16",1128,1188,213980,221128,10,".84%"
"2020-11-07",221687,"2020-11-17",1135,1193,214987,222344,10,".79%"
"2020-11-08",222488,"2020-11-19",1143,1208,215820,223222,11,".88%"
"2020-11-09",222102,"2020-11-17",1149,1193,215462,222344,8,".64%"
"2020-11-10",224151,"2020-11-21",1155,1215,217697,224670,11,".86%"
