"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-12-31",7410,"2021-01-26",64,75,6420,7418,26,"1.1%"
"2021-01-01",7467,"2021-02-01",64,76,6469,7476,31,"1.19%"
"2021-01-02",7527,"2021-02-11",67,77,6534,7545,40,".99%"
"2021-01-03",7557,"2021-02-13",67,78,6571,7557,41,"1.12%"
"2021-01-04",7608,"2021-02-18",67,79,6615,7611,45,"1.2%"
"2021-01-05",7656,"2021-02-21",70,79,6669,7658,47,".91%"
"2021-01-06",7695,"2021-02-23",70,79,6710,7701,48,".91%"
"2021-01-07",7734,"2021-02-25",70,79,6744,7741,49,".9%"
"2021-01-08",7779,"2021-03-10",70,79,6790,7779,61,".91%"
"2021-01-09",7808,"2021-03-22",72,79,6842,7809,72,".72%"
"2021-01-10",7842,"2021-03-26",72,80,6882,7843,75,".83%"
"2021-01-11",7887,"2021-03-31",72,82,6931,7891,79,"1.04%"
"2021-01-12",7916,"2021-04-03",72,85,6979,7934,81,"1.36%"
"2021-01-13",7936,"2021-04-04",72,85,7021,7967,81,"1.37%"
"2021-01-14",7963,"2021-04-04",72,85,7060,7967,80,"1.43%"
"2021-01-15",7984,"2021-04-05",72,86,7109,8039,80,"1.51%"
"2021-01-16",8004,"2021-04-05",73,86,7133,8039,79,"1.43%"
"2021-01-17",8022,"2021-04-05",73,86,7133,8039,78,"1.43%"
"2021-01-18",8038,"2021-04-05",74,86,7199,8039,77,"1.43%"
"2021-01-19",8054,"2021-04-06",74,86,7217,8079,77,"1.39%"
"2021-01-20",8068,"2021-04-06",74,86,7263,8079,76,"1.47%"
"2021-01-21",8083,"2021-04-07",75,86,7291,8209,76,"1.2%"
"2021-01-22",8105,"2021-04-07",75,86,7326,8209,75,"1.25%"
"2021-01-23",8116,"2021-04-07",75,86,7355,8209,74,"1.29%"
"2021-01-24",8125,"2021-04-07",75,86,7356,8209,73,"1.29%"
"2021-01-25",8127,"2021-04-07",75,86,7407,8209,72,"1.37%"
"2021-01-26",8133,"2021-04-07",75,86,7418,8209,71,"1.39%"
"2021-01-27",8137,"2021-04-07",75,86,7446,8209,70,"1.44%"
"2021-01-28",8116,"2021-04-07",75,86,7408,8209,69,"1.37%"
"2021-01-29",8128,"2021-04-07",76,86,7425,8209,68,"1.28%"
"2021-01-30",8133,"2021-04-07",76,86,7436,8209,67,"1.29%"
"2021-01-31",8136,"2021-04-07",76,86,7446,8209,66,"1.31%"
"2021-02-01",8138,"2021-04-07",76,86,7476,8209,65,"1.36%"
"2021-02-02",8144,"2021-04-07",76,86,7484,8209,64,"1.38%"
"2021-02-03",8150,"2021-04-07",77,86,7485,8209,63,"1.24%"
"2021-02-04",8156,"2021-04-07",77,86,7486,8209,62,"1.24%"
"2021-02-05",8161,"2021-04-07",77,86,7486,8209,61,"1.24%"
"2021-02-06",8164,"2021-04-07",77,86,7490,8209,60,"1.25%"
"2021-02-07",8166,"2021-04-07",77,86,7495,8209,59,"1.26%"
"2021-02-08",8168,"2021-04-07",77,86,7500,8209,58,"1.27%"
"2021-02-09",8169,"2021-04-07",77,86,7504,8209,57,"1.28%"
