"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2020-07-22",173,"2020-09-01",,1,,262,41,"-"
"2020-07-24",184,"2020-09-01",,1,,262,39,"-"
"2020-07-25",186,"2020-09-01",,1,,262,38,"-"
"2020-07-26",186,"2020-09-01",,1,,262,37,"-"
"2020-07-28",189,"2020-09-01",,1,,262,35,"-"
"2020-07-29",190,"2020-09-01",,1,,262,34,"-"
"2020-07-30",191,"2020-09-01",,1,,262,33,"-"
"2020-07-31",195,"2020-09-01",,1,,262,32,"-"
"2020-08-01",195,"2020-09-01",,1,,262,31,"-"
"2020-08-02",197,"2020-09-01",,1,,262,30,"-"
"2020-08-04",223,"2020-09-01",,1,,262,28,"-"
"2020-08-06",233,"2020-09-01",,1,,262,26,"-"
"2020-08-07",233,"2020-09-01",,1,,262,25,"-"
"2020-08-08",235,"2020-09-01",,1,,262,24,"-"
"2020-08-09",246,"2020-09-01",,1,,262,23,"-"
"2020-08-10",247,"2020-09-01",,1,,262,22,"-"
"2020-08-12",247,"2020-09-01",,1,,262,20,"-"
"2020-08-13",248,"2020-09-01",,1,,262,19,"-"
"2020-08-14",248,"2020-09-01",,1,,262,18,"-"
"2020-08-15",249,"2020-09-01",,1,,262,17,"-"
"2020-08-16",249,"2020-09-01",,1,,262,16,"-"
"2020-08-17",249,"2020-09-01",,1,,262,15,"-"
"2020-08-18",251,"2020-09-01",,1,,262,14,"-"
"2020-08-19",253,"2020-09-01",,1,,262,13,"-"
"2020-08-20",257,"2020-09-01",,1,,262,12,"-"
"2020-08-21",259,"2020-09-01",,1,,262,11,"-"
"2020-08-22",259,"2020-09-01",,1,,262,10,"-"
"2020-08-23",259,"2020-09-01",,1,,262,9,"-"
"2020-08-24",262,"2020-09-01",,1,,262,8,"-"
"2020-08-25",263,"2020-09-02",,1,,264,8,"-"
"2020-08-26",266,"2020-09-03",,1,,267,8,"-"
"2020-08-27",272,"2020-09-04",,1,,279,8,"-"
"2020-08-28",278,"2020-09-04",,1,,279,7,"-"
"2020-08-29",286,"2020-09-05",,1,,290,7,"-"
"2020-08-30",290,"2020-09-05",,1,,290,6,"-"
"2020-08-31",300,"2020-09-06",,1,,300,6,"-"
"2020-09-01",313,"2020-09-10",1,1,262,328,9,"0.%"
"2020-09-02",320,"2020-09-10",1,1,264,328,8,"0.%"
"2020-09-03",325,"2020-09-10",1,1,267,328,7,"0.%"
"2020-09-04",339,"2020-09-11",1,1,279,339,7,"0.%"
"2020-09-05",379,"2020-09-15",1,1,290,386,10,"0.%"
"2020-09-06",393,"2020-09-16",1,1,300,395,10,"0.%"
"2020-09-07",420,"2020-09-18",1,1,300,455,11,"0.%"
"2020-09-08",445,"2020-09-18",1,1,301,455,10,"0.%"
"2020-09-09",488,"2020-09-24",1,1,308,494,15,"0.%"
"2020-09-10",528,"2020-09-25",1,1,328,576,15,"0.%"
"2020-09-11",537,"2020-09-25",1,1,339,576,14,"0.%"
"2020-09-12",559,"2020-09-25",1,1,339,576,13,"0.%"
"2020-09-13",579,"2020-09-26",1,1,345,605,13,"0.%"
"2020-09-14",587,"2020-09-26",1,1,345,605,12,"0.%"
"2020-09-15",606,"2020-09-27",1,1,386,617,12,"0.%"
"2020-09-16",632,"2020-09-28",1,2,395,692,12,".34%"
"2020-09-17",659,"2020-09-28",1,2,406,692,11,".35%"
"2020-09-18",674,"2020-09-28",1,2,455,692,10,".42%"
"2020-09-19",704,"2020-09-29",3,3,479,724,10,"0.%"
"2020-09-20",734,"2020-09-30",1,3,477,743,10,".75%"
"2020-09-21",749,"2020-10-01",1,3,480,761,10,".71%"
"2020-09-22",754,"2020-10-01",1,3,480,761,9,".71%"
"2020-09-23",807,"2020-10-03",1,3,482,862,10,".53%"
"2020-09-24",838,"2020-10-03",1,3,494,862,9,".54%"
"2020-09-25",851,"2020-10-03",1,3,576,862,8,".7%"
"2020-09-26",898,"2020-10-05",1,4,605,909,9,".99%"
"2020-09-27",923,"2020-10-06",1,4,617,953,9,".89%"
"2020-09-28",939,"2020-10-06",2,4,692,953,8,".77%"
"2020-09-29",960,"2020-10-07",3,4,724,970,8,".41%"
"2020-09-30",991,"2020-10-09",3,4,743,1004,9,".38%"
"2020-10-01",1014,"2020-10-11",3,4,761,1030,10,".37%"
"2020-10-02",1028,"2020-10-11",3,4,801,1030,9,".44%"
"2020-10-03",1107,"2020-10-14",3,4,862,1131,11,".37%"
"2020-10-04",1140,"2020-10-15",3,4,891,1177,11,".35%"
"2020-10-05",1192,"2020-10-16",4,4,909,1206,11,"0.%"
"2020-10-06",1222,"2020-10-17",4,4,953,1244,11,"0.%"
"2020-10-07",1252,"2020-10-18",4,4,970,1287,11,"0.%"
