"date","cases","resolve_date","prior_deaths","deaths","prior_resolutions","resolutions","days_to_resolve","i_cfr"
"2021-03-20",8906,"2021-04-06",85,86,8757,8932,17,".57%"
"2021-03-21",8914,"2021-04-06",85,86,8762,8932,16,".59%"
"2021-03-22",8922,"2021-04-06",85,86,8771,8932,15,".62%"
"2021-03-23",8939,"2021-04-08",85,87,8776,9010,16,".85%"
"2021-03-24",8959,"2021-04-08",85,87,8796,9010,15,".93%"
"2021-03-25",8984,"2021-04-08",85,87,8798,9010,14,".94%"
"2021-03-26",8996,"2021-04-08",85,87,8801,9010,13,".96%"
"2021-03-27",9016,"2021-04-09",86,87,8809,9051,13,".41%"
"2021-03-28",9041,"2021-04-09",86,87,8812,9051,12,".42%"
"2021-03-29",9059,"2021-04-10",86,87,8812,9130,12,".31%"
"2021-03-30",9086,"2021-04-10",86,87,8835,9130,11,".34%"
"2021-03-31",9171,"2021-04-11",86,87,8849,9221,11,".27%"
"2021-04-01",9243,"2021-04-12",86,87,8853,9265,11,".24%"
"2021-04-02",9252,"2021-04-12",86,87,8863,9265,10,".25%"
"2021-04-03",9332,"2021-04-13",86,87,8874,9384,10,".2%"
"2021-04-04",9424,"2021-04-14",86,88,8892,9462,10,".35%"
"2021-04-05",9527,"2021-04-15",86,88,8905,9579,10,".3%"
"2021-04-06",9612,"2021-04-16",86,88,8932,9652,10,".28%"
"2021-04-07",9680,"2021-04-17",86,90,8938,9978,10,".38%"
"2021-04-08",9744,"2021-04-17",87,90,9010,9978,9,".31%"
"2021-04-09",9892,"2021-04-17",87,90,9051,9978,8,".32%"
"2021-04-10",10041,"2021-04-18",87,90,9130,10072,8,".32%"
"2021-04-11",10172,"2021-04-19",87,94,9221,10175,8,".73%"
"2021-04-12",10345,"2021-04-21",87,95,9265,10408,9,".7%"
"2021-04-13",10544,"2021-04-22",87,98,9384,10659,9,".86%"
"2021-04-14",10621,"2021-04-22",88,98,9462,10659,8,".84%"
"2021-04-15",10754,"2021-04-23",88,98,9579,10833,8,".8%"
"2021-04-16",10888,"2021-04-24",88,100,9652,10937,8,".93%"
"2021-04-17",11069,"2021-04-25",90,100,9978,11104,8,".89%"
"2021-04-18",11209,"2021-04-26",90,101,10072,11266,8,".92%"
"2021-04-19",11373,"2021-04-27",94,103,10175,11472,8,".69%"
"2021-04-20",11593,"2021-04-28",94,103,10289,11645,8,".66%"
"2021-04-21",11786,"2021-04-29",95,103,10408,11789,8,".58%"
"2021-04-22",11966,"2021-05-01",98,103,10659,12099,9,".35%"
"2021-04-23",12165,"2021-05-02",98,103,10833,12330,9,".33%"
"2021-04-24",12396,"2021-05-03",100,103,10937,12558,9,".19%"
"2021-04-25",12652,"2021-05-04",100,105,11104,12769,9,".3%"
"2021-04-26",12865,"2021-05-05",101,109,11266,12923,9,".48%"
"2021-04-27",13073,"2021-05-06",103,114,11472,13115,9,".67%"
"2021-04-28",13271,"2021-05-07",103,117,11645,13319,9,".84%"
"2021-04-29",13464,"2021-05-08",103,119,11789,13528,9,".92%"
"2021-04-30",13666,"2021-05-09",103,122,11887,13702,9,"1.05%"
"2021-05-01",13843,"2021-05-11",103,129,12099,13963,10,"1.39%"
"2021-05-02",13932,"2021-05-11",103,129,12330,13963,9,"1.59%"
"2021-05-03",14104,"2021-05-13",103,136,12558,14210,10,"2.%"
"2021-05-04",14299,"2021-05-14",105,136,12769,14448,10,"1.85%"
"2021-05-05",14488,"2021-05-15",109,138,12923,14630,10,"1.7%"
"2021-05-06",14674,"2021-05-16",114,138,13115,14703,10,"1.51%"
"2021-05-07",14872,"2021-05-17",117,138,13319,14907,10,"1.32%"
"2021-05-08",15113,"2021-05-18",119,151,13528,15132,10,"2.%"
"2021-05-09",15295,"2021-05-20",122,153,13702,15486,11,"1.74%"
"2021-05-10",15425,"2021-05-20",124,153,13832,15486,10,"1.75%"
"2021-05-11",15653,"2021-05-22",129,157,13963,15877,11,"1.46%"
"2021-05-12",15830,"2021-05-22",133,157,14046,15877,10,"1.31%"
"2021-05-13",16097,"2021-05-24",136,159,14210,16141,11,"1.19%"
"2021-05-14",16267,"2021-05-25",136,162,14448,16270,11,"1.43%"
"2021-05-15",16502,"2021-05-28",138,164,14630,16638,13,"1.29%"
"2021-05-16",16610,"2021-05-28",138,164,14703,16638,12,"1.34%"
"2021-05-17",16789,"2021-05-30",138,165,14907,16925,13,"1.34%"
"2021-05-18",16989,"2021-05-31",151,167,15132,17043,13,".84%"
"2021-05-19",17157,"2021-06-02",152,170,15219,17257,14,".88%"
"2021-05-20",17334,"2021-06-03",153,170,15486,17490,14,".85%"
"2021-05-21",17518,"2021-06-04",155,170,15626,17535,14,".79%"
"2021-05-22",17634,"2021-06-06",157,174,15877,17645,15,".96%"
"2021-05-23",17749,"2021-06-07",157,175,16011,17831,15,".99%"
"2021-05-24",17869,"2021-06-08",159,175,16141,17988,15,".87%"
"2021-05-25",17980,"2021-06-08",162,175,16270,17988,14,".76%"
"2021-05-26",18066,"2021-06-10",163,175,16362,18174,15,".66%"
"2021-05-27",18159,"2021-06-10",164,175,16483,18174,14,".65%"
"2021-05-28",18284,"2021-06-11",164,175,16638,18321,14,".65%"
"2021-05-29",18387,"2021-06-13",164,175,16752,18396,15,".67%"
"2021-05-30",18475,"2021-06-15",165,176,16925,18475,16,".71%"
"2021-05-31",18558,"2021-06-17",167,178,17043,18593,17,".71%"
